pos:IF,name:Matt Tolbert,age:27,games:71,plate_appearances:231,at_bats:198,runs:28,hits:46,doubles:7,triples:1,home_runs:2,runs_batted_in:19,stolen_bases:6,caught_stealing:2,walks:21,strikeouts:37,batting_avg:.232,onbase:.303,slugging:.308,ops:erc">.308,ops+:lugging">.611,bases:61,double_plays:1,hit_by_pitch:0,sac_hits:10,sac_flies:2,intentional_walks:1
pos:3B,name:Brian Buscher,age:28,games:61,plate_appearances:164,at_bats:136,runs:14,hits:32,doubles:3,triples:1,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:24,strikeouts:35,batting_avg:.235,onbase:.360,slugging:.316,ops:erc">.316,ops+:lugging">.676,bases:43,double_plays:3,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Mike Redmond,age:38,games:45,plate_appearances:147,at_bats:135,runs:9,hits:32,doubles:5,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:19,batting_avg:.237,onbase:.299,slugging:.289,ops:erc">.289,ops+:lugging">.588,bases:39,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jose Morales,age:26,games:54,plate_appearances:134,at_bats:119,runs:14,hits:37,doubles:6,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:22,batting_avg:.311,onbase:.381,slugging:.361,ops:erc">.361,ops+:lugging">.742,bases:43,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:1B,name:Justin Huber,age:26,games:1,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Jason Pridie,age:25,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Francisco Liriano,age:25,games:2,plate_appearances:6,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Scott Baker,age:27,games:2,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Slowey,age:25,games:2,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Nick Blackburn,age:27,games:1,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
