pos:C,name:Joe Mauer,age:29,games:147,plate_appearances:641,at_bats:545,runs:81,hits:174,doubles:31,triples:4,home_runs:10,runs_batted_in:85,stolen_bases:8,caught_stealing:4,walks:90,strikeouts:88,batting_avg:.319,onbase:.416,slugging:.446,ops:erc">.446,ops+:lugging">.861,bases:243,double_plays:23,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:10
pos:1B,name:Justin Morneau,age:31,games:134,plate_appearances:570,at_bats:505,runs:63,hits:135,doubles:26,triples:2,home_runs:19,runs_batted_in:77,stolen_bases:1,caught_stealing:0,walks:49,strikeouts:102,batting_avg:.267,onbase:.333,slugging:.440,ops:erc">.440,ops+:lugging">.773,bases:222,double_plays:19,hit_by_pitch:6,sac_hits:0,sac_flies:10,intentional_walks:8
pos:2B,name:Alexi Casilla,age:27,games:106,plate_appearances:326,at_bats:299,runs:33,hits:72,doubles:17,triples:2,home_runs:1,runs_batted_in:30,stolen_bases:21,caught_stealing:1,walks:16,strikeouts:52,batting_avg:.241,onbase:.282,slugging:.321,ops:erc">.321,ops+:lugging">.603,bases:96,double_plays:6,hit_by_pitch:3,sac_hits:3,sac_flies:5,intentional_walks:0
pos:SS,name:Brian Dozier,age:25,games:84,plate_appearances:340,at_bats:316,runs:33,hits:74,doubles:11,triples:1,home_runs:6,runs_batted_in:33,stolen_bases:9,caught_stealing:2,walks:16,strikeouts:58,batting_avg:.234,onbase:.271,slugging:.332,ops:erc">.332,ops+:lugging">.603,bases:105,double_plays:10,hit_by_pitch:1,sac_hits:4,sac_flies:3,intentional_walks:0
pos:3B,name:Trevor Plouffe,age:26,games:119,plate_appearances:465,at_bats:422,runs:56,hits:99,doubles:19,triples:1,home_runs:24,runs_batted_in:55,stolen_bases:1,caught_stealing:3,walks:37,strikeouts:92,batting_avg:.235,onbase:.301,slugging:.455,ops:erc">.455,ops+:lugging">.756,bases:192,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:0
pos:LF,name:Josh Willingham,age:33,games:145,plate_appearances:615,at_bats:519,runs:85,hits:135,doubles:30,triples:1,home_runs:35,runs_batted_in:110,stolen_bases:3,caught_stealing:2,walks:76,strikeouts:141,batting_avg:.260,onbase:.366,slugging:.524,ops:erc">.524,ops+:lugging">.890,bases:272,double_plays:15,hit_by_pitch:14,sac_hits:0,sac_flies:6,intentional_walks:4
pos:CF,name:Denard Span,age:28,games:128,plate_appearances:568,at_bats:516,runs:71,hits:146,doubles:38,triples:4,home_runs:4,runs_batted_in:41,stolen_bases:17,caught_stealing:6,walks:47,strikeouts:62,batting_avg:.283,onbase:.342,slugging:.395,ops:erc">.395,ops+:lugging">.738,bases:204,double_plays:10,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:0
pos:RF,name:Ben Revere,age:24,games:124,plate_appearances:553,at_bats:511,runs:70,hits:150,doubles:13,triples:6,home_runs:0,runs_batted_in:32,stolen_bases:40,caught_stealing:9,walks:29,strikeouts:54,batting_avg:.294,onbase:.333,slugging:.342,ops:erc">.342,ops+:lugging">.675,bases:175,double_plays:8,hit_by_pitch:3,sac_hits:6,sac_flies:4,intentional_walks:0
pos:DH,name:Ryan Doumit,age:31,games:134,plate_appearances:528,at_bats:484,runs:56,hits:133,doubles:34,triples:1,home_runs:18,runs_batted_in:75,stolen_bases:0,caught_stealing:0,walks:29,strikeouts:98,batting_avg:.275,onbase:.320,slugging:.461,ops:erc">.461,ops+:lugging">.781,bases:223,double_plays:17,hit_by_pitch:7,sac_hits:0,sac_flies:8,intentional_walks:5
pos:IF,name:Jamey Carroll,age:38,games:138,plate_appearances:537,at_bats:470,runs:65,hits:126,doubles:18,triples:1,home_runs:1,runs_batted_in:40,stolen_bases:9,caught_stealing:5,walks:52,strikeouts:65,batting_avg:.268,onbase:.343,slugging:.317,ops:erc">.317,ops+:lugging">.660,bases:149,double_plays:9,hit_by_pitch:4,sac_hits:7,sac_flies:4,intentional_walks:0
pos:1B,name:Chris Parmelee,age:24,games:64,plate_appearances:210,at_bats:192,runs:18,hits:44,doubles:10,triples:2,home_runs:5,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:52,batting_avg:.229,onbase:.290,slugging:.380,ops:erc">.380,ops+:lugging">.671,bases:73,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:1
