pos:C,name:Benito Santiago,age:29,games:101,plate_appearances:369,at_bats:337,runs:35,hits:92,doubles:14,triples:2,home_runs:11,runs_batted_in:41,stolen_bases:1,caught_stealing:2,walks:25,strikeouts:57,batting_avg:.273,onbase:.322,slugging:.424,ops:erc">.424,ops+:lugging">.746,bases:143,double_plays:11,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:1
pos:1B,name:Greg Colbrunn,age:24,games:47,plate_appearances:168,at_bats:155,runs:17,hits:47,doubles:10,triples:0,home_runs:6,runs_batted_in:31,stolen_bases:1,caught_stealing:1,walks:9,strikeouts:27,batting_avg:.303,onbase:.345,slugging:.484,ops:erc">.484,ops+:lugging">.829,bases:75,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:2B,name:Bret Barberie,age:26,games:107,plate_appearances:406,at_bats:372,runs:40,hits:112,doubles:20,triples:2,home_runs:5,runs_batted_in:31,stolen_bases:2,caught_stealing:0,walks:23,strikeouts:65,batting_avg:.301,onbase:.356,slugging:.406,ops:erc">.406,ops+:lugging">.762,bases:151,double_plays:4,hit_by_pitch:9,sac_hits:2,sac_flies:0,intentional_walks:3
pos:SS,name:Kurt Abbott,age:25,games:101,plate_appearances:371,at_bats:345,runs:41,hits:86,doubles:17,triples:3,home_runs:9,runs_batted_in:33,stolen_bases:3,caught_stealing:0,walks:16,strikeouts:98,batting_avg:.249,onbase:.291,slugging:.394,ops:erc">.394,ops+:lugging">.685,bases:136,double_plays:5,hit_by_pitch:5,sac_hits:3,sac_flies:2,intentional_walks:1
pos:3B,name:Jerry Browne,age:28,games:101,plate_appearances:388,at_bats:329,runs:42,hits:97,doubles:17,triples:4,home_runs:3,runs_batted_in:30,stolen_bases:3,caught_stealing:0,walks:52,strikeouts:23,batting_avg:.295,onbase:.392,slugging:.398,ops:erc">.398,ops+:lugging">.790,bases:131,double_plays:5,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:3
pos:LF,name:Jeff Conine,age:28,games:115,plate_appearances:496,at_bats:451,runs:60,hits:144,doubles:27,triples:6,home_runs:18,runs_batted_in:82,stolen_bases:1,caught_stealing:2,walks:40,strikeouts:92,batting_avg:.319,onbase:.373,slugging:.525,ops:erc">.525,ops+:lugging">.898,bases:237,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:4
pos:CF,name:Chuck Carr,age:26,games:106,plate_appearances:468,at_bats:433,runs:61,hits:114,doubles:19,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:32,caught_stealing:8,walks:22,strikeouts:71,batting_avg:.263,onbase:.305,slugging:.330,ops:erc">.330,ops+:lugging">.635,bases:143,double_plays:5,hit_by_pitch:5,sac_hits:6,sac_flies:2,intentional_walks:1
pos:RF,name:Gary Sheffield,age:25,games:87,plate_appearances:384,at_bats:322,runs:61,hits:89,doubles:16,triples:1,home_runs:27,runs_batted_in:78,stolen_bases:12,caught_stealing:6,walks:51,strikeouts:50,batting_avg:.276,onbase:.380,slugging:.584,ops:erc">.584,ops+:lugging">.964,bases:188,double_plays:10,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:11
pos:3B,name:Dave Magadan,age:31,games:74,plate_appearances:254,at_bats:211,runs:30,hits:58,doubles:7,triples:0,home_runs:1,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:39,strikeouts:25,batting_avg:.275,onbase:.386,slugging:.322,ops:erc">.322,ops+:lugging">.708,bases:68,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:1B,name:Orestes Destrade,age:32,games:39,plate_appearances:152,at_bats:130,runs:12,hits:27,doubles:4,triples:0,home_runs:5,runs_batted_in:15,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:32,batting_avg:.208,onbase:.316,slugging:.354,ops:erc">.354,ops+:lugging">.670,bases:46,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Matias Carrillo,age:31,games:80,plate_appearances:146,at_bats:136,runs:13,hits:34,doubles:7,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:3,caught_stealing:3,walks:9,strikeouts:31,batting_avg:.250,onbase:.295,slugging:.301,ops:erc">.301,ops+:lugging">.596,bases:41,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Alex Arias,age:26,games:59,plate_appearances:125,at_bats:113,runs:4,hits:27,doubles:5,triples:0,home_runs:0,runs_batted_in:15,stolen_bases:0,caught_stealing:1,walks:9,strikeouts:19,batting_avg:.239,onbase:.298,slugging:.283,ops:erc">.283,ops+:lugging">.582,bases:32,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:IF,name:Mario Diaz,age:32,games:32,plate_appearances:85,at_bats:77,runs:10,hits:25,doubles:4,triples:2,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.325,onbase:.376,slugging:.429,ops:erc">.429,ops+:lugging">.805,bases:33,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Ron Tingley,age:35,games:19,plate_appearances:57,at_bats:52,runs:4,hits:9,doubles:3,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:18,batting_avg:.173,onbase:.246,slugging:.327,ops:erc">.327,ops+:lugging">.573,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Carl Everett,age:23,games:16,plate_appearances:54,at_bats:51,runs:7,hits:11,doubles:1,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:4,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.216,onbase:.259,slugging:.353,ops:erc">.353,ops+:lugging">.612,bases:18,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Rick Renteria,age:32,games:28,plate_appearances:52,at_bats:49,runs:5,hits:11,doubles:0,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:4,batting_avg:.224,onbase:.269,slugging:.347,ops:erc">.347,ops+:lugging">.616,bases:17,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jesus Tavarez,age:23,games:17,plate_appearances:41,at_bats:39,runs:4,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:1,walks:1,strikeouts:5,batting_avg:.179,onbase:.200,slugging:.179,ops:erc">.179,ops+:lugging">.379,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Russ Morman,age:32,games:13,plate_appearances:36,at_bats:33,runs:2,hits:7,doubles:0,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.212,onbase:.278,slugging:.364,ops:erc">.364,ops+:lugging">.641,bases:12,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Rob Natal,age:28,games:10,plate_appearances:34,at_bats:29,runs:2,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:5,batting_avg:.276,onbase:.382,slugging:.345,ops:erc">.345,ops+:lugging">.727,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Darrell Whitmore,age:25,games:9,plate_appearances:25,at_bats:22,runs:1,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:5,batting_avg:.227,onbase:.320,slugging:.273,ops:erc">.273,ops+:lugging">.593,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Charles Johnson,age:22,games:4,plate_appearances:13,at_bats:11,runs:5,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.455,onbase:.462,slugging:.818,ops:erc">.818,ops+:lugging">1.280,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Greg O'Halloran,age:26,games:12,plate_appearances:12,at_bats:11,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.182,onbase:.167,slugging:.182,ops:erc">.182,ops+:lugging">.348,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:David Weathers,age:24,games:26,plate_appearances:51,at_bats:44,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:25,batting_avg:.068,onbase:.128,slugging:.068,ops:erc">.068,ops+:lugging">.196,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Pat Rapp,age:26,games:25,plate_appearances:45,at_bats:41,runs:1,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.122,onbase:.122,slugging:.146,ops:erc">.146,ops+:lugging">.268,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Hough,age:46,games:21,plate_appearances:38,at_bats:33,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.121,onbase:.147,slugging:.121,ops:erc">.121,ops+:lugging">.268,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
