pos:OF,name:Alejandro De Aza,age:25,games:22,plate_appearances:27,at_bats:20,runs:6,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:5,batting_avg:.250,onbase:.385,slugging:.300,ops:erc">.300,ops+:lugging">.685,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:1B,name:Gaby Sanchez,age:25,games:21,plate_appearances:23,at_bats:21,runs:2,hits:5,doubles:0,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.238,onbase:.304,slugging:.524,ops:erc">.524,ops+:lugging">.828,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Brett Hayes,age:25,games:14,plate_appearances:12,at_bats:11,runs:5,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.273,onbase:.333,slugging:.636,ops:erc">.636,ops+:lugging">.970,bases:7,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Andy Gonzalez,age:27,games:14,plate_appearances:12,at_bats:12,runs:1,hits:1,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.083,onbase:.083,slugging:.250,ops:erc">.250,ops+:lugging">.333,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Josh Johnson,age:25,games:32,plate_appearances:77,at_bats:62,runs:8,hits:12,doubles:1,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:33,batting_avg:.194,onbase:.265,slugging:.355,ops:erc">.355,ops+:lugging">.620,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Nolasco,age:26,games:29,plate_appearances:62,at_bats:50,runs:1,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:25,batting_avg:.140,onbase:.173,slugging:.140,ops:erc">.140,ops+:lugging">.313,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Chris Volstad,age:22,games:28,plate_appearances:54,at_bats:47,runs:5,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:23,batting_avg:.128,onbase:.146,slugging:.149,ops:erc">.149,ops+:lugging">.295,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Sean West,age:23,games:19,plate_appearances:35,at_bats:31,runs:2,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:19,batting_avg:.065,onbase:.065,slugging:.097,ops:erc">.097,ops+:lugging">.161,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Anibal Sanchez,age:25,games:16,plate_appearances:31,at_bats:23,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:8,batting_avg:.000,onbase:.115,slugging:.000,ops:erc">.000,ops+:lugging">.115,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Andrew Miller,age:24,games:18,plate_appearances:26,at_bats:24,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.083,onbase:.083,slugging:.083,ops:erc">.083,ops+:lugging">.167,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
