pos:C,name:Charles Johnson,age:25,games:124,plate_appearances:484,at_bats:416,runs:43,hits:104,doubles:26,triples:1,home_runs:19,runs_batted_in:63,stolen_bases:0,caught_stealing:2,walks:60,strikeouts:109,batting_avg:.250,onbase:.347,slugging:.454,ops:erc">.454,ops+:lugging">.802,bases:189,double_plays:13,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:6
pos:1B,name:Jeff Conine,age:31,games:151,plate_appearances:466,at_bats:405,runs:46,hits:98,doubles:13,triples:1,home_runs:17,runs_batted_in:61,stolen_bases:2,caught_stealing:0,walks:57,strikeouts:89,batting_avg:.242,onbase:.337,slugging:.405,ops:erc">.405,ops+:lugging">.742,bases:164,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:3
pos:2B,name:Luis Castillo,age:21,games:75,plate_appearances:291,at_bats:263,runs:27,hits:63,doubles:8,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:16,caught_stealing:10,walks:27,strikeouts:53,batting_avg:.240,onbase:.310,slugging:.270,ops:erc">.270,ops+:lugging">.580,bases:71,double_plays:6,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Edgar Renteria,age:20,games:154,plate_appearances:691,at_bats:617,runs:90,hits:171,doubles:21,triples:3,home_runs:4,runs_batted_in:52,stolen_bases:32,caught_stealing:15,walks:45,strikeouts:108,batting_avg:.277,onbase:.327,slugging:.340,ops:erc">.340,ops+:lugging">.668,bases:210,double_plays:17,hit_by_pitch:4,sac_hits:19,sac_flies:6,intentional_walks:1
pos:3B,name:Bobby Bonilla,age:34,games:153,plate_appearances:648,at_bats:562,runs:77,hits:167,doubles:39,triples:3,home_runs:17,runs_batted_in:96,stolen_bases:6,caught_stealing:6,walks:73,strikeouts:94,batting_avg:.297,onbase:.378,slugging:.468,ops:erc">.468,ops+:lugging">.846,bases:263,double_plays:18,hit_by_pitch:5,sac_hits:0,sac_flies:8,intentional_walks:8
pos:LF,name:Moises Alou,age:30,games:150,plate_appearances:619,at_bats:538,runs:88,hits:157,doubles:29,triples:5,home_runs:23,runs_batted_in:115,stolen_bases:9,caught_stealing:5,walks:70,strikeouts:85,batting_avg:.292,onbase:.373,slugging:.493,ops:erc">.493,ops+:lugging">.866,bases:265,double_plays:13,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:9
pos:CF,name:Devon White,age:34,games:74,plate_appearances:308,at_bats:265,runs:37,hits:65,doubles:13,triples:1,home_runs:6,runs_batted_in:34,stolen_bases:13,caught_stealing:5,walks:32,strikeouts:65,batting_avg:.245,onbase:.338,slugging:.370,ops:erc">.370,ops+:lugging">.707,bases:98,double_plays:3,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:2
pos:RF,name:Gary Sheffield,age:28,games:135,plate_appearances:582,at_bats:444,runs:86,hits:111,doubles:22,triples:1,home_runs:21,runs_batted_in:71,stolen_bases:11,caught_stealing:7,walks:121,strikeouts:79,batting_avg:.250,onbase:.424,slugging:.446,ops:erc">.446,ops+:lugging">.870,bases:198,double_plays:7,hit_by_pitch:15,sac_hits:0,sac_flies:2,intentional_walks:11
pos:UT,name:Jim Eisenreich,age:38,games:120,plate_appearances:331,at_bats:293,runs:36,hits:82,doubles:19,triples:1,home_runs:2,runs_batted_in:34,stolen_bases:0,caught_stealing:0,walks:30,strikeouts:28,batting_avg:.280,onbase:.345,slugging:.372,ops:erc">.372,ops+:lugging">.717,bases:109,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:4,intentional_walks:4
pos:2B,name:Kurt Abbott,age:28,games:94,plate_appearances:273,at_bats:252,runs:35,hits:69,doubles:18,triples:2,home_runs:6,runs_batted_in:30,stolen_bases:3,caught_stealing:1,walks:14,strikeouts:68,batting_avg:.274,onbase:.315,slugging:.433,ops:erc">.433,ops+:lugging">.747,bases:109,double_plays:5,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:3
pos:OF,name:John Cangelosi,age:34,games:103,plate_appearances:216,at_bats:192,runs:28,hits:47,doubles:8,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:5,caught_stealing:1,walks:19,strikeouts:33,batting_avg:.245,onbase:.321,slugging:.302,ops:erc">.302,ops+:lugging">.623,bases:58,double_plays:3,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:1
