pos:OF,name:Willy Garcia,age:24,games:44,plate_appearances:119,at_bats:105,runs:15,hits:25,doubles:5,triples:3,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:31,batting_avg:.238,onbase:.305,slugging:.400,ops:erc">.400,ops+:lugging">.705,bases:42,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:DH,name:Cody Asche,age:27,games:19,plate_appearances:62,at_bats:57,runs:5,hits:6,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:21,batting_avg:.105,onbase:.177,slugging:.175,ops:erc">.175,ops+:lugging">.353,bases:10,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Geovany Soto,age:34,games:13,plate_appearances:48,at_bats:42,runs:5,hits:8,doubles:0,triples:0,home_runs:3,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:10,batting_avg:.190,onbase:.271,slugging:.405,ops:erc">.405,ops+:lugging">.676,bases:17,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Rymer Liriano,age:26,games:21,plate_appearances:46,at_bats:41,runs:4,hits:9,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.220,onbase:.304,slugging:.341,ops:erc">.341,ops+:lugging">.646,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jacob May,age:25,games:15,plate_appearances:42,at_bats:36,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.056,onbase:.150,slugging:.056,ops:erc">.056,ops+:lugging">.206,bases:2,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:C,name:Rob Brantly,age:27,games:13,plate_appearances:36,at_bats:31,runs:4,hits:9,doubles:1,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.290,onbase:.389,slugging:.516,ops:erc">.516,ops+:lugging">.905,bases:16,double_plays:0,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Carlos Rodon,age:24,games:3,plate_appearances:7,at_bats:6,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.333,onbase:.333,slugging:.500,ops:erc">.500,ops+:lugging">.833,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Miguel Gonzalez,age:33,games:3,plate_appearances:7,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jose Quintana,age:28,games:2,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Dylan Covey,age:25,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
