pos:C,name:Jim Sundberg,age:27,games:149,plate_appearances:592,at_bats:518,runs:54,hits:144,doubles:23,triples:6,home_runs:6,runs_batted_in:58,stolen_bases:2,caught_stealing:5,walks:64,strikeouts:70,batting_avg:.278,onbase:.358,slugging:.380,ops:erc">.380,ops+:lugging">.739,bases:197,double_plays:18,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:6
pos:1B,name:Mike Hargrove,age:28,games:146,plate_appearances:616,at_bats:494,runs:63,hits:124,doubles:24,triples:1,home_runs:7,runs_batted_in:40,stolen_bases:2,caught_stealing:5,walks:107,strikeouts:47,batting_avg:.251,onbase:.388,slugging:.346,ops:erc">.346,ops+:lugging">.734,bases:171,double_plays:11,hit_by_pitch:7,sac_hits:2,sac_flies:6,intentional_walks:8
pos:2B,name:Bump Wills,age:25,games:157,plate_appearances:619,at_bats:539,runs:78,hits:135,doubles:17,triples:4,home_runs:9,runs_batted_in:57,stolen_bases:52,caught_stealing:14,walks:63,strikeouts:91,batting_avg:.250,onbase:.331,slugging:.347,ops:erc">.347,ops+:lugging">.678,bases:187,double_plays:11,hit_by_pitch:4,sac_hits:9,sac_flies:4,intentional_walks:3
pos:SS,name:Bert Campaneris,age:36,games:98,plate_appearances:319,at_bats:269,runs:30,hits:50,doubles:5,triples:3,home_runs:1,runs_batted_in:17,stolen_bases:22,caught_stealing:4,walks:20,strikeouts:36,batting_avg:.186,onbase:.245,slugging:.238,ops:erc">.238,ops+:lugging">.483,bases:64,double_plays:6,hit_by_pitch:2,sac_hits:25,sac_flies:3,intentional_walks:0
pos:3B,name:Toby Harrah,age:29,games:139,plate_appearances:547,at_bats:450,runs:56,hits:103,doubles:17,triples:3,home_runs:12,runs_batted_in:59,stolen_bases:31,caught_stealing:8,walks:83,strikeouts:66,batting_avg:.229,onbase:.349,slugging:.360,ops:erc">.360,ops+:lugging">.709,bases:162,double_plays:8,hit_by_pitch:2,sac_hits:9,sac_flies:3,intentional_walks:3
pos:LF,name:Al Oliver,age:31,games:133,plate_appearances:568,at_bats:525,runs:65,hits:170,doubles:35,triples:5,home_runs:14,runs_batted_in:89,stolen_bases:8,caught_stealing:9,walks:31,strikeouts:41,batting_avg:.324,onbase:.358,slugging:.490,ops:erc">.490,ops+:lugging">.848,bases:257,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:9,intentional_walks:6
pos:CF,name:Juan Beniquez,age:28,games:127,plate_appearances:510,at_bats:473,runs:61,hits:123,doubles:17,triples:3,home_runs:11,runs_batted_in:50,stolen_bases:10,caught_stealing:12,walks:20,strikeouts:59,batting_avg:.260,onbase:.292,slugging:.378,ops:erc">.378,ops+:lugging">.670,bases:179,double_plays:10,hit_by_pitch:3,sac_hits:10,sac_flies:4,intentional_walks:1
pos:RF,name:Bobby Bonds,age:32,games:130,plate_appearances:555,at_bats:475,runs:85,hits:126,doubles:15,triples:4,home_runs:29,runs_batted_in:82,stolen_bases:37,caught_stealing:20,walks:69,strikeouts:110,batting_avg:.265,onbase:.356,slugging:.497,ops:erc">.497,ops+:lugging">.853,bases:236,double_plays:12,hit_by_pitch:2,sac_hits:2,sac_flies:7,intentional_walks:6
pos:DH,name:Richie Zisk,age:29,games:140,plate_appearances:581,at_bats:511,runs:68,hits:134,doubles:19,triples:1,home_runs:22,runs_batted_in:85,stolen_bases:3,caught_stealing:3,walks:58,strikeouts:76,batting_avg:.262,onbase:.338,slugging:.432,ops:erc">.432,ops+:lugging">.770,bases:221,double_plays:14,hit_by_pitch:3,sac_hits:4,sac_flies:5,intentional_walks:7
pos:3B,name:Kurt Bevacqua,age:31,games:90,plate_appearances:271,at_bats:248,runs:21,hits:55,doubles:12,triples:0,home_runs:6,runs_batted_in:30,stolen_bases:1,caught_stealing:2,walks:18,strikeouts:31,batting_avg:.222,onbase:.271,slugging:.343,ops:erc">.343,ops+:lugging">.614,bases:85,double_plays:8,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:0
pos:DH,name:John Lowenstein,age:31,games:77,plate_appearances:217,at_bats:176,runs:28,hits:39,doubles:8,triples:3,home_runs:5,runs_batted_in:21,stolen_bases:16,caught_stealing:3,walks:37,strikeouts:29,batting_avg:.222,onbase:.363,slugging:.386,ops:erc">.386,ops+:lugging">.749,bases:68,double_plays:2,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:2
pos:CF,name:Bobby Thompson,age:24,games:64,plate_appearances:136,at_bats:120,runs:23,hits:27,doubles:3,triples:3,home_runs:2,runs_batted_in:12,stolen_bases:7,caught_stealing:2,walks:9,strikeouts:26,batting_avg:.225,onbase:.284,slugging:.350,ops:erc">.350,ops+:lugging">.634,bases:42,double_plays:0,hit_by_pitch:2,sac_hits:2,sac_flies:3,intentional_walks:1
pos:1B,name:Mike Jorgensen,age:29,games:96,plate_appearances:118,at_bats:97,runs:20,hits:19,doubles:3,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:3,caught_stealing:1,walks:18,strikeouts:10,batting_avg:.196,onbase:.319,slugging:.258,ops:erc">.258,ops+:lugging">.577,bases:25,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:1
pos:SS,name:Jim Mason,age:27,games:55,plate_appearances:116,at_bats:105,runs:10,hits:20,doubles:4,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:17,batting_avg:.190,onbase:.227,slugging:.229,ops:erc">.229,ops+:lugging">.456,bases:24,double_plays:2,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:C,name:John Ellis,age:29,games:34,plate_appearances:104,at_bats:94,runs:7,hits:23,doubles:4,triples:0,home_runs:3,runs_batted_in:17,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:20,batting_avg:.245,onbase:.282,slugging:.383,ops:erc">.383,ops+:lugging">.665,bases:36,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:0
pos:DH,name:Gary Gray,age:25,games:17,plate_appearances:51,at_bats:50,runs:4,hits:12,doubles:1,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:12,batting_avg:.240,onbase:.255,slugging:.380,ops:erc">.380,ops+:lugging">.635,bases:19,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
