pos:C,name:Ivan Rodriguez,age:21,games:137,plate_appearances:519,at_bats:473,runs:56,hits:129,doubles:28,triples:4,home_runs:10,runs_batted_in:66,stolen_bases:8,caught_stealing:7,walks:29,strikeouts:70,batting_avg:.273,onbase:.315,slugging:.412,ops:erc">.412,ops+:lugging">.727,bases:195,double_plays:16,hit_by_pitch:4,sac_hits:5,sac_flies:8,intentional_walks:3
pos:1B,name:Rafael Palmeiro,age:28,games:160,plate_appearances:686,at_bats:597,runs:124,hits:176,doubles:40,triples:2,home_runs:37,runs_batted_in:105,stolen_bases:22,caught_stealing:3,walks:73,strikeouts:85,batting_avg:.295,onbase:.371,slugging:.554,ops:erc">.554,ops+:lugging">.926,bases:331,double_plays:8,hit_by_pitch:5,sac_hits:2,sac_flies:9,intentional_walks:22
pos:2B,name:Doug Strange,age:29,games:145,plate_appearances:542,at_bats:484,runs:58,hits:124,doubles:29,triples:0,home_runs:7,runs_batted_in:60,stolen_bases:6,caught_stealing:4,walks:43,strikeouts:69,batting_avg:.256,onbase:.318,slugging:.360,ops:erc">.360,ops+:lugging">.678,bases:174,double_plays:12,hit_by_pitch:3,sac_hits:8,sac_flies:4,intentional_walks:3
pos:SS,name:Manuel Lee,age:28,games:73,plate_appearances:239,at_bats:205,runs:31,hits:45,doubles:3,triples:1,home_runs:1,runs_batted_in:12,stolen_bases:2,caught_stealing:4,walks:22,strikeouts:39,batting_avg:.220,onbase:.300,slugging:.259,ops:erc">.259,ops+:lugging">.559,bases:53,double_plays:2,hit_by_pitch:2,sac_hits:9,sac_flies:1,intentional_walks:3
pos:3B,name:Dean Palmer,age:24,games:148,plate_appearances:585,at_bats:519,runs:88,hits:127,doubles:31,triples:2,home_runs:33,runs_batted_in:96,stolen_bases:11,caught_stealing:10,walks:53,strikeouts:154,batting_avg:.245,onbase:.321,slugging:.503,ops:erc">.503,ops+:lugging">.824,bases:261,double_plays:5,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:4
pos:LF,name:Juan Gonzalez,age:23,games:140,plate_appearances:587,at_bats:536,runs:105,hits:166,doubles:33,triples:1,home_runs:46,runs_batted_in:118,stolen_bases:4,caught_stealing:1,walks:37,strikeouts:99,batting_avg:.310,onbase:.368,slugging:.632,ops:erc">.632,ops+:lugging">1.000,bases:339,double_plays:12,hit_by_pitch:13,sac_hits:0,sac_flies:1,intentional_walks:7
pos:CF,name:David Hulse,age:25,games:114,plate_appearances:441,at_bats:407,runs:71,hits:118,doubles:9,triples:10,home_runs:1,runs_batted_in:29,stolen_bases:29,caught_stealing:9,walks:26,strikeouts:57,batting_avg:.290,onbase:.333,slugging:.369,ops:erc">.369,ops+:lugging">.701,bases:150,double_plays:9,hit_by_pitch:1,sac_hits:5,sac_flies:2,intentional_walks:1
pos:RF,name:Jose Canseco,age:28,games:60,plate_appearances:253,at_bats:231,runs:30,hits:59,doubles:14,triples:1,home_runs:10,runs_batted_in:46,stolen_bases:6,caught_stealing:6,walks:16,strikeouts:62,batting_avg:.255,onbase:.308,slugging:.455,ops:erc">.455,ops+:lugging">.763,bases:105,double_plays:6,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:2
pos:DH,name:Julio Franco,age:34,games:144,plate_appearances:607,at_bats:532,runs:85,hits:154,doubles:31,triples:3,home_runs:14,runs_batted_in:84,stolen_bases:9,caught_stealing:3,walks:62,strikeouts:95,batting_avg:.289,onbase:.360,slugging:.438,ops:erc">.438,ops+:lugging">.798,bases:233,double_plays:16,hit_by_pitch:1,sac_hits:5,sac_flies:7,intentional_walks:4
pos:RF,name:Gary Redus,age:36,games:77,plate_appearances:248,at_bats:222,runs:28,hits:64,doubles:12,triples:4,home_runs:6,runs_batted_in:31,stolen_bases:4,caught_stealing:4,walks:23,strikeouts:35,batting_avg:.288,onbase:.351,slugging:.459,ops:erc">.459,ops+:lugging">.810,bases:102,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:SS,name:Mario Diaz,age:31,games:71,plate_appearances:226,at_bats:205,runs:24,hits:56,doubles:10,triples:1,home_runs:2,runs_batted_in:24,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:13,batting_avg:.273,onbase:.297,slugging:.361,ops:erc">.361,ops+:lugging">.658,bases:74,double_plays:6,hit_by_pitch:1,sac_hits:7,sac_flies:5,intentional_walks:0
