pos:C,name:Ivan Rodriguez,age:30,games:108,plate_appearances:440,at_bats:408,runs:67,hits:128,doubles:32,triples:2,home_runs:19,runs_batted_in:60,stolen_bases:5,caught_stealing:4,walks:25,strikeouts:71,batting_avg:.314,onbase:.353,slugging:.542,ops:erc">.542,ops+:lugging">.895,bases:221,double_plays:13,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:2
pos:1B,name:Rafael Palmeiro,age:37,games:155,plate_appearances:663,at_bats:546,runs:99,hits:149,doubles:34,triples:0,home_runs:43,runs_batted_in:105,stolen_bases:2,caught_stealing:0,walks:104,strikeouts:94,batting_avg:.273,onbase:.391,slugging:.571,ops:erc">.571,ops+:lugging">.962,bases:312,double_plays:10,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:16
pos:2B,name:Michael Young,age:25,games:156,plate_appearances:633,at_bats:573,runs:77,hits:150,doubles:26,triples:8,home_runs:9,runs_batted_in:62,stolen_bases:6,caught_stealing:7,walks:41,strikeouts:112,batting_avg:.262,onbase:.308,slugging:.382,ops:erc">.382,ops+:lugging">.690,bases:219,double_plays:14,hit_by_pitch:0,sac_hits:13,sac_flies:6,intentional_walks:1
pos:SS,name:Alex Rodriguez,age:26,games:162,plate_appearances:725,at_bats:624,runs:125,hits:187,doubles:27,triples:2,home_runs:57,runs_batted_in:142,stolen_bases:9,caught_stealing:4,walks:87,strikeouts:122,batting_avg:.300,onbase:.392,slugging:.623,ops:erc">.623,ops+:lugging">1.015,bases:389,double_plays:14,hit_by_pitch:10,sac_hits:0,sac_flies:4,intentional_walks:12
pos:3B,name:Herbert Perry,age:32,games:132,plate_appearances:496,at_bats:450,runs:64,hits:124,doubles:24,triples:1,home_runs:22,runs_batted_in:77,stolen_bases:4,caught_stealing:2,walks:34,strikeouts:66,batting_avg:.276,onbase:.333,slugging:.480,ops:erc">.480,ops+:lugging">.813,bases:216,double_plays:17,hit_by_pitch:6,sac_hits:4,sac_flies:2,intentional_walks:1
pos:LF,name:Kevin Mench,age:24,games:110,plate_appearances:412,at_bats:366,runs:52,hits:95,doubles:20,triples:2,home_runs:15,runs_batted_in:60,stolen_bases:1,caught_stealing:1,walks:31,strikeouts:83,batting_avg:.260,onbase:.327,slugging:.448,ops:erc">.448,ops+:lugging">.775,bases:164,double_plays:4,hit_by_pitch:8,sac_hits:2,sac_flies:5,intentional_walks:0
pos:CF,name:Ruben Rivera,age:28,games:69,plate_appearances:186,at_bats:158,runs:17,hits:33,doubles:4,triples:0,home_runs:4,runs_batted_in:14,stolen_bases:4,caught_stealing:2,walks:17,strikeouts:45,batting_avg:.209,onbase:.302,slugging:.310,ops:erc">.310,ops+:lugging">.612,bases:49,double_plays:2,hit_by_pitch:5,sac_hits:4,sac_flies:2,intentional_walks:0
pos:RF,name:Juan Gonzalez,age:32,games:70,plate_appearances:296,at_bats:277,runs:38,hits:78,doubles:21,triples:1,home_runs:8,runs_batted_in:35,stolen_bases:2,caught_stealing:0,walks:17,strikeouts:56,batting_avg:.282,onbase:.324,slugging:.451,ops:erc">.451,ops+:lugging">.776,bases:125,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:DH,name:Rusty Greer,age:33,games:51,plate_appearances:219,at_bats:199,runs:24,hits:59,doubles:9,triples:2,home_runs:1,runs_batted_in:17,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:17,batting_avg:.296,onbase:.356,slugging:.377,ops:erc">.377,ops+:lugging">.733,bases:75,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Carl Everett,age:31,games:105,plate_appearances:418,at_bats:374,runs:47,hits:100,doubles:16,triples:0,home_runs:16,runs_batted_in:62,stolen_bases:2,caught_stealing:3,walks:33,strikeouts:77,batting_avg:.267,onbase:.333,slugging:.439,ops:erc">.439,ops+:lugging">.772,bases:164,double_plays:7,hit_by_pitch:6,sac_hits:1,sac_flies:4,intentional_walks:4
pos:1B,name:Mike Lamb,age:26,games:115,plate_appearances:355,at_bats:314,runs:54,hits:89,doubles:13,triples:0,home_runs:9,runs_batted_in:33,stolen_bases:0,caught_stealing:0,walks:33,strikeouts:48,batting_avg:.283,onbase:.354,slugging:.411,ops:erc">.411,ops+:lugging">.765,bases:129,double_plays:7,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:5
pos:UT,name:Frank Catalanotto,age:28,games:68,plate_appearances:250,at_bats:212,runs:42,hits:57,doubles:16,triples:6,home_runs:3,runs_batted_in:23,stolen_bases:9,caught_stealing:5,walks:25,strikeouts:27,batting_avg:.269,onbase:.364,slugging:.443,ops:erc">.443,ops+:lugging">.808,bases:94,double_plays:3,hit_by_pitch:8,sac_hits:3,sac_flies:2,intentional_walks:0
pos:OF,name:Gabe Kapler,age:26,games:72,plate_appearances:214,at_bats:196,runs:25,hits:51,doubles:12,triples:1,home_runs:0,runs_batted_in:17,stolen_bases:5,caught_stealing:2,walks:8,strikeouts:30,batting_avg:.260,onbase:.285,slugging:.332,ops:erc">.332,ops+:lugging">.617,bases:65,double_plays:3,hit_by_pitch:0,sac_hits:7,sac_flies:3,intentional_walks:0
pos:C,name:Bill Haselman,age:36,games:69,plate_appearances:193,at_bats:179,runs:16,hits:44,doubles:7,triples:0,home_runs:3,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:25,batting_avg:.246,onbase:.297,slugging:.335,ops:erc">.335,ops+:lugging">.632,bases:60,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:1
pos:3B,name:Hank Blalock,age:21,games:49,plate_appearances:172,at_bats:147,runs:16,hits:31,doubles:8,triples:0,home_runs:3,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:43,batting_avg:.211,onbase:.306,slugging:.327,ops:erc">.327,ops+:lugging">.632,bases:48,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:1
pos:OF,name:Todd Hollandsworth,age:29,games:39,plate_appearances:149,at_bats:132,runs:16,hits:34,doubles:6,triples:0,home_runs:5,runs_batted_in:19,stolen_bases:1,caught_stealing:0,walks:14,strikeouts:27,batting_avg:.258,onbase:.327,slugging:.417,ops:erc">.417,ops+:lugging">.743,bases:55,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:UT,name:Todd Greene,age:31,games:42,plate_appearances:118,at_bats:112,runs:15,hits:30,doubles:5,triples:0,home_runs:10,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:23,batting_avg:.268,onbase:.282,slugging:.580,ops:erc">.580,ops+:lugging">.862,bases:65,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:CF,name:Ryan Ludwick,age:23,games:23,plate_appearances:88,at_bats:81,runs:10,hits:19,doubles:6,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:24,batting_avg:.235,onbase:.295,slugging:.346,ops:erc">.346,ops+:lugging">.641,bases:28,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Calvin Murray,age:30,games:37,plate_appearances:86,at_bats:77,runs:16,hits:13,doubles:5,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:4,caught_stealing:0,walks:6,strikeouts:15,batting_avg:.169,onbase:.238,slugging:.260,ops:erc">.260,ops+:lugging">.498,bases:20,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:DH,name:Travis Hafner,age:25,games:23,plate_appearances:70,at_bats:62,runs:6,hits:15,doubles:4,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:15,batting_avg:.242,onbase:.329,slugging:.387,ops:erc">.387,ops+:lugging">.716,bases:24,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Jason Romano,age:23,games:29,plate_appearances:60,at_bats:54,runs:8,hits:11,doubles:4,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:2,caught_stealing:0,walks:4,strikeouts:13,batting_avg:.204,onbase:.254,slugging:.278,ops:erc">.278,ops+:lugging">.532,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Donnie Sadler,age:27,games:38,plate_appearances:36,at_bats:30,runs:6,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:2,walks:3,strikeouts:7,batting_avg:.100,onbase:.229,slugging:.133,ops:erc">.133,ops+:lugging">.362,bases:4,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Jason Hart,age:24,games:10,plate_appearances:17,at_bats:15,runs:2,hits:4,doubles:3,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.267,onbase:.353,slugging:.467,ops:erc">.467,ops+:lugging">.820,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
