pos:C,name:Jim Sundberg,age:28,games:150,plate_appearances:561,at_bats:495,runs:50,hits:136,doubles:23,triples:4,home_runs:5,runs_batted_in:64,stolen_bases:3,caught_stealing:3,walks:51,strikeouts:51,batting_avg:.275,onbase:.345,slugging:.368,ops:erc">.368,ops+:lugging">.713,bases:182,double_plays:17,hit_by_pitch:5,sac_hits:5,sac_flies:5,intentional_walks:5
pos:1B,name:Pat Putnam,age:25,games:139,plate_appearances:465,at_bats:426,runs:57,hits:118,doubles:19,triples:2,home_runs:18,runs_batted_in:64,stolen_bases:1,caught_stealing:6,walks:23,strikeouts:50,batting_avg:.277,onbase:.319,slugging:.458,ops:erc">.458,ops+:lugging">.777,bases:195,double_plays:12,hit_by_pitch:6,sac_hits:4,sac_flies:6,intentional_walks:6
pos:2B,name:Bump Wills,age:26,games:146,plate_appearances:617,at_bats:543,runs:90,hits:148,doubles:21,triples:3,home_runs:5,runs_batted_in:46,stolen_bases:35,caught_stealing:11,walks:53,strikeouts:58,batting_avg:.273,onbase:.340,slugging:.350,ops:erc">.350,ops+:lugging">.690,bases:190,double_plays:12,hit_by_pitch:4,sac_hits:14,sac_flies:3,intentional_walks:4
pos:SS,name:Nelson Norman,age:21,games:147,plate_appearances:383,at_bats:343,runs:36,hits:76,doubles:9,triples:3,home_runs:0,runs_batted_in:21,stolen_bases:4,caught_stealing:1,walks:19,strikeouts:41,batting_avg:.222,onbase:.260,slugging:.265,ops:erc">.265,ops+:lugging">.526,bases:91,double_plays:5,hit_by_pitch:0,sac_hits:18,sac_flies:3,intentional_walks:0
pos:3B,name:Buddy Bell,age:27,games:162,plate_appearances:720,at_bats:670,runs:89,hits:200,doubles:42,triples:3,home_runs:18,runs_batted_in:101,stolen_bases:5,caught_stealing:4,walks:30,strikeouts:45,batting_avg:.299,onbase:.327,slugging:.451,ops:erc">.451,ops+:lugging">.778,bases:302,double_plays:16,hit_by_pitch:3,sac_hits:7,sac_flies:10,intentional_walks:4
pos:LF,name:Billy Sample,age:24,games:128,plate_appearances:377,at_bats:325,runs:60,hits:95,doubles:21,triples:2,home_runs:5,runs_batted_in:35,stolen_bases:8,caught_stealing:6,walks:37,strikeouts:28,batting_avg:.292,onbase:.365,slugging:.415,ops:erc">.415,ops+:lugging">.781,bases:135,double_plays:6,hit_by_pitch:2,sac_hits:10,sac_flies:3,intentional_walks:1
pos:CF,name:Al Oliver,age:32,games:136,plate_appearances:538,at_bats:492,runs:69,hits:159,doubles:28,triples:4,home_runs:12,runs_batted_in:76,stolen_bases:4,caught_stealing:5,walks:34,strikeouts:34,batting_avg:.323,onbase:.367,slugging:.470,ops:erc">.470,ops+:lugging">.836,bases:231,double_plays:14,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:8
pos:RF,name:Richie Zisk,age:30,games:144,plate_appearances:563,at_bats:503,runs:69,hits:132,doubles:21,triples:1,home_runs:18,runs_batted_in:64,stolen_bases:1,caught_stealing:1,walks:57,strikeouts:75,batting_avg:.262,onbase:.336,slugging:.416,ops:erc">.416,ops+:lugging">.752,bases:209,double_plays:15,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:4
pos:DH,name:John Ellis,age:30,games:111,plate_appearances:337,at_bats:316,runs:33,hits:90,doubles:12,triples:0,home_runs:12,runs_batted_in:61,stolen_bases:2,caught_stealing:2,walks:15,strikeouts:55,batting_avg:.285,onbase:.318,slugging:.437,ops:erc">.437,ops+:lugging">.754,bases:138,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:1
pos:OF,name:Johnny Grubb,age:30,games:102,plate_appearances:328,at_bats:289,runs:42,hits:79,doubles:14,triples:0,home_runs:10,runs_batted_in:37,stolen_bases:2,caught_stealing:4,walks:34,strikeouts:44,batting_avg:.273,onbase:.350,slugging:.426,ops:erc">.426,ops+:lugging">.775,bases:123,double_plays:6,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:3
pos:CF,name:Mickey Rivers,age:30,games:58,plate_appearances:263,at_bats:247,runs:35,hits:74,doubles:9,triples:3,home_runs:6,runs_batted_in:25,stolen_bases:7,caught_stealing:2,walks:9,strikeouts:18,batting_avg:.300,onbase:.323,slugging:.433,ops:erc">.433,ops+:lugging">.756,bases:107,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:3,intentional_walks:0
pos:DH,name:Oscar Gamble,age:29,games:64,plate_appearances:201,at_bats:161,runs:27,hits:54,doubles:6,triples:0,home_runs:8,runs_batted_in:32,stolen_bases:2,caught_stealing:1,walks:37,strikeouts:15,batting_avg:.335,onbase:.458,slugging:.522,ops:erc">.522,ops+:lugging">.979,bases:84,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:11
pos:1B,name:Mike Jorgensen,age:30,games:90,plate_appearances:177,at_bats:157,runs:21,hits:35,doubles:7,triples:0,home_runs:6,runs_batted_in:16,stolen_bases:0,caught_stealing:2,walks:14,strikeouts:29,batting_avg:.223,onbase:.293,slugging:.382,ops:erc">.382,ops+:lugging">.675,bases:60,double_plays:3,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:1
pos:3B,name:Eric Soderholm,age:30,games:63,plate_appearances:166,at_bats:147,runs:15,hits:40,doubles:6,triples:0,home_runs:4,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:9,batting_avg:.272,onbase:.325,slugging:.395,ops:erc">.395,ops+:lugging">.720,bases:58,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:0
pos:1B,name:Willie Montanez,age:31,games:38,plate_appearances:154,at_bats:144,runs:19,hits:46,doubles:6,triples:0,home_runs:8,runs_batted_in:24,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:14,batting_avg:.319,onbase:.357,slugging:.528,ops:erc">.528,ops+:lugging">.885,bases:76,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:SS,name:Larvell Blanks,age:29,games:68,plate_appearances:138,at_bats:120,runs:13,hits:24,doubles:5,triples:0,home_runs:1,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:9,batting_avg:.200,onbase:.259,slugging:.267,ops:erc">.267,ops+:lugging">.526,bases:32,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:4,intentional_walks:0
pos:UT,name:Dave Roberts,age:28,games:44,plate_appearances:93,at_bats:84,runs:12,hits:22,doubles:2,triples:1,home_runs:3,runs_batted_in:14,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:17,batting_avg:.262,onbase:.319,slugging:.417,ops:erc">.417,ops+:lugging">.735,bases:35,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:DH,name:Gary Gray,age:26,games:16,plate_appearances:44,at_bats:42,runs:4,hits:10,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:8,batting_avg:.238,onbase:.273,slugging:.238,ops:erc">.238,ops+:lugging">.511,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:LaRue Washington,age:25,games:25,plate_appearances:22,at_bats:18,runs:5,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:1,walks:4,strikeouts:0,batting_avg:.278,onbase:.409,slugging:.278,ops:erc">.278,ops+:lugging">.687,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Greg Mahlberg,age:26,games:7,plate_appearances:21,at_bats:17,runs:2,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.118,onbase:.211,slugging:.294,ops:erc">.294,ops+:lugging">.505,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:SS,name:Bert Campaneris,age:37,games:8,plate_appearances:10,at_bats:9,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.111,onbase:.200,slugging:.111,ops:erc">.111,ops+:lugging">.311,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Dave Chalk,age:28,games:9,plate_appearances:9,at_bats:8,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
