pos:SS,name:Pete Mackanin,age:21,games:44,plate_appearances:98,at_bats:90,runs:3,hits:9,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:26,batting_avg:.100,onbase:.146,slugging:.122,ops:erc">.122,ops+:lugging">.268,bases:11,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:3B,name:Bill Madlock,age:22,games:21,plate_appearances:85,at_bats:77,runs:16,hits:27,doubles:5,triples:3,home_runs:1,runs_batted_in:5,stolen_bases:3,caught_stealing:2,walks:7,strikeouts:9,batting_avg:.351,onbase:.412,slugging:.532,ops:erc">.532,ops+:lugging">.944,bases:41,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Joe Lovitto,age:22,games:26,plate_appearances:49,at_bats:44,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:7,batting_avg:.136,onbase:.224,slugging:.159,ops:erc">.159,ops+:lugging">.384,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Lenny Randle,age:24,games:10,plate_appearances:30,at_bats:29,runs:3,hits:6,doubles:1,triples:1,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:2,walks:0,strikeouts:2,batting_avg:.207,onbase:.207,slugging:.414,ops:erc">.414,ops+:lugging">.621,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Don Castle,age:23,games:4,plate_appearances:14,at_bats:13,runs:0,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.308,onbase:.357,slugging:.385,ops:erc">.385,ops+:lugging">.742,bases:5,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Rick Stelmaszek,age:24,games:7,plate_appearances:10,at_bats:9,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.111,onbase:.200,slugging:.111,ops:erc">.111,ops+:lugging">.311,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Bibby,age:28,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rich Hand,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:David Clyde,age:18,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Hudson,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
