pos:C,name:Kurt Suzuki,age:28,games:75,plate_appearances:278,at_bats:262,runs:19,hits:57,doubles:15,triples:0,home_runs:1,runs_batted_in:18,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:53,batting_avg:.218,onbase:.250,slugging:.286,ops:erc">.286,ops+:lugging">.536,bases:75,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:0
pos:1B,name:Chris Carter,age:25,games:67,plate_appearances:260,at_bats:218,runs:38,hits:52,doubles:12,triples:0,home_runs:16,runs_batted_in:39,stolen_bases:0,caught_stealing:0,walks:39,strikeouts:83,batting_avg:.239,onbase:.350,slugging:.514,ops:erc">.514,ops+:lugging">.864,bases:112,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Jemile Weeks,age:25,games:118,plate_appearances:511,at_bats:444,runs:54,hits:98,doubles:15,triples:8,home_runs:2,runs_batted_in:20,stolen_bases:16,caught_stealing:5,walks:50,strikeouts:70,batting_avg:.221,onbase:.305,slugging:.304,ops:erc">.304,ops+:lugging">.609,bases:135,double_plays:5,hit_by_pitch:5,sac_hits:9,sac_flies:3,intentional_walks:0
pos:SS,name:Cliff Pennington,age:28,games:125,plate_appearances:462,at_bats:418,runs:50,hits:90,doubles:18,triples:2,home_runs:6,runs_batted_in:28,stolen_bases:15,caught_stealing:6,walks:35,strikeouts:90,batting_avg:.215,onbase:.278,slugging:.311,ops:erc">.311,ops+:lugging">.589,bases:130,double_plays:1,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:0
pos:3B,name:Brandon Inge,age:35,games:74,plate_appearances:311,at_bats:283,runs:31,hits:64,doubles:13,triples:0,home_runs:11,runs_batted_in:52,stolen_bases:0,caught_stealing:1,walks:24,strikeouts:85,batting_avg:.226,onbase:.286,slugging:.389,ops:erc">.389,ops+:lugging">.675,bases:110,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:LF,name:Yoenis Cespedes,age:26,games:129,plate_appearances:540,at_bats:487,runs:70,hits:142,doubles:25,triples:5,home_runs:23,runs_batted_in:82,stolen_bases:16,caught_stealing:4,walks:43,strikeouts:102,batting_avg:.292,onbase:.356,slugging:.505,ops:erc">.505,ops+:lugging">.861,bases:246,double_plays:9,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:5
pos:CF,name:Coco Crisp,age:32,games:120,plate_appearances:508,at_bats:455,runs:68,hits:118,doubles:25,triples:7,home_runs:11,runs_batted_in:46,stolen_bases:39,caught_stealing:4,walks:45,strikeouts:64,batting_avg:.259,onbase:.325,slugging:.418,ops:erc">.418,ops+:lugging">.742,bases:190,double_plays:9,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:0
pos:RF,name:Josh Reddick,age:25,games:156,plate_appearances:673,at_bats:611,runs:85,hits:148,doubles:29,triples:5,home_runs:32,runs_batted_in:85,stolen_bases:11,caught_stealing:1,walks:55,strikeouts:151,batting_avg:.242,onbase:.305,slugging:.463,ops:erc">.463,ops+:lugging">.768,bases:283,double_plays:15,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:8
pos:DH,name:Jonny Gomes,age:31,games:99,plate_appearances:333,at_bats:279,runs:46,hits:73,doubles:10,triples:0,home_runs:18,runs_batted_in:47,stolen_bases:3,caught_stealing:1,walks:44,strikeouts:104,batting_avg:.262,onbase:.377,slugging:.491,ops:erc">.491,ops+:lugging">.868,bases:137,double_plays:2,hit_by_pitch:8,sac_hits:1,sac_flies:1,intentional_walks:2
pos:DH,name:Seth Smith,age:29,games:125,plate_appearances:441,at_bats:383,runs:55,hits:92,doubles:23,triples:2,home_runs:14,runs_batted_in:52,stolen_bases:2,caught_stealing:2,walks:50,strikeouts:98,batting_avg:.240,onbase:.333,slugging:.420,ops:erc">.420,ops+:lugging">.754,bases:161,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:7
pos:1B,name:Brandon Moss,age:28,games:84,plate_appearances:296,at_bats:265,runs:48,hits:77,doubles:18,triples:0,home_runs:21,runs_batted_in:52,stolen_bases:1,caught_stealing:1,walks:26,strikeouts:90,batting_avg:.291,onbase:.358,slugging:.596,ops:erc">.596,ops+:lugging">.954,bases:158,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:2
