pos:DH,name:Adam Dunn,age:34,games:25,plate_appearances:76,at_bats:66,runs:6,hits:14,doubles:1,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:27,batting_avg:.212,onbase:.316,slugging:.318,ops:erc">.318,ops+:lugging">.634,bases:21,double_plays:0,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Jonny Gomes,age:33,games:34,plate_appearances:75,at_bats:64,runs:6,hits:15,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:9,strikeouts:18,batting_avg:.234,onbase:.320,slugging:.250,ops:erc">.250,ops+:lugging">.570,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:2
pos:1B,name:Daric Barton,age:28,games:30,plate_appearances:64,at_bats:57,runs:7,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.158,onbase:.234,slugging:.175,ops:erc">.175,ops+:lugging">.410,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Kyle Blanks,age:27,games:21,plate_appearances:56,at_bats:45,runs:9,hits:15,doubles:1,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:13,batting_avg:.333,onbase:.446,slugging:.489,ops:erc">.489,ops+:lugging">.935,bases:22,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Andy Parrino,age:28,games:21,plate_appearances:51,at_bats:46,runs:4,hits:7,doubles:3,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.152,onbase:.216,slugging:.283,ops:erc">.283,ops+:lugging">.498,bases:13,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Geovany Soto,age:31,games:14,plate_appearances:49,at_bats:42,runs:3,hits:11,doubles:4,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:8,batting_avg:.262,onbase:.354,slugging:.357,ops:erc">.357,ops+:lugging">.711,bases:15,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Billy Burns,age:24,games:13,plate_appearances:6,at_bats:6,runs:4,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:3,caught_stealing:1,walks:0,strikeouts:0,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Bryan Anderson,age:27,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Kazmir,age:30,games:2,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jason Hammel,age:31,games:3,plate_appearances:4,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
