pos:IF,name:Sheldon Neuse,age:24,games:25,plate_appearances:61,at_bats:56,runs:3,hits:14,doubles:3,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:19,batting_avg:.250,onbase:.295,slugging:.304,ops:erc">.304,ops+:lugging">.599,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Sean Murphy,age:24,games:20,plate_appearances:60,at_bats:53,runs:14,hits:13,doubles:5,triples:0,home_runs:4,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:16,batting_avg:.245,onbase:.333,slugging:.566,ops:erc">.566,ops+:lugging">.899,bases:30,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Franklin Barreto,age:23,games:23,plate_appearances:58,at_bats:57,runs:6,hits:7,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:23,batting_avg:.123,onbase:.138,slugging:.263,ops:erc">.263,ops+:lugging">.401,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Corban Joseph,age:30,games:11,plate_appearances:40,at_bats:37,runs:4,hits:7,doubles:2,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.189,onbase:.225,slugging:.324,ops:erc">.324,ops+:lugging">.549,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Beau Taylor,age:29,games:10,plate_appearances:28,at_bats:23,runs:3,hits:4,doubles:0,triples:0,home_runs:2,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.174,onbase:.321,slugging:.435,ops:erc">.435,ops+:lugging">.756,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Dustin Garneau,age:31,games:7,plate_appearances:19,at_bats:17,runs:3,hits:5,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.294,onbase:.368,slugging:.588,ops:erc">.588,ops+:lugging">.957,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Nick Martini,age:29,games:6,plate_appearances:13,at_bats:11,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.091,onbase:.231,slugging:.364,ops:erc">.364,ops+:lugging">.594,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Skye Bolt,age:25,games:5,plate_appearances:11,at_bats:10,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.100,onbase:.182,slugging:.200,ops:erc">.200,ops+:lugging">.382,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brett Anderson,age:31,games:3,plate_appearances:8,at_bats:8,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chris Bassitt,age:30,games:3,plate_appearances:5,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Homer Bailey,age:33,games:2,plate_appearances:4,at_bats:4,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Mengden,age:26,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
