pos:1B,name:Matt Olson,age:23,games:59,plate_appearances:216,at_bats:189,runs:33,hits:49,doubles:2,triples:0,home_runs:24,runs_batted_in:45,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:60,batting_avg:.259,onbase:.352,slugging:.651,ops:erc">.651,ops+:lugging">1.003,bases:123,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:0,intentional_walks:1
pos:3B,name:Trevor Plouffe,age:31,games:58,plate_appearances:199,at_bats:182,runs:22,hits:39,doubles:5,triples:0,home_runs:7,runs_batted_in:14,stolen_bases:1,caught_stealing:1,walks:16,strikeouts:58,batting_avg:.214,onbase:.276,slugging:.357,ops:erc">.357,ops+:lugging">.634,bases:65,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Mark Canha,age:28,games:57,plate_appearances:187,at_bats:173,runs:16,hits:36,doubles:13,triples:1,home_runs:5,runs_batted_in:14,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:56,batting_avg:.208,onbase:.262,slugging:.382,ops:erc">.382,ops+:lugging">.644,bases:66,double_plays:5,hit_by_pitch:6,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Stephen Vogt,age:32,games:54,plate_appearances:174,at_bats:157,runs:12,hits:34,doubles:8,triples:1,home_runs:4,runs_batted_in:20,stolen_bases:0,caught_stealing:1,walks:16,strikeouts:31,batting_avg:.217,onbase:.287,slugging:.357,ops:erc">.357,ops+:lugging">.644,bases:56,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:CF,name:Jaycob Brugman,age:25,games:48,plate_appearances:162,at_bats:143,runs:12,hits:38,doubles:2,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:1,caught_stealing:2,walks:18,strikeouts:38,batting_avg:.266,onbase:.346,slugging:.343,ops:erc">.343,ops+:lugging">.688,bases:49,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Josh Phegley,age:29,games:57,plate_appearances:161,at_bats:149,runs:14,hits:30,doubles:11,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:9,strikeouts:26,batting_avg:.201,onbase:.255,slugging:.336,ops:erc">.336,ops+:lugging">.590,bases:50,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Boog Powell,age:24,games:29,plate_appearances:92,at_bats:81,runs:18,hits:26,doubles:5,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:9,strikeouts:21,batting_avg:.321,onbase:.380,slugging:.494,ops:erc">.494,ops+:lugging">.874,bases:40,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:MI,name:Franklin Barreto,age:21,games:25,plate_appearances:76,at_bats:71,runs:10,hits:14,doubles:1,triples:2,home_runs:2,runs_batted_in:6,stolen_bases:2,caught_stealing:0,walks:5,strikeouts:33,batting_avg:.197,onbase:.250,slugging:.352,ops:erc">.352,ops+:lugging">.602,bases:25,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jaff Decker,age:27,games:17,plate_appearances:62,at_bats:50,runs:4,hits:10,doubles:1,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:1,walks:8,strikeouts:17,batting_avg:.200,onbase:.322,slugging:.260,ops:erc">.260,ops+:lugging">.582,bases:13,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:C,name:Dustin Garneau,age:29,games:19,plate_appearances:52,at_bats:44,runs:5,hits:7,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:12,batting_avg:.159,onbase:.288,slugging:.250,ops:erc">.250,ops+:lugging">.538,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Jake Smolinski,age:28,games:16,plate_appearances:29,at_bats:27,runs:1,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.259,onbase:.310,slugging:.296,ops:erc">.296,ops+:lugging">.607,bases:8,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Renato Nunez,age:23,games:8,plate_appearances:16,at_bats:15,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.200,onbase:.250,slugging:.400,ops:erc">.400,ops+:lugging">.650,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Joey Wendle,age:27,games:8,plate_appearances:14,at_bats:13,runs:3,hits:4,doubles:1,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.308,onbase:.357,slugging:.615,ops:erc">.615,ops+:lugging">.973,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Ryan Lavarnway,age:29,games:6,plate_appearances:13,at_bats:11,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.273,onbase:.385,slugging:.364,ops:erc">.364,ops+:lugging">.748,bases:4,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Ryan LaMarre,age:28,games:3,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.000,onbase:.125,slugging:.000,ops:erc">.000,ops+:lugging">.125,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Gossett,age:24,games:3,plate_appearances:7,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Sean Manaea,age:25,games:2,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Mengden,age:24,games:1,plate_appearances:4,at_bats:2,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.500,onbase:.667,slugging:.500,ops:erc">.500,ops+:lugging">1.167,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Paul Blackburn,age:23,games:1,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jharel Cotton,age:25,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kendall Graveman,age:26,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chris Smith,age:36,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Axford,age:34,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Danny Coulombe,age:27,games:7,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sean Doolittle,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Simon Castro,age:29,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Zach Neal,age:28,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
