pos:C,name:Terry Steinbach,age:34,games:145,plate_appearances:571,at_bats:514,runs:79,hits:140,doubles:25,triples:1,home_runs:35,runs_batted_in:100,stolen_bases:0,caught_stealing:1,walks:49,strikeouts:115,batting_avg:.272,onbase:.342,slugging:.529,ops:erc">.529,ops+:lugging">.871,bases:272,double_plays:16,hit_by_pitch:6,sac_hits:0,sac_flies:2,intentional_walks:5
pos:1B,name:Mark McGwire,age:32,games:130,plate_appearances:548,at_bats:423,runs:104,hits:132,doubles:21,triples:0,home_runs:52,runs_batted_in:113,stolen_bases:0,caught_stealing:0,walks:116,strikeouts:112,batting_avg:.312,onbase:.467,slugging:.730,ops:erc">.730,ops+:lugging">1.198,bases:309,double_plays:14,hit_by_pitch:8,sac_hits:0,sac_flies:1,intentional_walks:16
pos:2B,name:Brent Gates,age:26,games:64,plate_appearances:274,at_bats:247,runs:26,hits:65,doubles:19,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:18,strikeouts:35,batting_avg:.263,onbase:.316,slugging:.381,ops:erc">.381,ops+:lugging">.697,bases:94,double_plays:9,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:0
pos:SS,name:Mike Bordick,age:30,games:155,plate_appearances:587,at_bats:525,runs:46,hits:126,doubles:18,triples:4,home_runs:5,runs_batted_in:54,stolen_bases:5,caught_stealing:6,walks:52,strikeouts:59,batting_avg:.240,onbase:.307,slugging:.318,ops:erc">.318,ops+:lugging">.625,bases:167,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:0
pos:3B,name:Scott Brosius,age:29,games:114,plate_appearances:500,at_bats:428,runs:73,hits:130,doubles:25,triples:0,home_runs:22,runs_batted_in:71,stolen_bases:7,caught_stealing:2,walks:59,strikeouts:85,batting_avg:.304,onbase:.393,slugging:.516,ops:erc">.516,ops+:lugging">.909,bases:221,double_plays:11,hit_by_pitch:7,sac_hits:1,sac_flies:5,intentional_walks:4
pos:LF,name:Phil Plantier,age:27,games:73,plate_appearances:263,at_bats:231,runs:29,hits:49,doubles:8,triples:1,home_runs:7,runs_batted_in:31,stolen_bases:2,caught_stealing:2,walks:28,strikeouts:56,batting_avg:.212,onbase:.304,slugging:.346,ops:erc">.346,ops+:lugging">.651,bases:80,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Ernie Young,age:26,games:141,plate_appearances:528,at_bats:462,runs:72,hits:112,doubles:19,triples:4,home_runs:19,runs_batted_in:64,stolen_bases:7,caught_stealing:5,walks:52,strikeouts:118,batting_avg:.242,onbase:.326,slugging:.424,ops:erc">.424,ops+:lugging">.750,bases:196,double_plays:13,hit_by_pitch:7,sac_hits:3,sac_flies:4,intentional_walks:1
pos:RF,name:Jose Herrera,age:23,games:108,plate_appearances:346,at_bats:320,runs:44,hits:86,doubles:15,triples:1,home_runs:6,runs_batted_in:30,stolen_bases:8,caught_stealing:2,walks:20,strikeouts:59,batting_avg:.269,onbase:.318,slugging:.378,ops:erc">.378,ops+:lugging">.696,bases:121,double_plays:5,hit_by_pitch:3,sac_hits:3,sac_flies:0,intentional_walks:1
pos:DH,name:Geronimo Berroa,age:31,games:153,plate_appearances:643,at_bats:586,runs:101,hits:170,doubles:32,triples:1,home_runs:36,runs_batted_in:106,stolen_bases:0,caught_stealing:3,walks:47,strikeouts:122,batting_avg:.290,onbase:.344,slugging:.532,ops:erc">.532,ops+:lugging">.876,bases:312,double_plays:16,hit_by_pitch:4,sac_hits:0,sac_flies:6,intentional_walks:0
pos:UT,name:Jason Giambi,age:25,games:140,plate_appearances:598,at_bats:536,runs:84,hits:156,doubles:40,triples:1,home_runs:20,runs_batted_in:79,stolen_bases:0,caught_stealing:1,walks:51,strikeouts:95,batting_avg:.291,onbase:.355,slugging:.481,ops:erc">.481,ops+:lugging">.836,bases:258,double_plays:15,hit_by_pitch:5,sac_hits:1,sac_flies:5,intentional_walks:3
pos:2B,name:Rafael Bournigal,age:30,games:88,plate_appearances:277,at_bats:252,runs:33,hits:61,doubles:14,triples:2,home_runs:0,runs_batted_in:18,stolen_bases:4,caught_stealing:3,walks:16,strikeouts:19,batting_avg:.242,onbase:.290,slugging:.313,ops:erc">.313,ops+:lugging">.603,bases:79,double_plays:6,hit_by_pitch:1,sac_hits:8,sac_flies:0,intentional_walks:0
pos:2B,name:Tony Batista,age:22,games:74,plate_appearances:260,at_bats:238,runs:38,hits:71,doubles:10,triples:2,home_runs:6,runs_batted_in:25,stolen_bases:7,caught_stealing:3,walks:19,strikeouts:49,batting_avg:.298,onbase:.350,slugging:.433,ops:erc">.433,ops+:lugging">.783,bases:103,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:C,name:George Williams,age:27,games:56,plate_appearances:166,at_bats:132,runs:17,hits:20,doubles:5,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:32,batting_avg:.152,onbase:.311,slugging:.258,ops:erc">.258,ops+:lugging">.569,bases:34,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:1
pos:OF,name:Matt Stairs,age:28,games:61,plate_appearances:158,at_bats:137,runs:21,hits:38,doubles:5,triples:1,home_runs:10,runs_batted_in:23,stolen_bases:1,caught_stealing:1,walks:19,strikeouts:23,batting_avg:.277,onbase:.367,slugging:.547,ops:erc">.547,ops+:lugging">.915,bases:75,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:OF,name:Allen Battle,age:27,games:47,plate_appearances:151,at_bats:130,runs:20,hits:25,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:10,caught_stealing:2,walks:17,strikeouts:26,batting_avg:.192,onbase:.293,slugging:.238,ops:erc">.238,ops+:lugging">.532,bases:31,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
