pos:C,name:Kurt Suzuki,age:24,games:148,plate_appearances:588,at_bats:530,runs:54,hits:148,doubles:25,triples:1,home_runs:7,runs_batted_in:42,stolen_bases:2,caught_stealing:3,walks:44,strikeouts:69,batting_avg:.279,onbase:.346,slugging:.370,ops:erc">.370,ops+:lugging">.716,bases:196,double_plays:20,hit_by_pitch:11,sac_hits:2,sac_flies:1,intentional_walks:2
pos:1B,name:Daric Barton,age:22,games:140,plate_appearances:523,at_bats:446,runs:59,hits:101,doubles:17,triples:5,home_runs:9,runs_batted_in:47,stolen_bases:2,caught_stealing:1,walks:65,strikeouts:99,batting_avg:.226,onbase:.327,slugging:.348,ops:erc">.348,ops+:lugging">.674,bases:155,double_plays:6,hit_by_pitch:3,sac_hits:6,sac_flies:3,intentional_walks:5
pos:2B,name:Mark Ellis,age:31,games:117,plate_appearances:507,at_bats:442,runs:55,hits:103,doubles:20,triples:3,home_runs:12,runs_batted_in:41,stolen_bases:14,caught_stealing:2,walks:53,strikeouts:65,batting_avg:.233,onbase:.321,slugging:.373,ops:erc">.373,ops+:lugging">.694,bases:165,double_plays:11,hit_by_pitch:5,sac_hits:5,sac_flies:2,intentional_walks:2
pos:SS,name:Bobby Crosby,age:28,games:145,plate_appearances:605,at_bats:556,runs:66,hits:132,doubles:39,triples:1,home_runs:7,runs_batted_in:61,stolen_bases:7,caught_stealing:3,walks:47,strikeouts:96,batting_avg:.237,onbase:.296,slugging:.349,ops:erc">.349,ops+:lugging">.645,bases:194,double_plays:18,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Jack Hannahan,age:28,games:143,plate_appearances:501,at_bats:436,runs:48,hits:95,doubles:27,triples:0,home_runs:9,runs_batted_in:47,stolen_bases:2,caught_stealing:0,walks:55,strikeouts:131,batting_avg:.218,onbase:.305,slugging:.342,ops:erc">.342,ops+:lugging">.647,bases:149,double_plays:5,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:4
pos:LF,name:Jack Cust,age:29,games:148,plate_appearances:598,at_bats:481,runs:77,hits:111,doubles:19,triples:0,home_runs:33,runs_batted_in:77,stolen_bases:0,caught_stealing:0,walks:111,strikeouts:197,batting_avg:.231,onbase:.375,slugging:.476,ops:erc">.476,ops+:lugging">.851,bases:229,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:3
pos:CF,name:Carlos Gonzalez,age:22,games:85,plate_appearances:316,at_bats:302,runs:31,hits:73,doubles:22,triples:1,home_runs:4,runs_batted_in:26,stolen_bases:4,caught_stealing:1,walks:13,strikeouts:81,batting_avg:.242,onbase:.273,slugging:.361,ops:erc">.361,ops+:lugging">.634,bases:109,double_plays:7,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:RF,name:Ryan Sweeney,age:23,games:115,plate_appearances:433,at_bats:384,runs:53,hits:110,doubles:18,triples:2,home_runs:5,runs_batted_in:45,stolen_bases:9,caught_stealing:1,walks:38,strikeouts:67,batting_avg:.286,onbase:.350,slugging:.383,ops:erc">.383,ops+:lugging">.733,bases:147,double_plays:9,hit_by_pitch:3,sac_hits:2,sac_flies:6,intentional_walks:3
pos:DH,name:Frank Thomas,age:40,games:55,plate_appearances:217,at_bats:186,runs:20,hits:49,doubles:6,triples:1,home_runs:5,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:44,batting_avg:.263,onbase:.364,slugging:.387,ops:erc">.387,ops+:lugging">.751,bases:72,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Emil Brown,age:33,games:117,plate_appearances:438,at_bats:402,runs:48,hits:98,doubles:14,triples:2,home_runs:13,runs_batted_in:59,stolen_bases:4,caught_stealing:2,walks:27,strikeouts:65,batting_avg:.244,onbase:.297,slugging:.386,ops:erc">.386,ops+:lugging">.682,bases:155,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:2
pos:CF,name:Rajai Davis,age:27,games:101,plate_appearances:207,at_bats:196,runs:28,hits:51,doubles:5,triples:4,home_runs:3,runs_batted_in:19,stolen_bases:25,caught_stealing:6,walks:7,strikeouts:34,batting_avg:.260,onbase:.288,slugging:.372,ops:erc">.372,ops+:lugging">.660,bases:73,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:RF,name:Travis Buck,age:24,games:38,plate_appearances:172,at_bats:155,runs:16,hits:35,doubles:9,triples:1,home_runs:7,runs_batted_in:25,stolen_bases:1,caught_stealing:0,walks:11,strikeouts:38,batting_avg:.226,onbase:.291,slugging:.432,ops:erc">.432,ops+:lugging">.723,bases:67,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:0
pos:DH,name:Mike Sweeney,age:34,games:42,plate_appearances:136,at_bats:126,runs:13,hits:36,doubles:8,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:6,batting_avg:.286,onbase:.331,slugging:.397,ops:erc">.397,ops+:lugging">.728,bases:50,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Donnie Murphy,age:25,games:46,plate_appearances:117,at_bats:103,runs:10,hits:19,doubles:3,triples:0,home_runs:3,runs_batted_in:13,stolen_bases:2,caught_stealing:1,walks:11,strikeouts:38,batting_avg:.184,onbase:.274,slugging:.301,ops:erc">.301,ops+:lugging">.574,bases:31,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Cliff Pennington,age:24,games:36,plate_appearances:117,at_bats:99,runs:14,hits:24,doubles:5,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:4,caught_stealing:1,walks:13,strikeouts:18,batting_avg:.242,onbase:.339,slugging:.293,ops:erc">.293,ops+:lugging">.632,bases:29,double_plays:1,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:0
