pos:C,name:Manny Sanguillen,age:33,games:152,plate_appearances:601,at_bats:571,runs:42,hits:157,doubles:17,triples:5,home_runs:6,runs_batted_in:58,stolen_bases:2,caught_stealing:5,walks:22,strikeouts:35,batting_avg:.275,onbase:.302,slugging:.354,ops:erc">.354,ops+:lugging">.656,bases:202,double_plays:13,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:4
pos:1B,name:Dick Allen,age:35,games:54,plate_appearances:200,at_bats:171,runs:19,hits:41,doubles:4,triples:0,home_runs:5,runs_batted_in:31,stolen_bases:1,caught_stealing:3,walks:24,strikeouts:36,batting_avg:.240,onbase:.330,slugging:.351,ops:erc">.351,ops+:lugging">.681,bases:60,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:0
pos:2B,name:Marty Perez,age:31,games:115,plate_appearances:414,at_bats:373,runs:32,hits:86,doubles:14,triples:5,home_runs:2,runs_batted_in:23,stolen_bases:1,caught_stealing:3,walks:29,strikeouts:65,batting_avg:.231,onbase:.290,slugging:.311,ops:erc">.311,ops+:lugging">.601,bases:116,double_plays:8,hit_by_pitch:3,sac_hits:7,sac_flies:2,intentional_walks:0
pos:SS,name:Rob Picciolo,age:24,games:148,plate_appearances:446,at_bats:419,runs:35,hits:84,doubles:12,triples:3,home_runs:2,runs_batted_in:22,stolen_bases:1,caught_stealing:4,walks:9,strikeouts:55,batting_avg:.200,onbase:.218,slugging:.258,ops:erc">.258,ops+:lugging">.475,bases:108,double_plays:8,hit_by_pitch:1,sac_hits:14,sac_flies:3,intentional_walks:0
pos:3B,name:Wayne Gross,age:25,games:146,plate_appearances:582,at_bats:485,runs:66,hits:113,doubles:21,triples:1,home_runs:22,runs_batted_in:63,stolen_bases:5,caught_stealing:4,walks:86,strikeouts:84,batting_avg:.233,onbase:.352,slugging:.416,ops:erc">.416,ops+:lugging">.769,bases:202,double_plays:7,hit_by_pitch:5,sac_hits:3,sac_flies:3,intentional_walks:6
