pos:C,name:Bruce Maxwell,age:25,games:33,plate_appearances:101,at_bats:92,runs:8,hits:26,doubles:6,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:24,batting_avg:.283,onbase:.337,slugging:.402,ops:erc">.402,ops+:lugging">.739,bases:37,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Josh Phegley,age:28,games:25,plate_appearances:86,at_bats:78,runs:11,hits:20,doubles:6,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:13,batting_avg:.256,onbase:.314,slugging:.372,ops:erc">.372,ops+:lugging">.686,bases:29,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Chad Pinder,age:24,games:22,plate_appearances:55,at_bats:51,runs:4,hits:12,doubles:4,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.235,onbase:.273,slugging:.373,ops:erc">.373,ops+:lugging">.645,bases:19,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:2B,name:Tyler Ladendorf,age:28,games:44,plate_appearances:50,at_bats:48,runs:6,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:2,caught_stealing:0,walks:1,strikeouts:13,batting_avg:.083,onbase:.102,slugging:.083,ops:erc">.083,ops+:lugging">.185,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Matt McBride,age:31,games:20,plate_appearances:44,at_bats:43,runs:4,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.209,onbase:.227,slugging:.279,ops:erc">.279,ops+:lugging">.506,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Mark Canha,age:27,games:16,plate_appearances:44,at_bats:41,runs:4,hits:5,doubles:0,triples:0,home_runs:3,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:20,batting_avg:.122,onbase:.140,slugging:.341,ops:erc">.341,ops+:lugging">.481,bases:14,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Matt Olson,age:22,games:11,plate_appearances:28,at_bats:21,runs:3,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:4,batting_avg:.095,onbase:.321,slugging:.143,ops:erc">.143,ops+:lugging">.464,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Arismendy Alcantara,age:24,games:16,plate_appearances:19,at_bats:19,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:3,caught_stealing:3,walks:0,strikeouts:8,batting_avg:.211,onbase:.211,slugging:.263,ops:erc">.263,ops+:lugging">.474,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Renato Nunez,age:22,games:9,plate_appearances:15,at_bats:15,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.133,onbase:.133,slugging:.133,ops:erc">.133,ops+:lugging">.267,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Andrew Lambo,age:27,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Mengden,age:23,games:2,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
