pos:LF,name:Eric Patterson,age:27,games:45,plate_appearances:111,at_bats:103,runs:13,hits:21,doubles:5,triples:2,home_runs:4,runs_batted_in:9,stolen_bases:6,caught_stealing:0,walks:7,strikeouts:31,batting_avg:.204,onbase:.255,slugging:.408,ops:erc">.408,ops+:lugging">.662,bases:42,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Jake Fox,age:27,games:39,plate_appearances:106,at_bats:98,runs:11,hits:21,doubles:5,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:26,batting_avg:.214,onbase:.264,slugging:.327,ops:erc">.327,ops+:lugging">.591,bases:32,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:RF,name:Matt Carson,age:28,games:36,plate_appearances:83,at_bats:79,runs:7,hits:14,doubles:2,triples:0,home_runs:4,runs_batted_in:9,stolen_bases:4,caught_stealing:0,walks:2,strikeouts:23,batting_avg:.177,onbase:.193,slugging:.354,ops:erc">.354,ops+:lugging">.547,bases:28,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:LF,name:Chris Carter,age:23,games:24,plate_appearances:78,at_bats:70,runs:8,hits:13,doubles:1,triples:0,home_runs:3,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:21,batting_avg:.186,onbase:.256,slugging:.329,ops:erc">.329,ops+:lugging">.585,bases:23,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Conor Jackson,age:28,games:18,plate_appearances:69,at_bats:57,runs:6,hits:13,doubles:2,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:9,batting_avg:.228,onbase:.362,slugging:.316,ops:erc">.316,ops+:lugging">.678,bases:18,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:RF,name:Jeremy Hermida,age:26,games:21,plate_appearances:68,at_bats:64,runs:5,hits:16,doubles:4,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:13,batting_avg:.250,onbase:.294,slugging:.359,ops:erc">.359,ops+:lugging">.653,bases:23,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Jeff Larish,age:27,games:24,plate_appearances:65,at_bats:57,runs:5,hits:10,doubles:3,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:20,batting_avg:.175,onbase:.277,slugging:.333,ops:erc">.333,ops+:lugging">.610,bases:19,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Steven Tolleson,age:26,games:25,plate_appearances:53,at_bats:49,runs:5,hits:14,doubles:3,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.286,onbase:.340,slugging:.408,ops:erc">.408,ops+:lugging">.748,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Travis Buck,age:26,games:14,plate_appearances:48,at_bats:42,runs:6,hits:7,doubles:2,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:14,batting_avg:.167,onbase:.255,slugging:.286,ops:erc">.286,ops+:lugging">.541,bases:12,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:3B,name:Akinori Iwamura,age:31,games:10,plate_appearances:36,at_bats:31,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:10,batting_avg:.129,onbase:.250,slugging:.161,ops:erc">.161,ops+:lugging">.411,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Josh Donaldson,age:24,games:14,plate_appearances:34,at_bats:32,runs:1,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:12,batting_avg:.156,onbase:.206,slugging:.281,ops:erc">.281,ops+:lugging">.487,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Matt Watson,age:31,games:12,plate_appearances:33,at_bats:30,runs:2,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.200,onbase:.273,slugging:.367,ops:erc">.367,ops+:lugging">.639,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Eric Sogard,age:24,games:4,plate_appearances:9,at_bats:7,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:1,batting_avg:.429,onbase:.556,slugging:.429,ops:erc">.429,ops+:lugging">.984,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Trevor Cahill,age:22,games:2,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
