pos:C,name:Mike Matheny,age:25,games:106,plate_appearances:341,at_bats:313,runs:31,hits:64,doubles:15,triples:2,home_runs:8,runs_batted_in:46,stolen_bases:3,caught_stealing:2,walks:14,strikeouts:80,batting_avg:.204,onbase:.243,slugging:.342,ops:erc">.342,ops+:lugging">.584,bases:107,double_plays:9,hit_by_pitch:3,sac_hits:7,sac_flies:4,intentional_walks:0
pos:1B,name:John Jaha,age:30,games:148,plate_appearances:636,at_bats:543,runs:108,hits:163,doubles:28,triples:1,home_runs:34,runs_batted_in:118,stolen_bases:3,caught_stealing:1,walks:85,strikeouts:118,batting_avg:.300,onbase:.398,slugging:.543,ops:erc">.543,ops+:lugging">.941,bases:295,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Fernando Vina,age:27,games:140,plate_appearances:615,at_bats:554,runs:94,hits:157,doubles:19,triples:10,home_runs:7,runs_batted_in:46,stolen_bases:16,caught_stealing:7,walks:38,strikeouts:35,batting_avg:.283,onbase:.342,slugging:.392,ops:erc">.392,ops+:lugging">.733,bases:217,double_plays:15,hit_by_pitch:13,sac_hits:6,sac_flies:4,intentional_walks:3
pos:SS,name:Jose Valentin,age:26,games:154,plate_appearances:628,at_bats:552,runs:90,hits:143,doubles:33,triples:7,home_runs:24,runs_batted_in:95,stolen_bases:17,caught_stealing:4,walks:66,strikeouts:145,batting_avg:.259,onbase:.336,slugging:.475,ops:erc">.475,ops+:lugging">.811,bases:262,double_plays:4,hit_by_pitch:0,sac_hits:6,sac_flies:4,intentional_walks:9
pos:3B,name:Jeff Cirillo,age:26,games:158,plate_appearances:643,at_bats:566,runs:101,hits:184,doubles:46,triples:5,home_runs:15,runs_batted_in:83,stolen_bases:4,caught_stealing:9,walks:58,strikeouts:69,batting_avg:.325,onbase:.391,slugging:.504,ops:erc">.504,ops+:lugging">.894,bases:285,double_plays:14,hit_by_pitch:7,sac_hits:6,sac_flies:6,intentional_walks:0
pos:LF,name:Greg Vaughn,age:30,games:102,plate_appearances:442,at_bats:375,runs:78,hits:105,doubles:16,triples:0,home_runs:31,runs_batted_in:95,stolen_bases:5,caught_stealing:2,walks:58,strikeouts:99,batting_avg:.280,onbase:.378,slugging:.571,ops:erc">.571,ops+:lugging">.948,bases:214,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:4
pos:CF,name:Pat Listach,age:28,games:87,plate_appearances:362,at_bats:317,runs:51,hits:76,doubles:16,triples:2,home_runs:1,runs_batted_in:33,stolen_bases:25,caught_stealing:5,walks:36,strikeouts:51,batting_avg:.240,onbase:.317,slugging:.312,ops:erc">.312,ops+:lugging">.630,bases:99,double_plays:2,hit_by_pitch:1,sac_hits:6,sac_flies:2,intentional_walks:0
pos:RF,name:Matt Mieske,age:28,games:127,plate_appearances:409,at_bats:374,runs:46,hits:104,doubles:24,triples:3,home_runs:14,runs_batted_in:64,stolen_bases:1,caught_stealing:5,walks:26,strikeouts:76,batting_avg:.278,onbase:.324,slugging:.471,ops:erc">.471,ops+:lugging">.794,bases:176,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:6,intentional_walks:2
pos:DH,name:Kevin Seitzer,age:34,games:132,plate_appearances:577,at_bats:490,runs:74,hits:155,doubles:25,triples:3,home_runs:12,runs_batted_in:62,stolen_bases:6,caught_stealing:1,walks:73,strikeouts:68,batting_avg:.316,onbase:.406,slugging:.453,ops:erc">.453,ops+:lugging">.859,bases:222,double_plays:11,hit_by_pitch:4,sac_hits:5,sac_flies:5,intentional_walks:6
pos:UT,name:Dave Nilsson,age:26,games:123,plate_appearances:516,at_bats:453,runs:81,hits:150,doubles:33,triples:2,home_runs:17,runs_batted_in:84,stolen_bases:2,caught_stealing:3,walks:57,strikeouts:68,batting_avg:.331,onbase:.407,slugging:.525,ops:erc">.525,ops+:lugging">.932,bases:238,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:6
pos:C,name:Jesse Levis,age:28,games:104,plate_appearances:274,at_bats:233,runs:27,hits:55,doubles:6,triples:1,home_runs:1,runs_batted_in:21,stolen_bases:0,caught_stealing:0,walks:38,strikeouts:15,batting_avg:.236,onbase:.348,slugging:.283,ops:erc">.283,ops+:lugging">.631,bases:66,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:LF,name:Marc Newfield,age:23,games:49,plate_appearances:198,at_bats:179,runs:21,hits:55,doubles:15,triples:0,home_runs:7,runs_batted_in:31,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:26,batting_avg:.307,onbase:.354,slugging:.508,ops:erc">.508,ops+:lugging">.862,bases:91,double_plays:1,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:1
pos:IF,name:Mark Loretta,age:24,games:73,plate_appearances:170,at_bats:154,runs:20,hits:43,doubles:3,triples:0,home_runs:1,runs_batted_in:13,stolen_bases:2,caught_stealing:1,walks:14,strikeouts:15,batting_avg:.279,onbase:.339,slugging:.318,ops:erc">.318,ops+:lugging">.657,bases:49,double_plays:7,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:CF,name:David Hulse,age:28,games:81,plate_appearances:127,at_bats:117,runs:18,hits:26,doubles:3,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:4,caught_stealing:1,walks:8,strikeouts:16,batting_avg:.222,onbase:.272,slugging:.248,ops:erc">.248,ops+:lugging">.520,bases:29,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:CF,name:Chuck Carr,age:28,games:27,plate_appearances:113,at_bats:106,runs:18,hits:29,doubles:6,triples:1,home_runs:1,runs_batted_in:11,stolen_bases:5,caught_stealing:4,walks:6,strikeouts:21,batting_avg:.274,onbase:.310,slugging:.377,ops:erc">.377,ops+:lugging">.687,bases:40,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Gerald Williams,age:29,games:26,plate_appearances:99,at_bats:92,runs:6,hits:19,doubles:4,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:3,caught_stealing:1,walks:4,strikeouts:18,batting_avg:.207,onbase:.247,slugging:.250,ops:erc">.250,ops+:lugging">.497,bases:23,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:OF,name:Jeromy Burnitz,age:27,games:23,plate_appearances:84,at_bats:72,runs:8,hits:17,doubles:4,triples:0,home_runs:2,runs_batted_in:14,stolen_bases:2,caught_stealing:0,walks:8,strikeouts:16,batting_avg:.236,onbase:.321,slugging:.375,ops:erc">.375,ops+:lugging">.696,bases:27,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:1
pos:OF,name:Turner Ward,age:31,games:43,plate_appearances:82,at_bats:67,runs:7,hits:12,doubles:2,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:3,caught_stealing:0,walks:13,strikeouts:17,batting_avg:.179,onbase:.309,slugging:.328,ops:erc">.328,ops+:lugging">.637,bases:22,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
