pos:MI,name:Eric Sogard,age:32,games:55,plate_appearances:113,at_bats:97,runs:7,hits:13,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:3,caught_stealing:0,walks:12,strikeouts:23,batting_avg:.134,onbase:.241,slugging:.165,ops:erc">.165,ops+:lugging">.406,bases:16,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Keon Broxton,age:28,games:51,plate_appearances:89,at_bats:78,runs:15,hits:14,doubles:2,triples:2,home_runs:4,runs_batted_in:11,stolen_bases:5,caught_stealing:1,walks:11,strikeouts:28,batting_avg:.179,onbase:.281,slugging:.410,ops:erc">.410,ops+:lugging">.691,bases:32,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Brad Miller,age:28,games:27,plate_appearances:80,at_bats:74,runs:5,hits:17,doubles:3,triples:1,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:31,batting_avg:.230,onbase:.288,slugging:.378,ops:erc">.378,ops+:lugging">.666,bases:28,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Jett Bandy,age:28,games:24,plate_appearances:71,at_bats:64,runs:5,hits:12,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:23,batting_avg:.188,onbase:.268,slugging:.266,ops:erc">.266,ops+:lugging">.533,bases:17,double_plays:0,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Curtis Granderson,age:37,games:19,plate_appearances:54,at_bats:41,runs:12,hits:9,doubles:1,triples:1,home_runs:2,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:10,batting_avg:.220,onbase:.407,slugging:.439,ops:erc">.439,ops+:lugging">.846,bases:18,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Ji-Man Choi,age:27,games:12,plate_appearances:32,at_bats:30,runs:4,hits:7,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:14,batting_avg:.233,onbase:.281,slugging:.500,ops:erc">.500,ops+:lugging">.781,bases:15,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Nate Orf,age:28,games:15,plate_appearances:25,at_bats:21,runs:4,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:8,batting_avg:.095,onbase:.240,slugging:.238,ops:erc">.238,ops+:lugging">.478,bases:5,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Brett Phillips,age:24,games:15,plate_appearances:24,at_bats:22,runs:2,hits:4,doubles:0,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.182,onbase:.250,slugging:.273,ops:erc">.273,ops+:lugging">.523,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jacob Nottingham,age:23,games:9,plate_appearances:24,at_bats:20,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:8,batting_avg:.200,onbase:.333,slugging:.250,ops:erc">.250,ops+:lugging">.583,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Nick Franklin,age:27,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jhoulys Chacin,age:30,games:34,plate_appearances:68,at_bats:56,runs:2,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.161,onbase:.203,slugging:.179,ops:erc">.179,ops+:lugging">.382,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Chase Anderson,age:30,games:28,plate_appearances:49,at_bats:45,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:23,batting_avg:.089,onbase:.089,slugging:.089,ops:erc">.089,ops+:lugging">.178,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Junior Guerra,age:33,games:29,plate_appearances:37,at_bats:35,runs:2,hits:4,doubles:3,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.114,onbase:.114,slugging:.200,ops:erc">.200,ops+:lugging">.314,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Brent Suter,age:28,games:19,plate_appearances:32,at_bats:26,runs:4,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.192,onbase:.323,slugging:.346,ops:erc">.346,ops+:lugging">.669,bases:9,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Wade Miley,age:31,games:16,plate_appearances:28,at_bats:27,runs:1,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.185,onbase:.214,slugging:.185,ops:erc">.185,ops+:lugging">.399,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Freddy Peralta,age:22,games:15,plate_appearances:27,at_bats:26,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.038,onbase:.038,slugging:.038,ops:erc">.038,ops+:lugging">.077,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Zach Davies,age:25,games:12,plate_appearances:19,at_bats:15,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.067,onbase:.067,slugging:.067,ops:erc">.067,ops+:lugging">.133,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Woodruff,age:25,games:19,plate_appearances:10,at_bats:8,runs:2,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.250,onbase:.333,slugging:.625,ops:erc">.625,ops+:lugging">.958,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Gio Gonzalez,age:32,games:5,plate_appearances:8,at_bats:7,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.143,onbase:.250,slugging:.143,ops:erc">.143,ops+:lugging">.393,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Taylor Williams,age:26,games:52,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jordan Lyles,age:27,games:11,plate_appearances:3,at_bats:2,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Jennings,age:31,games:65,plate_appearances:3,at_bats:3,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.667,onbase:.667,slugging:1.000,ops:erc">1.000,ops+:lugging">1.667,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Josh Hader,age:24,games:52,plate_appearances:2,at_bats:2,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Aaron Wilkerson,age:29,games:3,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jorge Lopez,age:25,games:10,plate_appearances:2,at_bats:2,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:1.000,ops:erc">1.000,ops+:lugging">1.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Corbin Burnes,age:23,games:30,plate_appearances:1,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Corey Knebel,age:26,games:55,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:J.J. Hoover,age:30,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
