pos:C,name:Jason Kendall,age:34,games:151,plate_appearances:587,at_bats:516,runs:46,hits:127,doubles:30,triples:2,home_runs:2,runs_batted_in:49,stolen_bases:8,caught_stealing:3,walks:50,strikeouts:45,batting_avg:.246,onbase:.327,slugging:.324,ops:erc">.324,ops+:lugging">.651,bases:167,double_plays:5,hit_by_pitch:13,sac_hits:6,sac_flies:2,intentional_walks:7
pos:1B,name:Prince Fielder,age:24,games:159,plate_appearances:694,at_bats:588,runs:86,hits:162,doubles:30,triples:2,home_runs:34,runs_batted_in:102,stolen_bases:3,caught_stealing:2,walks:84,strikeouts:134,batting_avg:.276,onbase:.372,slugging:.507,ops:erc">.507,ops+:lugging">.879,bases:298,double_plays:12,hit_by_pitch:12,sac_hits:0,sac_flies:10,intentional_walks:19
pos:2B,name:Rickie Weeks,age:25,games:129,plate_appearances:560,at_bats:475,runs:89,hits:111,doubles:22,triples:7,home_runs:14,runs_batted_in:46,stolen_bases:19,caught_stealing:5,walks:66,strikeouts:115,batting_avg:.234,onbase:.342,slugging:.398,ops:erc">.398,ops+:lugging">.740,bases:189,double_plays:5,hit_by_pitch:14,sac_hits:1,sac_flies:4,intentional_walks:0
pos:SS,name:J.J. Hardy,age:25,games:146,plate_appearances:629,at_bats:569,runs:78,hits:161,doubles:31,triples:4,home_runs:24,runs_batted_in:74,stolen_bases:2,caught_stealing:1,walks:52,strikeouts:98,batting_avg:.283,onbase:.343,slugging:.478,ops:erc">.478,ops+:lugging">.821,bases:272,double_plays:18,hit_by_pitch:1,sac_hits:5,sac_flies:2,intentional_walks:3
pos:3B,name:Bill Hall,age:28,games:128,plate_appearances:448,at_bats:404,runs:50,hits:91,doubles:22,triples:1,home_runs:15,runs_batted_in:55,stolen_bases:5,caught_stealing:6,walks:37,strikeouts:124,batting_avg:.225,onbase:.293,slugging:.396,ops:erc">.396,ops+:lugging">.689,bases:160,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:2
pos:LF,name:Ryan Braun,age:24,games:151,plate_appearances:663,at_bats:611,runs:92,hits:174,doubles:39,triples:7,home_runs:37,runs_batted_in:106,stolen_bases:14,caught_stealing:4,walks:42,strikeouts:129,batting_avg:.285,onbase:.335,slugging:.553,ops:erc">.553,ops+:lugging">.888,bases:338,double_plays:13,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:4
pos:CF,name:Mike Cameron,age:35,games:120,plate_appearances:508,at_bats:444,runs:69,hits:108,doubles:25,triples:2,home_runs:25,runs_batted_in:70,stolen_bases:17,caught_stealing:5,walks:54,strikeouts:142,batting_avg:.243,onbase:.331,slugging:.477,ops:erc">.477,ops+:lugging">.809,bases:212,double_plays:4,hit_by_pitch:6,sac_hits:1,sac_flies:3,intentional_walks:1
pos:RF,name:Corey Hart,age:26,games:157,plate_appearances:657,at_bats:612,runs:76,hits:164,doubles:45,triples:6,home_runs:20,runs_batted_in:91,stolen_bases:23,caught_stealing:7,walks:27,strikeouts:109,batting_avg:.268,onbase:.300,slugging:.459,ops:erc">.459,ops+:lugging">.759,bases:281,double_plays:17,hit_by_pitch:5,sac_hits:4,sac_flies:9,intentional_walks:2
pos:IF,name:Craig Counsell,age:37,games:110,plate_appearances:302,at_bats:248,runs:31,hits:56,doubles:14,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:3,caught_stealing:1,walks:46,strikeouts:42,batting_avg:.226,onbase:.355,slugging:.302,ops:erc">.302,ops+:lugging">.658,bases:75,double_plays:5,hit_by_pitch:5,sac_hits:1,sac_flies:2,intentional_walks:1
pos:CF,name:Gabe Kapler,age:32,games:96,plate_appearances:245,at_bats:229,runs:36,hits:69,doubles:17,triples:2,home_runs:8,runs_batted_in:38,stolen_bases:3,caught_stealing:1,walks:13,strikeouts:39,batting_avg:.301,onbase:.340,slugging:.498,ops:erc">.498,ops+:lugging">.838,bases:114,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:3B,name:Russell Branyan,age:32,games:50,plate_appearances:152,at_bats:132,runs:24,hits:33,doubles:8,triples:0,home_runs:12,runs_batted_in:20,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:42,batting_avg:.250,onbase:.342,slugging:.583,ops:erc">.583,ops+:lugging">.925,bases:77,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:4
pos:2B,name:Ray Durham,age:36,games:41,plate_appearances:122,at_bats:107,runs:21,hits:30,doubles:12,triples:0,home_runs:3,runs_batted_in:13,stolen_bases:2,caught_stealing:2,walks:15,strikeouts:23,batting_avg:.280,onbase:.369,slugging:.477,ops:erc">.477,ops+:lugging">.845,bases:51,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Joe Dillon,age:32,games:56,plate_appearances:90,at_bats:75,runs:13,hits:16,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:21,batting_avg:.213,onbase:.337,slugging:.293,ops:erc">.293,ops+:lugging">.630,bases:22,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Mike Rivera,age:31,games:21,plate_appearances:69,at_bats:62,runs:8,hits:19,doubles:5,triples:0,home_runs:1,runs_batted_in:14,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:10,batting_avg:.306,onbase:.377,slugging:.435,ops:erc">.435,ops+:lugging">.812,bases:27,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Gabe Gross,age:28,games:16,plate_appearances:54,at_bats:43,runs:6,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:10,strikeouts:7,batting_avg:.209,onbase:.352,slugging:.279,ops:erc">.279,ops+:lugging">.631,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Tony Gwynn,age:25,games:29,plate_appearances:49,at_bats:42,runs:5,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:3,caught_stealing:1,walks:4,strikeouts:7,batting_avg:.190,onbase:.271,slugging:.214,ops:erc">.214,ops+:lugging">.485,bases:9,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Hernan Iribarren,age:24,games:12,plate_appearances:15,at_bats:14,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.143,onbase:.200,slugging:.214,ops:erc">.214,ops+:lugging">.414,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Laynce Nix,age:27,games:10,plate_appearances:13,at_bats:12,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.083,onbase:.154,slugging:.083,ops:erc">.083,ops+:lugging">.237,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Mike Lamb,age:32,games:11,plate_appearances:11,at_bats:11,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Brad Nelson,age:25,games:9,plate_appearances:8,at_bats:7,runs:0,hits:2,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.286,onbase:.375,slugging:.571,ops:erc">.571,ops+:lugging">.946,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Alcides Escobar,age:21,games:9,plate_appearances:4,at_bats:4,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Angel Salome,age:22,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Mat Gamel,age:22,games:2,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:1.000,ops:erc">1.000,ops+:lugging">1.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Vinny Rottino,age:28,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ben Sheets,age:29,games:30,plate_appearances:74,at_bats:67,runs:2,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:24,batting_avg:.075,onbase:.101,slugging:.104,ops:erc">.104,ops+:lugging">.206,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Dave Bush,age:28,games:31,plate_appearances:63,at_bats:57,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:21,batting_avg:.088,onbase:.103,slugging:.105,ops:erc">.105,ops+:lugging">.209,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Suppan,age:33,games:32,plate_appearances:63,at_bats:50,runs:2,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:13,batting_avg:.140,onbase:.189,slugging:.160,ops:erc">.160,ops+:lugging">.349,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
