pos:C,name:Jonathan Lucroy,age:26,games:96,plate_appearances:346,at_bats:316,runs:46,hits:101,doubles:17,triples:4,home_runs:12,runs_batted_in:58,stolen_bases:4,caught_stealing:1,walks:22,strikeouts:44,batting_avg:.320,onbase:.368,slugging:.513,ops:erc">.513,ops+:lugging">.881,bases:162,double_plays:12,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:1
pos:1B,name:Corey Hart,age:30,games:149,plate_appearances:622,at_bats:562,runs:91,hits:152,doubles:35,triples:4,home_runs:30,runs_batted_in:83,stolen_bases:5,caught_stealing:0,walks:44,strikeouts:151,batting_avg:.270,onbase:.334,slugging:.507,ops:erc">.507,ops+:lugging">.841,bases:285,double_plays:13,hit_by_pitch:11,sac_hits:2,sac_flies:3,intentional_walks:5
pos:2B,name:Rickie Weeks,age:29,games:157,plate_appearances:677,at_bats:588,runs:85,hits:135,doubles:29,triples:4,home_runs:21,runs_batted_in:63,stolen_bases:16,caught_stealing:3,walks:74,strikeouts:169,batting_avg:.230,onbase:.328,slugging:.400,ops:erc">.400,ops+:lugging">.728,bases:235,double_plays:9,hit_by_pitch:13,sac_hits:0,sac_flies:2,intentional_walks:2
pos:SS,name:Jean Segura,age:22,games:44,plate_appearances:163,at_bats:148,runs:19,hits:39,doubles:4,triples:3,home_runs:0,runs_batted_in:14,stolen_bases:7,caught_stealing:1,walks:13,strikeouts:21,batting_avg:.264,onbase:.321,slugging:.331,ops:erc">.331,ops+:lugging">.652,bases:49,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:3
pos:3B,name:Aramis Ramirez,age:34,games:149,plate_appearances:630,at_bats:570,runs:92,hits:171,doubles:50,triples:3,home_runs:27,runs_batted_in:105,stolen_bases:9,caught_stealing:2,walks:44,strikeouts:82,batting_avg:.300,onbase:.360,slugging:.540,ops:erc">.540,ops+:lugging">.901,bases:308,double_plays:14,hit_by_pitch:12,sac_hits:0,sac_flies:4,intentional_walks:3
pos:LF,name:Ryan Braun,age:28,games:154,plate_appearances:677,at_bats:598,runs:108,hits:191,doubles:36,triples:3,home_runs:41,runs_batted_in:112,stolen_bases:30,caught_stealing:7,walks:63,strikeouts:128,batting_avg:.319,onbase:.391,slugging:.595,ops:erc">.595,ops+:lugging">.987,bases:356,double_plays:12,hit_by_pitch:11,sac_hits:0,sac_flies:5,intentional_walks:15
pos:CF,name:Carlos Gomez,age:26,games:137,plate_appearances:452,at_bats:415,runs:72,hits:108,doubles:19,triples:4,home_runs:19,runs_batted_in:51,stolen_bases:37,caught_stealing:6,walks:20,strikeouts:98,batting_avg:.260,onbase:.305,slugging:.463,ops:erc">.463,ops+:lugging">.768,bases:192,double_plays:6,hit_by_pitch:8,sac_hits:6,sac_flies:3,intentional_walks:1
pos:RF,name:Nori Aoki,age:30,games:151,plate_appearances:588,at_bats:520,runs:81,hits:150,doubles:37,triples:4,home_runs:10,runs_batted_in:50,stolen_bases:30,caught_stealing:8,walks:43,strikeouts:55,batting_avg:.288,onbase:.355,slugging:.433,ops:erc">.433,ops+:lugging">.787,bases:225,double_plays:6,hit_by_pitch:13,sac_hits:7,sac_flies:5,intentional_walks:1
pos:OF,name:Nyjer Morgan,age:31,games:122,plate_appearances:322,at_bats:289,runs:44,hits:69,doubles:5,triples:3,home_runs:3,runs_batted_in:16,stolen_bases:12,caught_stealing:5,walks:20,strikeouts:63,batting_avg:.239,onbase:.302,slugging:.308,ops:erc">.308,ops+:lugging">.610,bases:89,double_plays:4,hit_by_pitch:6,sac_hits:7,sac_flies:0,intentional_walks:0
pos:C,name:Martin Maldonado,age:25,games:78,plate_appearances:256,at_bats:233,runs:22,hits:62,doubles:9,triples:0,home_runs:8,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:17,strikeouts:56,batting_avg:.266,onbase:.321,slugging:.408,ops:erc">.408,ops+:lugging">.729,bases:95,double_plays:5,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
pos:SS,name:Cody Ransom,age:36,games:64,plate_appearances:195,at_bats:168,runs:18,hits:33,doubles:7,triples:0,home_runs:6,runs_batted_in:26,stolen_bases:0,caught_stealing:1,walks:23,strikeouts:79,batting_avg:.196,onbase:.293,slugging:.345,ops:erc">.345,ops+:lugging">.638,bases:58,double_plays:5,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
