pos:C,name:Jonathan Lucroy,age:25,games:136,plate_appearances:468,at_bats:430,runs:45,hits:114,doubles:16,triples:1,home_runs:12,runs_batted_in:59,stolen_bases:2,caught_stealing:1,walks:29,strikeouts:99,batting_avg:.265,onbase:.313,slugging:.391,ops:erc">.391,ops+:lugging">.703,bases:168,double_plays:7,hit_by_pitch:2,sac_hits:4,sac_flies:3,intentional_walks:0
pos:1B,name:Prince Fielder,age:27,games:162,plate_appearances:692,at_bats:569,runs:95,hits:170,doubles:36,triples:1,home_runs:38,runs_batted_in:120,stolen_bases:1,caught_stealing:1,walks:107,strikeouts:106,batting_avg:.299,onbase:.415,slugging:.566,ops:erc">.566,ops+:lugging">.981,bases:322,double_plays:17,hit_by_pitch:10,sac_hits:0,sac_flies:6,intentional_walks:32
pos:2B,name:Rickie Weeks,age:28,games:118,plate_appearances:515,at_bats:453,runs:77,hits:122,doubles:26,triples:2,home_runs:20,runs_batted_in:49,stolen_bases:9,caught_stealing:2,walks:50,strikeouts:107,batting_avg:.269,onbase:.350,slugging:.468,ops:erc">.468,ops+:lugging">.818,bases:212,double_plays:6,hit_by_pitch:8,sac_hits:1,sac_flies:3,intentional_walks:3
pos:SS,name:Yuniesky Betancourt,age:29,games:152,plate_appearances:584,at_bats:556,runs:51,hits:140,doubles:27,triples:3,home_runs:13,runs_batted_in:68,stolen_bases:4,caught_stealing:4,walks:16,strikeouts:63,batting_avg:.252,onbase:.271,slugging:.381,ops:erc">.381,ops+:lugging">.652,bases:212,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:10,intentional_walks:3
pos:3B,name:Casey McGehee,age:28,games:155,plate_appearances:600,at_bats:546,runs:46,hits:122,doubles:24,triples:2,home_runs:13,runs_batted_in:67,stolen_bases:0,caught_stealing:3,walks:45,strikeouts:104,batting_avg:.223,onbase:.280,slugging:.346,ops:erc">.346,ops+:lugging">.626,bases:189,double_plays:19,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:4
pos:LF,name:Ryan Braun,age:27,games:150,plate_appearances:629,at_bats:563,runs:109,hits:187,doubles:38,triples:6,home_runs:33,runs_batted_in:111,stolen_bases:33,caught_stealing:6,walks:58,strikeouts:93,batting_avg:.332,onbase:.397,slugging:.597,ops:erc">.597,ops+:lugging">.994,bases:336,double_plays:9,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:2
pos:CF,name:Nyjer Morgan,age:30,games:119,plate_appearances:429,at_bats:378,runs:61,hits:115,doubles:20,triples:6,home_runs:4,runs_batted_in:37,stolen_bases:13,caught_stealing:4,walks:19,strikeouts:70,batting_avg:.304,onbase:.357,slugging:.421,ops:erc">.421,ops+:lugging">.778,bases:159,double_plays:6,hit_by_pitch:14,sac_hits:15,sac_flies:3,intentional_walks:0
pos:RF,name:Corey Hart,age:29,games:130,plate_appearances:551,at_bats:492,runs:80,hits:140,doubles:25,triples:4,home_runs:26,runs_batted_in:63,stolen_bases:7,caught_stealing:6,walks:51,strikeouts:114,batting_avg:.285,onbase:.356,slugging:.510,ops:erc">.510,ops+:lugging">.866,bases:251,double_plays:12,hit_by_pitch:4,sac_hits:3,sac_flies:1,intentional_walks:1
pos:CF,name:Carlos Gomez,age:25,games:94,plate_appearances:258,at_bats:231,runs:37,hits:52,doubles:11,triples:3,home_runs:8,runs_batted_in:24,stolen_bases:16,caught_stealing:2,walks:15,strikeouts:64,batting_avg:.225,onbase:.276,slugging:.403,ops:erc">.403,ops+:lugging">.679,bases:93,double_plays:2,hit_by_pitch:2,sac_hits:8,sac_flies:2,intentional_walks:0
pos:RF,name:Mark Kotsay,age:35,games:104,plate_appearances:255,at_bats:233,runs:18,hits:63,doubles:13,triples:1,home_runs:3,runs_batted_in:31,stolen_bases:3,caught_stealing:0,walks:21,strikeouts:27,batting_avg:.270,onbase:.329,slugging:.373,ops:erc">.373,ops+:lugging">.703,bases:87,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:IF,name:Craig Counsell,age:40,games:107,plate_appearances:187,at_bats:157,runs:19,hits:28,doubles:2,triples:1,home_runs:1,runs_batted_in:9,stolen_bases:2,caught_stealing:1,walks:20,strikeouts:21,batting_avg:.178,onbase:.280,slugging:.223,ops:erc">.223,ops+:lugging">.503,bases:35,double_plays:1,hit_by_pitch:3,sac_hits:5,sac_flies:2,intentional_walks:2
