pos:CI,name:Chris Donnels,age:25,games:37,plate_appearances:104,at_bats:89,runs:7,hits:20,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:19,batting_avg:.225,onbase:.330,slugging:.247,ops:erc">.247,ops+:lugging">.577,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:C,name:Todd Hundley,age:22,games:21,plate_appearances:69,at_bats:60,runs:5,hits:8,doubles:0,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:14,batting_avg:.133,onbase:.221,slugging:.217,ops:erc">.217,ops+:lugging">.437,bases:13,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:MI,name:Jeff Gardner,age:27,games:13,plate_appearances:42,at_bats:37,runs:3,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.162,onbase:.238,slugging:.162,ops:erc">.162,ops+:lugging">.400,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:IF,name:Tim Teufel,age:32,games:20,plate_appearances:36,at_bats:34,runs:2,hits:4,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:8,batting_avg:.118,onbase:.167,slugging:.206,ops:erc">.206,ops+:lugging">.373,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Terry McDaniel,age:24,games:23,plate_appearances:30,at_bats:29,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.207,onbase:.233,slugging:.241,ops:erc">.241,ops+:lugging">.475,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Chuck Carr,age:23,games:12,plate_appearances:11,at_bats:11,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.182,onbase:.182,slugging:.182,ops:erc">.182,ops+:lugging">.364,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Kelvin Torve,age:31,games:10,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:David Cone,age:28,games:34,plate_appearances:84,at_bats:72,runs:3,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.125,onbase:.179,slugging:.125,ops:erc">.125,ops+:lugging">.304,bases:9,double_plays:3,hit_by_pitch:2,sac_hits:6,sac_flies:1,intentional_walks:0
pos:P,name:Frank Viola,age:31,games:35,plate_appearances:83,at_bats:71,runs:2,hits:9,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:13,batting_avg:.127,onbase:.151,slugging:.155,ops:erc">.155,ops+:lugging">.306,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Dwight Gooden,age:26,games:27,plate_appearances:71,at_bats:63,runs:7,hits:15,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:0,strikeouts:9,batting_avg:.238,onbase:.238,slugging:.333,ops:erc">.333,ops+:lugging">.571,bases:21,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
