pos:LF,name:Rickey Henderson,age:41,games:31,plate_appearances:124,at_bats:96,runs:17,hits:21,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:5,caught_stealing:2,walks:25,strikeouts:20,batting_avg:.219,onbase:.387,slugging:.229,ops:erc">.229,ops+:lugging">.616,bases:22,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Darryl Hamilton,age:35,games:43,plate_appearances:120,at_bats:105,runs:20,hits:29,doubles:4,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:2,caught_stealing:0,walks:14,strikeouts:20,batting_avg:.276,onbase:.358,slugging:.362,ops:erc">.362,ops+:lugging">.720,bases:38,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Jon Nunnally,age:28,games:48,plate_appearances:92,at_bats:74,runs:16,hits:14,doubles:5,triples:1,home_runs:2,runs_batted_in:6,stolen_bases:3,caught_stealing:1,walks:17,strikeouts:26,batting_avg:.189,onbase:.337,slugging:.365,ops:erc">.365,ops+:lugging">.702,bases:27,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Bubba Trammell,age:28,games:36,plate_appearances:65,at_bats:56,runs:9,hits:13,doubles:2,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:19,batting_avg:.232,onbase:.323,slugging:.429,ops:erc">.429,ops+:lugging">.752,bases:24,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Timo Perez,age:25,games:24,plate_appearances:54,at_bats:49,runs:11,hits:14,doubles:4,triples:1,home_runs:1,runs_batted_in:3,stolen_bases:1,caught_stealing:1,walks:3,strikeouts:5,batting_avg:.286,onbase:.333,slugging:.469,ops:erc">.469,ops+:lugging">.803,bases:23,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Jason Tyner,age:23,games:13,plate_appearances:48,at_bats:41,runs:3,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:1,strikeouts:4,batting_avg:.195,onbase:.222,slugging:.244,ops:erc">.244,ops+:lugging">.466,bases:10,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
pos:UT,name:Mark Johnson,age:32,games:21,plate_appearances:27,at_bats:22,runs:2,hits:4,doubles:0,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:9,batting_avg:.182,onbase:.333,slugging:.318,ops:erc">.318,ops+:lugging">.652,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Jorge Velandia,age:25,games:15,plate_appearances:9,at_bats:7,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.000,onbase:.222,slugging:.000,ops:erc">.000,ops+:lugging">.222,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Jorge Toca,age:29,games:8,plate_appearances:7,at_bats:7,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.429,onbase:.429,slugging:.571,ops:erc">.571,ops+:lugging">1.000,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:David Lamb,age:25,games:7,plate_appearances:6,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.200,onbase:.333,slugging:.200,ops:erc">.200,ops+:lugging">.533,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Vance Wilson,age:27,games:4,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Ryan McGuire,age:28,games:1,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Mike Kinkade,age:27,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Hampton,age:27,games:34,plate_appearances:84,at_bats:73,runs:7,hits:20,doubles:0,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:20,batting_avg:.274,onbase:.313,slugging:.274,ops:erc">.274,ops+:lugging">.586,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:0
pos:P,name:Al Leiter,age:34,games:29,plate_appearances:71,at_bats:58,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:33,batting_avg:.052,onbase:.113,slugging:.052,ops:erc">.052,ops+:lugging">.165,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Rick Reed,age:35,games:29,plate_appearances:67,at_bats:49,runs:6,hits:10,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.204,onbase:.226,slugging:.204,ops:erc">.204,ops+:lugging">.430,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:14,sac_flies:2,intentional_walks:0
pos:P,name:Glendon Rusch,age:25,games:29,plate_appearances:57,at_bats:50,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:19,batting_avg:.060,onbase:.113,slugging:.060,ops:erc">.060,ops+:lugging">.173,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Bobby Jones,age:30,games:24,plate_appearances:55,at_bats:44,runs:4,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:21,batting_avg:.045,onbase:.125,slugging:.045,ops:erc">.045,ops+:lugging">.170,bases:2,double_plays:0,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Pat Mahomes,age:29,games:49,plate_appearances:20,at_bats:17,runs:1,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.235,onbase:.278,slugging:.294,ops:erc">.294,ops+:lugging">.572,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Rick White,age:31,games:24,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dennis Springer,age:35,games:2,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Turk Wendell,age:33,games:74,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
