pos:RF,name:Jerry Martin,age:35,games:51,plate_appearances:97,at_bats:91,runs:6,hits:14,doubles:1,triples:0,home_runs:3,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:29,batting_avg:.154,onbase:.206,slugging:.264,ops:erc">.264,ops+:lugging">.470,bases:24,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Rusty Staub,age:40,games:78,plate_appearances:79,at_bats:72,runs:2,hits:19,doubles:4,triples:0,home_runs:1,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.264,onbase:.291,slugging:.361,ops:erc">.361,ops+:lugging">.652,bases:26,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:3
pos:C,name:John Gibbons,age:22,games:10,plate_appearances:35,at_bats:31,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:11,batting_avg:.065,onbase:.171,slugging:.065,ops:erc">.065,ops+:lugging">.236,bases:2,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Herm Winningham,age:22,games:14,plate_appearances:28,at_bats:27,runs:5,hits:11,doubles:1,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:2,caught_stealing:1,walks:1,strikeouts:7,batting_avg:.407,onbase:.429,slugging:.519,ops:erc">.519,ops+:lugging">.947,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:John Stearns,age:32,games:8,plate_appearances:21,at_bats:17,runs:6,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:2,batting_avg:.176,onbase:.333,slugging:.235,ops:erc">.235,ops+:lugging">.569,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Kevin Mitchell,age:22,games:7,plate_appearances:14,at_bats:14,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:3,batting_avg:.214,onbase:.214,slugging:.214,ops:erc">.214,ops+:lugging">.429,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ross Jones,age:24,games:17,plate_appearances:13,at_bats:10,runs:2,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.100,onbase:.308,slugging:.200,ops:erc">.200,ops+:lugging">.508,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:John Christensen,age:23,games:5,plate_appearances:13,at_bats:11,runs:2,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:2,batting_avg:.273,onbase:.308,slugging:.455,ops:erc">.455,ops+:lugging">.762,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Billy Beane,age:22,games:5,plate_appearances:10,at_bats:10,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:2,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dwight Gooden,age:19,games:31,plate_appearances:83,at_bats:70,runs:5,hits:14,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.200,onbase:.205,slugging:.200,ops:erc">.200,ops+:lugging">.405,bases:14,double_plays:3,hit_by_pitch:0,sac_hits:10,sac_flies:2,intentional_walks:0
