pos:IF,name:Luis Guillorme,age:24,games:45,plate_appearances:70,at_bats:61,runs:8,hits:15,doubles:4,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:14,batting_avg:.246,onbase:.324,slugging:.361,ops:erc">.361,ops+:lugging">.684,bases:22,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Keon Broxton,age:29,games:34,plate_appearances:53,at_bats:49,runs:5,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:4,caught_stealing:1,walks:4,strikeouts:22,batting_avg:.143,onbase:.208,slugging:.163,ops:erc">.163,ops+:lugging">.371,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Aaron Altherr,age:28,games:26,plate_appearances:35,at_bats:31,runs:6,hits:4,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:15,batting_avg:.129,onbase:.200,slugging:.258,ops:erc">.258,ops+:lugging">.458,bases:8,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Rajai Davis,age:38,games:29,plate_appearances:26,at_bats:25,runs:4,hits:5,doubles:2,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:5,batting_avg:.200,onbase:.231,slugging:.400,ops:erc">.400,ops+:lugging">.631,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Travis d'Arnaud,age:30,games:10,plate_appearances:25,at_bats:23,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.087,onbase:.160,slugging:.087,ops:erc">.087,ops+:lugging">.247,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Rene Rivera,age:35,games:9,plate_appearances:20,at_bats:17,runs:2,hits:4,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.235,onbase:.350,slugging:.412,ops:erc">.412,ops+:lugging">.762,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ruben Tejada,age:29,games:6,plate_appearances:9,at_bats:9,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Jed Lowrie,age:35,games:9,plate_appearances:8,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.000,onbase:.125,slugging:.000,ops:erc">.000,ops+:lugging">.125,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Sam Haggerty,age:25,games:11,plate_appearances:4,at_bats:4,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jacob deGrom,age:31,games:31,plate_appearances:70,at_bats:65,runs:4,hits:13,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:19,batting_avg:.200,onbase:.246,slugging:.323,ops:erc">.323,ops+:lugging">.569,bases:21,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Noah Syndergaard,age:26,games:30,plate_appearances:69,at_bats:65,runs:6,hits:6,doubles:1,triples:0,home_runs:2,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:47,batting_avg:.092,onbase:.132,slugging:.200,ops:erc">.200,ops+:lugging">.332,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Zack Wheeler,age:29,games:28,plate_appearances:64,at_bats:57,runs:5,hits:12,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.211,onbase:.262,slugging:.298,ops:erc">.298,ops+:lugging">.561,bases:17,double_plays:0,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Steven Matz,age:28,games:35,plate_appearances:61,at_bats:57,runs:4,hits:13,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:17,batting_avg:.228,onbase:.228,slugging:.281,ops:erc">.281,ops+:lugging">.509,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Jason Vargas,age:36,games:17,plate_appearances:31,at_bats:28,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.071,onbase:.071,slugging:.071,ops:erc">.071,ops+:lugging">.143,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
