pos:LF,name:Cleon Jones,age:32,games:21,plate_appearances:53,at_bats:50,runs:2,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:6,batting_avg:.240,onbase:.283,slugging:.260,ops:erc">.260,ops+:lugging">.543,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Ron Hodges,age:26,games:9,plate_appearances:37,at_bats:34,runs:3,hits:7,doubles:1,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.206,onbase:.229,slugging:.412,ops:erc">.412,ops+:lugging">.640,bases:14,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Roy Staiger,age:25,games:13,plate_appearances:19,at_bats:19,runs:2,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.158,onbase:.158,slugging:.211,ops:erc">.211,ops+:lugging">.368,bases:4,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Bob Gallagher,age:27,games:33,plate_appearances:16,at_bats:15,runs:5,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.133,onbase:.188,slugging:.200,ops:erc">.200,ops+:lugging">.388,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Brock Pemberton,age:21,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Seaver,age:30,games:37,plate_appearances:111,at_bats:95,runs:7,hits:17,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:24,batting_avg:.179,onbase:.250,slugging:.189,ops:erc">.189,ops+:lugging">.439,bases:18,double_plays:2,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jerry Koosman,age:32,games:36,plate_appearances:89,at_bats:78,runs:4,hits:14,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:31,batting_avg:.179,onbase:.220,slugging:.205,ops:erc">.205,ops+:lugging">.425,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jon Matlack,age:25,games:33,plate_appearances:88,at_bats:70,runs:6,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:33,batting_avg:.100,onbase:.241,slugging:.100,ops:erc">.100,ops+:lugging">.341,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Randy Tate,age:22,games:26,plate_appearances:47,at_bats:41,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:22,batting_avg:.000,onbase:.024,slugging:.000,ops:erc">.000,ops+:lugging">.024,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Hank Webb,age:25,games:31,plate_appearances:33,at_bats:31,runs:5,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.258,onbase:.303,slugging:.258,ops:erc">.258,ops+:lugging">.561,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:George Stone,age:28,games:13,plate_appearances:21,at_bats:18,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.167,onbase:.211,slugging:.167,ops:erc">.167,ops+:lugging">.377,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
