pos:C,name:Darrell Porter,age:26,games:150,plate_appearances:602,at_bats:520,runs:77,hits:138,doubles:27,triples:6,home_runs:18,runs_batted_in:78,stolen_bases:0,caught_stealing:5,walks:75,strikeouts:75,batting_avg:.265,onbase:.358,slugging:.444,ops:erc">.444,ops+:lugging">.802,bases:231,double_plays:13,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:14
pos:1B,name:Pete LaCock,age:26,games:118,plate_appearances:347,at_bats:322,runs:44,hits:95,doubles:21,triples:2,home_runs:5,runs_batted_in:48,stolen_bases:1,caught_stealing:0,walks:21,strikeouts:27,batting_avg:.295,onbase:.335,slugging:.419,ops:erc">.419,ops+:lugging">.755,bases:135,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:2
pos:2B,name:Frank White,age:27,games:143,plate_appearances:501,at_bats:461,runs:66,hits:127,doubles:24,triples:6,home_runs:7,runs_batted_in:50,stolen_bases:13,caught_stealing:10,walks:26,strikeouts:59,batting_avg:.275,onbase:.317,slugging:.399,ops:erc">.399,ops+:lugging">.716,bases:184,double_plays:2,hit_by_pitch:3,sac_hits:9,sac_flies:2,intentional_walks:1
pos:SS,name:Freddie Patek,age:33,games:138,plate_appearances:496,at_bats:440,runs:54,hits:109,doubles:23,triples:1,home_runs:2,runs_batted_in:46,stolen_bases:38,caught_stealing:11,walks:42,strikeouts:56,batting_avg:.248,onbase:.312,slugging:.318,ops:erc">.318,ops+:lugging">.630,bases:140,double_plays:6,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:1
pos:3B,name:George Brett,age:25,games:128,plate_appearances:558,at_bats:510,runs:79,hits:150,doubles:45,triples:8,home_runs:9,runs_batted_in:62,stolen_bases:23,caught_stealing:7,walks:39,strikeouts:35,batting_avg:.294,onbase:.342,slugging:.467,ops:erc">.467,ops+:lugging">.809,bases:238,double_plays:6,hit_by_pitch:1,sac_hits:3,sac_flies:5,intentional_walks:6
pos:LF,name:Willie Wilson,age:22,games:127,plate_appearances:223,at_bats:198,runs:43,hits:43,doubles:8,triples:2,home_runs:0,runs_batted_in:16,stolen_bases:46,caught_stealing:12,walks:16,strikeouts:33,batting_avg:.217,onbase:.280,slugging:.278,ops:erc">.278,ops+:lugging">.558,bases:55,double_plays:2,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:0
pos:CF,name:Amos Otis,age:31,games:141,plate_appearances:567,at_bats:486,runs:74,hits:145,doubles:30,triples:7,home_runs:22,runs_batted_in:96,stolen_bases:32,caught_stealing:8,walks:66,strikeouts:54,batting_avg:.298,onbase:.380,slugging:.525,ops:erc">.525,ops+:lugging">.905,bases:255,double_plays:10,hit_by_pitch:4,sac_hits:1,sac_flies:10,intentional_walks:7
pos:RF,name:Al Cowens,age:26,games:132,plate_appearances:534,at_bats:485,runs:63,hits:133,doubles:24,triples:8,home_runs:5,runs_batted_in:63,stolen_bases:14,caught_stealing:6,walks:31,strikeouts:54,batting_avg:.274,onbase:.319,slugging:.388,ops:erc">.388,ops+:lugging">.707,bases:188,double_plays:7,hit_by_pitch:6,sac_hits:1,sac_flies:11,intentional_walks:3
pos:DH,name:Hal McRae,age:32,games:156,plate_appearances:692,at_bats:623,runs:90,hits:170,doubles:39,triples:5,home_runs:16,runs_batted_in:72,stolen_bases:17,caught_stealing:8,walks:51,strikeouts:62,batting_avg:.273,onbase:.329,slugging:.429,ops:erc">.429,ops+:lugging">.757,bases:267,double_plays:15,hit_by_pitch:6,sac_hits:1,sac_flies:11,intentional_walks:6
pos:UT,name:Clint Hurdle,age:20,games:133,plate_appearances:481,at_bats:417,runs:48,hits:110,doubles:25,triples:5,home_runs:7,runs_batted_in:56,stolen_bases:1,caught_stealing:3,walks:56,strikeouts:84,batting_avg:.264,onbase:.348,slugging:.398,ops:erc">.398,ops+:lugging">.746,bases:166,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:6,intentional_walks:1
pos:LF,name:Tom Poquette,age:26,games:80,plate_appearances:226,at_bats:204,runs:16,hits:44,doubles:9,triples:2,home_runs:4,runs_batted_in:30,stolen_bases:2,caught_stealing:0,walks:14,strikeouts:9,batting_avg:.216,onbase:.259,slugging:.338,ops:erc">.338,ops+:lugging">.597,bases:69,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:6,intentional_walks:1
pos:UT,name:John Wathan,age:28,games:67,plate_appearances:203,at_bats:190,runs:19,hits:57,doubles:10,triples:1,home_runs:2,runs_batted_in:28,stolen_bases:2,caught_stealing:1,walks:3,strikeouts:12,batting_avg:.300,onbase:.320,slugging:.395,ops:erc">.395,ops+:lugging">.715,bases:75,double_plays:5,hit_by_pitch:4,sac_hits:3,sac_flies:3,intentional_walks:1
pos:LF,name:Steve Braun,age:30,games:64,plate_appearances:167,at_bats:137,runs:16,hits:36,doubles:10,triples:1,home_runs:0,runs_batted_in:14,stolen_bases:3,caught_stealing:2,walks:28,strikeouts:16,batting_avg:.263,onbase:.386,slugging:.350,ops:erc">.350,ops+:lugging">.736,bases:48,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:IF,name:Jerry Terrell,age:31,games:73,plate_appearances:147,at_bats:133,runs:14,hits:27,doubles:1,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:8,caught_stealing:4,walks:4,strikeouts:13,batting_avg:.203,onbase:.225,slugging:.211,ops:erc">.211,ops+:lugging">.435,bases:28,double_plays:4,hit_by_pitch:0,sac_hits:9,sac_flies:1,intentional_walks:0
pos:SS,name:U L Washington,age:24,games:69,plate_appearances:142,at_bats:129,runs:10,hits:34,doubles:2,triples:1,home_runs:0,runs_batted_in:9,stolen_bases:12,caught_stealing:6,walks:10,strikeouts:20,batting_avg:.264,onbase:.314,slugging:.295,ops:erc">.295,ops+:lugging">.609,bases:38,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:LF,name:Joe Zdeb,age:25,games:60,plate_appearances:141,at_bats:127,runs:18,hits:32,doubles:2,triples:3,home_runs:0,runs_batted_in:11,stolen_bases:3,caught_stealing:0,walks:7,strikeouts:18,batting_avg:.252,onbase:.287,slugging:.315,ops:erc">.315,ops+:lugging">.602,bases:40,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:2,intentional_walks:0
pos:IF,name:Jamie Quirk,age:23,games:17,plate_appearances:34,at_bats:29,runs:3,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:4,batting_avg:.207,onbase:.324,slugging:.276,ops:erc">.276,ops+:lugging">.599,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Joe Lahoud,age:31,games:13,plate_appearances:16,at_bats:16,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Art Kusnyer,age:32,games:9,plate_appearances:15,at_bats:13,runs:1,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.231,onbase:.333,slugging:.538,ops:erc">.538,ops+:lugging">.872,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
