pos:3B,name:Jim Presley,age:29,games:20,plate_appearances:66,at_bats:59,runs:3,hits:8,doubles:0,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:16,batting_avg:.136,onbase:.200,slugging:.186,ops:erc">.186,ops+:lugging">.386,bases:11,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
pos:C,name:Tom Lampkin,age:27,games:38,plate_appearances:61,at_bats:58,runs:4,hits:11,doubles:3,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.190,onbase:.230,slugging:.276,ops:erc">.276,ops+:lugging">.505,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Oscar Azocar,age:26,games:38,plate_appearances:60,at_bats:57,runs:5,hits:14,doubles:2,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:2,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.246,onbase:.267,slugging:.281,ops:erc">.281,ops+:lugging">.547,bases:16,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Garry Templeton,age:35,games:32,plate_appearances:59,at_bats:57,runs:5,hits:11,doubles:1,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:9,batting_avg:.193,onbase:.203,slugging:.298,ops:erc">.298,ops+:lugging">.502,bases:17,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:MI,name:Jose Mota,age:26,games:17,plate_appearances:41,at_bats:36,runs:4,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.222,onbase:.282,slugging:.222,ops:erc">.222,ops+:lugging">.504,bases:8,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:C,name:Dann Bilardello,age:32,games:15,plate_appearances:29,at_bats:26,runs:4,hits:7,doubles:2,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.269,onbase:.345,slugging:.423,ops:erc">.423,ops+:lugging">.768,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jim Vatcher,age:26,games:17,plate_appearances:24,at_bats:20,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.200,onbase:.333,slugging:.200,ops:erc">.200,ops+:lugging">.533,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Mike Aldrete,age:30,games:12,plate_appearances:18,at_bats:15,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:4,batting_avg:.000,onbase:.167,slugging:.000,ops:erc">.000,ops+:lugging">.167,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Marty Barrett,age:33,games:12,plate_appearances:17,at_bats:16,runs:1,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.188,onbase:.235,slugging:.438,ops:erc">.438,ops+:lugging">.673,bases:7,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Brian Dorsett,age:30,games:11,plate_appearances:12,at_bats:12,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.083,onbase:.083,slugging:.083,ops:erc">.083,ops+:lugging">.167,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Phil Stephenson,age:30,games:11,plate_appearances:9,at_bats:7,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.286,onbase:.444,slugging:.286,ops:erc">.286,ops+:lugging">.730,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bruce Hurst,age:33,games:31,plate_appearances:83,at_bats:67,runs:3,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:23,batting_avg:.134,onbase:.183,slugging:.149,ops:erc">.149,ops+:lugging">.332,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Andy Benes,age:23,games:33,plate_appearances:77,at_bats:62,runs:4,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:29,batting_avg:.032,onbase:.143,slugging:.081,ops:erc">.081,ops+:lugging">.224,bases:5,double_plays:2,hit_by_pitch:2,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Dennis Rasmussen,age:32,games:25,plate_appearances:52,at_bats:44,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.136,onbase:.224,slugging:.159,ops:erc">.159,ops+:lugging">.384,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Greg Harris,age:27,games:20,plate_appearances:45,at_bats:36,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:13,batting_avg:.083,onbase:.132,slugging:.083,ops:erc">.083,ops+:lugging">.215,bases:3,double_plays:1,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Ed Whitson,age:36,games:13,plate_appearances:27,at_bats:24,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.125,onbase:.160,slugging:.125,ops:erc">.125,ops+:lugging">.285,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jose Melendez,age:25,games:31,plate_appearances:21,at_bats:20,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.100,onbase:.143,slugging:.150,ops:erc">.150,ops+:lugging">.293,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Bones,age:22,games:11,plate_appearances:19,at_bats:13,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.077,onbase:.200,slugging:.077,ops:erc">.077,ops+:lugging">.277,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Mike Maddux,age:29,games:64,plate_appearances:18,at_bats:13,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.077,onbase:.200,slugging:.077,ops:erc">.077,ops+:lugging">.277,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Adam Peterson,age:25,games:13,plate_appearances:16,at_bats:13,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.000,onbase:.133,slugging:.000,ops:erc">.000,ops+:lugging">.133,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Eric Nolte,age:27,games:6,plate_appearances:11,at_bats:9,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.111,onbase:.111,slugging:.111,ops:erc">.111,ops+:lugging">.222,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Craig Lefferts,age:33,games:54,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rich Rodriguez,age:28,games:65,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Lewis,age:26,games:12,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wes Gardner,age:30,games:14,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Larry Andersen,age:38,games:38,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Derek Lilliquist,age:25,games:6,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeremy Hernandez,age:24,games:9,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Costello,age:30,games:27,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Atlee Hammaker,age:33,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pat Clements,age:29,games:12,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Rosenberg,age:26,games:10,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tim Scott,age:24,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
