pos:LF,name:Nick Martini,age:29,games:26,plate_appearances:96,at_bats:82,runs:7,hits:20,doubles:4,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:21,batting_avg:.244,onbase:.344,slugging:.317,ops:erc">.317,ops+:lugging">.661,bases:26,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Austin Allen,age:25,games:34,plate_appearances:71,at_bats:65,runs:4,hits:14,doubles:4,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:21,batting_avg:.215,onbase:.282,slugging:.277,ops:erc">.277,ops+:lugging">.559,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:3
pos:IF,name:Seth Mejias-Brean,age:28,games:14,plate_appearances:33,at_bats:30,runs:3,hits:7,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.233,onbase:.303,slugging:.500,ops:erc">.500,ops+:lugging">.803,bases:15,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Travis Jankowski,age:28,games:25,plate_appearances:24,at_bats:22,runs:4,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:2,caught_stealing:2,walks:2,strikeouts:4,batting_avg:.182,onbase:.250,slugging:.182,ops:erc">.182,ops+:lugging">.432,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Franchy Cordero,age:24,games:9,plate_appearances:20,at_bats:15,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:7,batting_avg:.333,onbase:.450,slugging:.400,ops:erc">.400,ops+:lugging">.850,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Alex Dickerson,age:29,games:12,plate_appearances:19,at_bats:19,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.158,onbase:.158,slugging:.158,ops:erc">.158,ops+:lugging">.316,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Luis Torrens,age:23,games:7,plate_appearances:16,at_bats:14,runs:2,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.214,onbase:.313,slugging:.286,ops:erc">.286,ops+:lugging">.598,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Jose Pirela,age:29,games:2,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joey Lucchesi,age:26,games:28,plate_appearances:54,at_bats:48,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:36,batting_avg:.063,onbase:.082,slugging:.063,ops:erc">.063,ops+:lugging">.144,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Eric Lauer,age:24,games:29,plate_appearances:48,at_bats:40,runs:1,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:23,batting_avg:.100,onbase:.122,slugging:.150,ops:erc">.150,ops+:lugging">.272,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Chris Paddack,age:23,games:25,plate_appearances:46,at_bats:42,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:19,batting_avg:.119,onbase:.119,slugging:.119,ops:erc">.119,ops+:lugging">.238,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
