pos:CF,name:Jim Wilhelm,age:26,games:39,plate_appearances:108,at_bats:103,runs:8,hits:25,doubles:4,triples:3,home_runs:0,runs_batted_in:8,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:12,batting_avg:.243,onbase:.255,slugging:.340,ops:erc">.340,ops+:lugging">.595,bases:35,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:1B,name:Broderick Perkins,age:24,games:57,plate_appearances:97,at_bats:87,runs:8,hits:23,doubles:0,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:12,batting_avg:.264,onbase:.323,slugging:.264,ops:erc">.264,ops+:lugging">.587,bases:23,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:2
pos:2B,name:Tim Flannery,age:21,games:22,plate_appearances:73,at_bats:65,runs:2,hits:10,doubles:0,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:5,batting_avg:.154,onbase:.222,slugging:.185,ops:erc">.185,ops+:lugging">.407,bases:12,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Don Reynolds,age:26,games:30,plate_appearances:53,at_bats:45,runs:6,hits:10,doubles:1,triples:2,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:6,batting_avg:.222,onbase:.321,slugging:.333,ops:erc">.333,ops+:lugging">.654,bases:15,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:UT,name:Bobby Tolan,age:33,games:22,plate_appearances:25,at_bats:21,runs:2,hits:4,doubles:0,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.190,onbase:.190,slugging:.286,ops:erc">.286,ops+:lugging">.476,bases:6,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:2B,name:Sam Perlozzo,age:28,games:2,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Brian Greer,age:20,games:4,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Randy Jones,age:29,games:41,plate_appearances:94,at_bats:86,runs:8,hits:15,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:29,batting_avg:.174,onbase:.172,slugging:.198,ops:erc">.198,ops+:lugging">.370,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:1,intentional_walks:0
pos:P,name:Gaylord Perry,age:40,games:32,plate_appearances:84,at_bats:71,runs:2,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:19,batting_avg:.085,onbase:.110,slugging:.155,ops:erc">.155,ops+:lugging">.265,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:11,sac_flies:0,intentional_walks:0
pos:P,name:Bob Shirley,age:25,games:49,plate_appearances:63,at_bats:55,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.091,onbase:.138,slugging:.109,ops:erc">.109,ops+:lugging">.247,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Eric Rasmussen,age:27,games:46,plate_appearances:45,at_bats:36,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.056,onbase:.128,slugging:.056,ops:erc">.056,ops+:lugging">.184,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Bob Owchinko,age:24,games:42,plate_appearances:43,at_bats:33,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.121,onbase:.194,slugging:.121,ops:erc">.121,ops+:lugging">.316,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:John D'Acquisto,age:27,games:51,plate_appearances:38,at_bats:31,runs:0,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:21,batting_avg:.129,onbase:.229,slugging:.194,ops:erc">.194,ops+:lugging">.422,bases:6,double_plays:0,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Steve Mura,age:24,games:38,plate_appearances:13,at_bats:10,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Rollie Fingers,age:32,games:54,plate_appearances:13,at_bats:12,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.083,onbase:.083,slugging:.083,ops:erc">.083,ops+:lugging">.167,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mickey Lolich,age:38,games:27,plate_appearances:8,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.000,onbase:.143,slugging:.000,ops:erc">.000,ops+:lugging">.143,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Juan Eichelberger,age:25,games:3,plate_appearances:7,at_bats:5,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.400,onbase:.500,slugging:.600,ops:erc">.600,ops+:lugging">1.100,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mark Lee,age:26,games:46,plate_appearances:7,at_bats:6,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tom Tellmann,age:25,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dennis Kinney,age:27,games:13,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
