pos:1B,name:Josh Fuentes,age:26,games:24,plate_appearances:56,at_bats:55,runs:8,hits:12,doubles:1,triples:0,home_runs:3,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:20,batting_avg:.218,onbase:.232,slugging:.400,ops:erc">.400,ops+:lugging">.632,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Drew Butera,age:35,games:16,plate_appearances:49,at_bats:43,runs:6,hits:7,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:14,batting_avg:.163,onbase:.229,slugging:.233,ops:erc">.233,ops+:lugging">.462,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Dom Nunez,age:24,games:16,plate_appearances:43,at_bats:39,runs:4,hits:7,doubles:3,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:17,batting_avg:.179,onbase:.233,slugging:.410,ops:erc">.410,ops+:lugging">.643,bases:16,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Noel Cuevas,age:27,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jon Gray,age:27,games:27,plate_appearances:59,at_bats:47,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:22,batting_avg:.064,onbase:.120,slugging:.064,ops:erc">.064,ops+:lugging">.184,bases:3,double_plays:2,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:German Marquez,age:24,games:25,plate_appearances:58,at_bats:48,runs:5,hits:11,doubles:4,triples:1,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:14,batting_avg:.229,onbase:.229,slugging:.354,ops:erc">.354,ops+:lugging">.583,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Antonio Senzatela,age:24,games:24,plate_appearances:46,at_bats:40,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:24,batting_avg:.025,onbase:.049,slugging:.025,ops:erc">.025,ops+:lugging">.074,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Peter Lambert,age:22,games:21,plate_appearances:34,at_bats:28,runs:3,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:10,batting_avg:.321,onbase:.387,slugging:.321,ops:erc">.321,ops+:lugging">.709,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Kyle Freeland,age:26,games:19,plate_appearances:31,at_bats:23,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:15,batting_avg:.087,onbase:.192,slugging:.087,ops:erc">.087,ops+:lugging">.279,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Hoffman,age:26,games:18,plate_appearances:24,at_bats:21,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.238,onbase:.238,slugging:.238,ops:erc">.238,ops+:lugging">.476,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Chi Chi Gonzalez,age:27,games:13,plate_appearances:24,at_bats:24,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:15,batting_avg:.042,onbase:.042,slugging:.042,ops:erc">.042,ops+:lugging">.083,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tim Melville,age:29,games:7,plate_appearances:10,at_bats:8,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Chad Bettis,age:30,games:35,plate_appearances:10,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.000,onbase:.286,slugging:.000,ops:erc">.000,ops+:lugging">.286,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Tyler Anderson,age:29,games:5,plate_appearances:8,at_bats:7,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jesus Tinoco,age:24,games:23,plate_appearances:6,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Yency Almonte,age:25,games:27,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wes Parsons,age:26,games:15,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
