pos:C,name:Benito Santiago,age:35,games:89,plate_appearances:277,at_bats:252,runs:22,hits:66,doubles:11,triples:1,home_runs:8,runs_batted_in:45,stolen_bases:2,caught_stealing:2,walks:19,strikeouts:45,batting_avg:.262,onbase:.310,slugging:.409,ops:erc">.409,ops+:lugging">.719,bases:103,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:8
pos:1B,name:Sean Casey,age:25,games:133,plate_appearances:545,at_bats:480,runs:69,hits:151,doubles:33,triples:2,home_runs:20,runs_batted_in:85,stolen_bases:1,caught_stealing:0,walks:52,strikeouts:80,batting_avg:.315,onbase:.385,slugging:.517,ops:erc">.517,ops+:lugging">.902,bases:248,double_plays:16,hit_by_pitch:7,sac_hits:0,sac_flies:6,intentional_walks:4
pos:2B,name:Pokey Reese,age:27,games:135,plate_appearances:577,at_bats:518,runs:76,hits:132,doubles:20,triples:6,home_runs:12,runs_batted_in:46,stolen_bases:29,caught_stealing:3,walks:45,strikeouts:86,batting_avg:.255,onbase:.319,slugging:.386,ops:erc">.386,ops+:lugging">.705,bases:200,double_plays:8,hit_by_pitch:6,sac_hits:3,sac_flies:5,intentional_walks:5
pos:SS,name:Barry Larkin,age:36,games:102,plate_appearances:447,at_bats:396,runs:71,hits:124,doubles:26,triples:5,home_runs:11,runs_batted_in:41,stolen_bases:14,caught_stealing:6,walks:48,strikeouts:31,batting_avg:.313,onbase:.389,slugging:.487,ops:erc">.487,ops+:lugging">.876,bases:193,double_plays:10,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Aaron Boone,age:27,games:84,plate_appearances:332,at_bats:291,runs:44,hits:83,doubles:18,triples:0,home_runs:12,runs_batted_in:43,stolen_bases:6,caught_stealing:1,walks:24,strikeouts:52,batting_avg:.285,onbase:.356,slugging:.471,ops:erc">.471,ops+:lugging">.826,bases:137,double_plays:5,hit_by_pitch:10,sac_hits:2,sac_flies:4,intentional_walks:1
pos:LF,name:Dmitri Young,age:26,games:152,plate_appearances:593,at_bats:548,runs:68,hits:166,doubles:37,triples:6,home_runs:18,runs_batted_in:88,stolen_bases:0,caught_stealing:3,walks:36,strikeouts:80,batting_avg:.303,onbase:.346,slugging:.491,ops:erc">.491,ops+:lugging">.837,bases:269,double_plays:16,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:6
pos:CF,name:Ken Griffey Jr.,age:30,games:145,plate_appearances:631,at_bats:520,runs:100,hits:141,doubles:22,triples:3,home_runs:40,runs_batted_in:118,stolen_bases:6,caught_stealing:4,walks:94,strikeouts:117,batting_avg:.271,onbase:.387,slugging:.556,ops:erc">.556,ops+:lugging">.942,bases:289,double_plays:7,hit_by_pitch:9,sac_hits:0,sac_flies:8,intentional_walks:17
pos:RF,name:Dante Bichette,age:36,games:125,plate_appearances:514,at_bats:461,runs:67,hits:136,doubles:27,triples:2,home_runs:16,runs_batted_in:76,stolen_bases:5,caught_stealing:2,walks:41,strikeouts:69,batting_avg:.295,onbase:.353,slugging:.466,ops:erc">.466,ops+:lugging">.819,bases:215,double_plays:18,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:3
pos:3B,name:Chris Stynes,age:27,games:119,plate_appearances:420,at_bats:380,runs:71,hits:127,doubles:24,triples:1,home_runs:12,runs_batted_in:40,stolen_bases:5,caught_stealing:2,walks:32,strikeouts:54,batting_avg:.334,onbase:.386,slugging:.497,ops:erc">.497,ops+:lugging">.883,bases:189,double_plays:5,hit_by_pitch:2,sac_hits:3,sac_flies:3,intentional_walks:2
pos:OF,name:Michael Tucker,age:29,games:148,plate_appearances:323,at_bats:270,runs:55,hits:72,doubles:13,triples:4,home_runs:15,runs_batted_in:36,stolen_bases:13,caught_stealing:6,walks:44,strikeouts:64,batting_avg:.267,onbase:.381,slugging:.511,ops:erc">.511,ops+:lugging">.892,bases:138,double_plays:6,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:1
pos:C,name:Ed Taubensee,age:31,games:81,plate_appearances:291,at_bats:266,runs:29,hits:71,doubles:12,triples:0,home_runs:6,runs_batted_in:24,stolen_bases:0,caught_stealing:0,walks:21,strikeouts:44,batting_avg:.267,onbase:.324,slugging:.380,ops:erc">.380,ops+:lugging">.704,bases:101,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
