pos:UT,name:Donald Lutz,age:25,games:28,plate_appearances:54,at_bats:51,runs:2,hits:9,doubles:4,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:19,batting_avg:.176,onbase:.222,slugging:.255,ops:erc">.255,ops+:lugging">.477,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Jack Hannahan,age:34,games:26,plate_appearances:50,at_bats:48,runs:3,hits:9,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.188,onbase:.220,slugging:.250,ops:erc">.250,ops+:lugging">.470,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jason Bourgeois,age:32,games:18,plate_appearances:34,at_bats:33,runs:5,hits:8,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.242,onbase:.265,slugging:.303,ops:erc">.303,ops+:lugging">.568,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CI,name:Neftali Soto,age:25,games:21,plate_appearances:31,at_bats:30,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.100,onbase:.097,slugging:.133,ops:erc">.133,ops+:lugging">.230,bases:4,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Yorman Rodriguez,age:21,games:11,plate_appearances:29,at_bats:27,runs:3,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:12,batting_avg:.222,onbase:.276,slugging:.222,ops:erc">.222,ops+:lugging">.498,bases:6,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Jake Elmore,age:27,games:5,plate_appearances:12,at_bats:11,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.182,onbase:.250,slugging:.182,ops:erc">.182,ops+:lugging">.432,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Johnny Cueto,age:28,games:32,plate_appearances:82,at_bats:68,runs:3,hits:9,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:20,batting_avg:.132,onbase:.157,slugging:.132,ops:erc">.132,ops+:lugging">.289,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Mike Leake,age:26,games:37,plate_appearances:74,at_bats:68,runs:9,hits:12,doubles:5,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:34,batting_avg:.176,onbase:.188,slugging:.338,ops:erc">.338,ops+:lugging">.527,bases:23,double_plays:1,hit_by_pitch:1,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Alfredo Simon,age:33,games:30,plate_appearances:67,at_bats:59,runs:2,hits:7,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:21,batting_avg:.119,onbase:.133,slugging:.169,ops:erc">.169,ops+:lugging">.303,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Homer Bailey,age:28,games:22,plate_appearances:51,at_bats:41,runs:3,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:18,batting_avg:.146,onbase:.186,slugging:.146,ops:erc">.146,ops+:lugging">.332,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Mat Latos,age:26,games:15,plate_appearances:32,at_bats:30,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:12,batting_avg:.100,onbase:.129,slugging:.100,ops:erc">.100,ops+:lugging">.229,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tony Cingrani,age:24,games:13,plate_appearances:22,at_bats:21,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:David Holmberg,age:22,games:6,plate_appearances:7,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Corcino,age:23,games:5,plate_appearances:5,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Dylan Axelrod,age:28,games:4,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Logan Ondrusek,age:29,games:38,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pedro Villarreal,age:26,games:10,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:J.J. Hoover,age:26,games:50,plate_appearances:1,at_bats:0,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:,onbase:1.000,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Francis,age:33,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
