pos:C,name:Johnny Bench,age:26,games:160,plate_appearances:708,at_bats:621,runs:108,hits:174,doubles:38,triples:2,home_runs:33,runs_batted_in:129,stolen_bases:5,caught_stealing:4,walks:80,strikeouts:90,batting_avg:.280,onbase:.363,slugging:.507,ops:erc">.507,ops+:lugging">.870,bases:315,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:15
pos:1B,name:Tony Perez,age:32,games:158,plate_appearances:667,at_bats:596,runs:81,hits:158,doubles:28,triples:2,home_runs:28,runs_batted_in:101,stolen_bases:1,caught_stealing:3,walks:61,strikeouts:112,batting_avg:.265,onbase:.331,slugging:.460,ops:erc">.460,ops+:lugging">.791,bases:274,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:7
pos:2B,name:Joe Morgan,age:30,games:149,plate_appearances:641,at_bats:512,runs:107,hits:150,doubles:31,triples:3,home_runs:22,runs_batted_in:67,stolen_bases:58,caught_stealing:12,walks:120,strikeouts:69,batting_avg:.293,onbase:.427,slugging:.494,ops:erc">.494,ops+:lugging">.921,bases:253,double_plays:7,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:8
pos:SS,name:Dave Concepcion,age:26,games:160,plate_appearances:653,at_bats:594,runs:70,hits:167,doubles:25,triples:1,home_runs:14,runs_batted_in:82,stolen_bases:41,caught_stealing:6,walks:44,strikeouts:79,batting_avg:.281,onbase:.335,slugging:.397,ops:erc">.397,ops+:lugging">.732,bases:236,double_plays:20,hit_by_pitch:6,sac_hits:5,sac_flies:4,intentional_walks:10
pos:3B,name:Dan Driessen,age:22,games:150,plate_appearances:523,at_bats:470,runs:63,hits:132,doubles:23,triples:6,home_runs:7,runs_batted_in:56,stolen_bases:10,caught_stealing:5,walks:48,strikeouts:62,batting_avg:.281,onbase:.347,slugging:.400,ops:erc">.400,ops+:lugging">.747,bases:188,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:5
pos:LF,name:Pete Rose,age:33,games:163,plate_appearances:771,at_bats:652,runs:110,hits:185,doubles:45,triples:7,home_runs:3,runs_batted_in:51,stolen_bases:2,caught_stealing:4,walks:106,strikeouts:54,batting_avg:.284,onbase:.385,slugging:.388,ops:erc">.388,ops+:lugging">.773,bases:253,double_plays:9,hit_by_pitch:5,sac_hits:1,sac_flies:6,intentional_walks:14
pos:CF,name:Cesar Geronimo,age:26,games:150,plate_appearances:530,at_bats:474,runs:73,hits:133,doubles:17,triples:8,home_runs:7,runs_batted_in:54,stolen_bases:9,caught_stealing:5,walks:46,strikeouts:96,batting_avg:.281,onbase:.345,slugging:.395,ops:erc">.395,ops+:lugging">.739,bases:187,double_plays:8,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:11
pos:RF,name:Ken Griffey,age:24,games:88,plate_appearances:256,at_bats:227,runs:24,hits:57,doubles:9,triples:5,home_runs:2,runs_batted_in:19,stolen_bases:9,caught_stealing:4,walks:27,strikeouts:43,batting_avg:.251,onbase:.333,slugging:.361,ops:erc">.361,ops+:lugging">.695,bases:82,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:2
pos:OF,name:George Foster,age:25,games:106,plate_appearances:314,at_bats:276,runs:31,hits:73,doubles:18,triples:0,home_runs:7,runs_batted_in:41,stolen_bases:3,caught_stealing:2,walks:30,strikeouts:52,batting_avg:.264,onbase:.343,slugging:.406,ops:erc">.406,ops+:lugging">.749,bases:112,double_plays:8,hit_by_pitch:4,sac_hits:2,sac_flies:2,intentional_walks:5
pos:RF,name:Merv Rettenmund,age:31,games:80,plate_appearances:252,at_bats:208,runs:30,hits:45,doubles:6,triples:0,home_runs:6,runs_batted_in:28,stolen_bases:5,caught_stealing:1,walks:37,strikeouts:39,batting_avg:.216,onbase:.337,slugging:.332,ops:erc">.332,ops+:lugging">.669,bases:69,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:1
pos:IF,name:Darrel Chaney,age:26,games:117,plate_appearances:164,at_bats:135,runs:27,hits:27,doubles:6,triples:1,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:2,walks:26,strikeouts:33,batting_avg:.200,onbase:.327,slugging:.304,ops:erc">.304,ops+:lugging">.631,bases:41,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:6
pos:RF,name:Terry Crowley,age:27,games:84,plate_appearances:140,at_bats:125,runs:11,hits:30,doubles:12,triples:0,home_runs:1,runs_batted_in:20,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:16,batting_avg:.240,onbase:.293,slugging:.360,ops:erc">.360,ops+:lugging">.653,bases:45,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:0
pos:C,name:Bill Plummer,age:27,games:50,plate_appearances:129,at_bats:120,runs:7,hits:27,doubles:7,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:21,batting_avg:.225,onbase:.258,slugging:.333,ops:erc">.333,ops+:lugging">.591,bases:40,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:IF,name:Phil Gagliano,age:32,games:46,plate_appearances:46,at_bats:31,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:7,batting_avg:.065,onbase:.370,slugging:.065,ops:erc">.065,ops+:lugging">.434,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Andy Kosco,age:32,games:33,plate_appearances:45,at_bats:37,runs:3,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:8,batting_avg:.189,onbase:.311,slugging:.243,ops:erc">.243,ops+:lugging">.554,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:IF,name:Junior Kennedy,age:23,games:22,plate_appearances:25,at_bats:19,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:4,batting_avg:.158,onbase:.360,slugging:.158,ops:erc">.158,ops+:lugging">.518,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Hal King,age:30,games:20,plate_appearances:20,at_bats:17,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.176,onbase:.300,slugging:.235,ops:erc">.235,ops+:lugging">.535,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Ray Knight,age:21,games:14,plate_appearances:12,at_bats:11,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.182,onbase:.250,slugging:.273,ops:erc">.273,ops+:lugging">.523,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Ed Armbrister,age:25,games:9,plate_appearances:8,at_bats:7,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.286,onbase:.375,slugging:.286,ops:erc">.286,ops+:lugging">.661,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Roger Freed,age:28,games:6,plate_appearances:7,at_bats:6,runs:1,hits:2,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.333,onbase:.429,slugging:.833,ops:erc">.833,ops+:lugging">1.262,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Gullett,age:23,games:39,plate_appearances:97,at_bats:80,runs:8,hits:19,doubles:2,triples:0,home_runs:0,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:19,batting_avg:.238,onbase:.287,slugging:.263,ops:erc">.263,ops+:lugging">.550,bases:21,double_plays:0,hit_by_pitch:0,sac_hits:10,sac_flies:1,intentional_walks:0
pos:P,name:Clay Kirby,age:26,games:36,plate_appearances:88,at_bats:74,runs:4,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:36,batting_avg:.095,onbase:.163,slugging:.095,ops:erc">.095,ops+:lugging">.257,bases:7,double_plays:4,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Jack Billingham,age:31,games:36,plate_appearances:79,at_bats:67,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:31,batting_avg:.075,onbase:.088,slugging:.075,ops:erc">.075,ops+:lugging">.163,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:11,sac_flies:0,intentional_walks:0
pos:P,name:Fred Norman,age:31,games:35,plate_appearances:70,at_bats:61,runs:3,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:20,batting_avg:.131,onbase:.159,slugging:.131,ops:erc">.131,ops+:lugging">.290,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Roger Nelson,age:30,games:14,plate_appearances:32,at_bats:28,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.179,onbase:.233,slugging:.179,ops:erc">.179,ops+:lugging">.412,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Tom Carroll,age:21,games:16,plate_appearances:29,at_bats:26,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.154,onbase:.185,slugging:.154,ops:erc">.154,ops+:lugging">.339,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
