pos:UT,name:Willie Harris,age:34,games:25,plate_appearances:48,at_bats:44,runs:5,hits:5,doubles:4,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:1,walks:3,strikeouts:8,batting_avg:.114,onbase:.170,slugging:.205,ops:erc">.205,ops+:lugging">.375,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Didi Gregorius,age:22,games:8,plate_appearances:21,at_bats:20,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.300,onbase:.300,slugging:.300,ops:erc">.300,ops+:lugging">.600,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:DH,name:Mike Costanzo,age:28,games:17,plate_appearances:21,at_bats:18,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.056,onbase:.095,slugging:.056,ops:erc">.056,ops+:lugging">.151,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:2B,name:Henry Rodriguez,age:22,games:12,plate_appearances:16,at_bats:14,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.214,onbase:.313,slugging:.286,ops:erc">.286,ops+:lugging">.598,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Denis Phipps,age:26,games:8,plate_appearances:11,at_bats:10,runs:4,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.300,onbase:.364,slugging:.700,ops:erc">.700,ops+:lugging">1.064,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Kristopher Negron,age:26,games:4,plate_appearances:5,at_bats:4,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.250,onbase:.400,slugging:.250,ops:erc">.250,ops+:lugging">.650,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Johnny Cueto,age:26,games:32,plate_appearances:84,at_bats:67,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:24,batting_avg:.090,onbase:.090,slugging:.104,ops:erc">.104,ops+:lugging">.194,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:17,sac_flies:0,intentional_walks:0
pos:P,name:Mat Latos,age:24,games:32,plate_appearances:80,at_bats:65,runs:2,hits:12,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:32,batting_avg:.185,onbase:.229,slugging:.246,ops:erc">.246,ops+:lugging">.475,bases:16,double_plays:0,hit_by_pitch:1,sac_hits:10,sac_flies:1,intentional_walks:0
pos:P,name:Homer Bailey,age:26,games:33,plate_appearances:76,at_bats:70,runs:1,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:29,batting_avg:.114,onbase:.127,slugging:.129,ops:erc">.129,ops+:lugging">.255,bases:9,double_plays:3,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Bronson Arroyo,age:35,games:30,plate_appearances:71,at_bats:63,runs:4,hits:9,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:28,batting_avg:.143,onbase:.154,slugging:.206,ops:erc">.206,ops+:lugging">.360,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
