pos:3B,name:Terry Pendleton,age:36,games:50,plate_appearances:125,at_bats:113,runs:11,hits:28,doubles:9,triples:0,home_runs:1,runs_batted_in:17,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:14,batting_avg:.248,onbase:.320,slugging:.354,ops:erc">.354,ops+:lugging">.674,bases:40,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:IF,name:Jeff Branson,age:30,games:65,plate_appearances:106,at_bats:98,runs:9,hits:15,doubles:3,triples:1,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:23,batting_avg:.153,onbase:.210,slugging:.235,ops:erc">.235,ops+:lugging">.444,bases:23,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:C,name:Brook Fordyce,age:27,games:47,plate_appearances:105,at_bats:96,runs:7,hits:20,doubles:5,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:8,strikeouts:15,batting_avg:.208,onbase:.267,slugging:.292,ops:erc">.292,ops+:lugging">.558,bases:28,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Ruben Sierra,age:31,games:25,plate_appearances:96,at_bats:90,runs:6,hits:22,doubles:5,triples:1,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:21,batting_avg:.244,onbase:.292,slugging:.389,ops:erc">.389,ops+:lugging">.681,bases:35,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Eric Owens,age:26,games:27,plate_appearances:61,at_bats:57,runs:8,hits:15,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:3,caught_stealing:2,walks:4,strikeouts:11,batting_avg:.263,onbase:.311,slugging:.263,ops:erc">.263,ops+:lugging">.575,bases:15,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Aaron Boone,age:24,games:16,plate_appearances:52,at_bats:49,runs:5,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.245,onbase:.275,slugging:.265,ops:erc">.265,ops+:lugging">.540,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:MI,name:Damian Jackson,age:23,games:12,plate_appearances:32,at_bats:27,runs:6,hits:6,doubles:2,triples:1,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:7,batting_avg:.222,onbase:.323,slugging:.481,ops:erc">.481,ops+:lugging">.804,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:CF,name:Pat Watkins,age:24,games:17,plate_appearances:30,at_bats:29,runs:2,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.207,onbase:.207,slugging:.276,ops:erc">.276,ops+:lugging">.483,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:CI,name:Pete Rose,age:27,games:11,plate_appearances:16,at_bats:14,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.143,onbase:.250,slugging:.143,ops:erc">.143,ops+:lugging">.393,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Ozzie Timmons,age:26,games:6,plate_appearances:9,at_bats:9,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.333,onbase:.333,slugging:.444,ops:erc">.444,ops+:lugging">.778,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
