pos:OF,name:Steve Selsky,age:26,games:24,plate_appearances:54,at_bats:51,runs:9,hits:16,doubles:2,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.314,onbase:.340,slugging:.471,ops:erc">.471,ops+:lugging">.810,bases:24,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Jordan Pacheco,age:30,games:31,plate_appearances:51,at_bats:51,runs:1,hits:8,doubles:4,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:14,batting_avg:.157,onbase:.157,slugging:.235,ops:erc">.235,ops+:lugging">.392,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Hernan Iribarren,age:32,games:24,plate_appearances:45,at_bats:45,runs:6,hits:14,doubles:0,triples:3,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.311,onbase:.311,slugging:.444,ops:erc">.444,ops+:lugging">.756,bases:20,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Kyle Waldrop,age:24,games:15,plate_appearances:23,at_bats:22,runs:1,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:5,batting_avg:.227,onbase:.261,slugging:.273,ops:erc">.273,ops+:lugging">.534,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Rafael Lopez,age:28,games:8,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Patrick Kivlehan,age:26,games:3,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Straily,age:27,games:32,plate_appearances:65,at_bats:52,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:40,batting_avg:.019,onbase:.056,slugging:.019,ops:erc">.019,ops+:lugging">.075,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:11,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Finnegan,age:23,games:31,plate_appearances:61,at_bats:53,runs:4,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:18,batting_avg:.113,onbase:.161,slugging:.151,ops:erc">.151,ops+:lugging">.312,bases:8,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Anthony DeSclafani,age:26,games:19,plate_appearances:43,at_bats:41,runs:0,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:22,batting_avg:.122,onbase:.143,slugging:.146,ops:erc">.146,ops+:lugging">.289,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tim Adleman,age:28,games:12,plate_appearances:23,at_bats:21,runs:2,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:11,batting_avg:.190,onbase:.190,slugging:.286,ops:erc">.286,ops+:lugging">.476,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
