pos:IF,name:Chris Valaika,age:28,games:44,plate_appearances:131,at_bats:121,runs:10,hits:28,doubles:4,triples:0,home_runs:3,runs_batted_in:13,stolen_bases:1,caught_stealing:0,walks:7,strikeouts:35,batting_avg:.231,onbase:.282,slugging:.339,ops:erc">.339,ops+:lugging">.621,bases:41,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Ryan Kalish,age:26,games:57,plate_appearances:130,at_bats:121,runs:13,hits:30,doubles:4,triples:4,home_runs:0,runs_batted_in:5,stolen_bases:3,caught_stealing:2,walks:8,strikeouts:28,batting_avg:.248,onbase:.295,slugging:.347,ops:erc">.347,ops+:lugging">.642,bases:42,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:RF,name:Jorge Soler,age:22,games:24,plate_appearances:97,at_bats:89,runs:11,hits:26,doubles:8,triples:1,home_runs:5,runs_batted_in:20,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:24,batting_avg:.292,onbase:.330,slugging:.573,ops:erc">.573,ops+:lugging">.903,bases:51,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:2B,name:Logan Watkins,age:24,games:31,plate_appearances:68,at_bats:65,runs:10,hits:16,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:16,batting_avg:.246,onbase:.269,slugging:.338,ops:erc">.338,ops+:lugging">.607,bases:22,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:OF,name:Matt Szczur,age:24,games:33,plate_appearances:66,at_bats:62,runs:6,hits:14,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:11,batting_avg:.226,onbase:.273,slugging:.355,ops:erc">.355,ops+:lugging">.628,bases:22,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Eli Whiteside,age:34,games:8,plate_appearances:26,at_bats:25,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.120,onbase:.115,slugging:.160,ops:erc">.160,ops+:lugging">.275,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Rafael Lopez,age:26,games:7,plate_appearances:14,at_bats:11,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.182,onbase:.286,slugging:.182,ops:erc">.182,ops+:lugging">.468,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Travis Wood,age:27,games:38,plate_appearances:66,at_bats:56,runs:9,hits:13,doubles:2,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.232,onbase:.271,slugging:.429,ops:erc">.429,ops+:lugging">.700,bases:24,double_plays:1,hit_by_pitch:2,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jake Arrieta,age:28,games:23,plate_appearances:47,at_bats:39,runs:3,hits:7,doubles:2,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:16,batting_avg:.179,onbase:.220,slugging:.282,ops:erc">.282,ops+:lugging">.502,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Edwin Jackson,age:30,games:28,plate_appearances:44,at_bats:40,runs:2,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:21,batting_avg:.175,onbase:.175,slugging:.225,ops:erc">.225,ops+:lugging">.400,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Jason Hammel,age:31,games:16,plate_appearances:39,at_bats:35,runs:2,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.143,onbase:.167,slugging:.143,ops:erc">.143,ops+:lugging">.310,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
