pos:C,name:Jody Davis,age:30,games:125,plate_appearances:485,at_bats:428,runs:57,hits:106,doubles:12,triples:2,home_runs:19,runs_batted_in:51,stolen_bases:1,caught_stealing:2,walks:52,strikeouts:91,batting_avg:.248,onbase:.331,slugging:.418,ops:erc">.418,ops+:lugging">.749,bases:179,double_plays:14,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:2
pos:1B,name:Leon Durham,age:29,games:131,plate_appearances:492,at_bats:439,runs:70,hits:120,doubles:22,triples:1,home_runs:27,runs_batted_in:63,stolen_bases:2,caught_stealing:2,walks:51,strikeouts:92,batting_avg:.273,onbase:.348,slugging:.513,ops:erc">.513,ops+:lugging">.860,bases:225,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:9
pos:2B,name:Ryne Sandberg,age:27,games:132,plate_appearances:587,at_bats:523,runs:81,hits:154,doubles:25,triples:2,home_runs:16,runs_batted_in:59,stolen_bases:21,caught_stealing:2,walks:59,strikeouts:79,batting_avg:.294,onbase:.367,slugging:.442,ops:erc">.442,ops+:lugging">.809,bases:231,double_plays:11,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:4
pos:SS,name:Shawon Dunston,age:24,games:95,plate_appearances:359,at_bats:346,runs:40,hits:85,doubles:18,triples:3,home_runs:5,runs_batted_in:22,stolen_bases:12,caught_stealing:3,walks:10,strikeouts:68,batting_avg:.246,onbase:.267,slugging:.358,ops:erc">.358,ops+:lugging">.626,bases:124,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:3B,name:Keith Moreland,age:33,games:153,plate_appearances:614,at_bats:563,runs:63,hits:150,doubles:29,triples:1,home_runs:27,runs_batted_in:88,stolen_bases:3,caught_stealing:3,walks:39,strikeouts:66,batting_avg:.266,onbase:.309,slugging:.465,ops:erc">.465,ops+:lugging">.775,bases:262,double_plays:15,hit_by_pitch:0,sac_hits:3,sac_flies:9,intentional_walks:4
pos:LF,name:Jerry Mumphrey,age:34,games:118,plate_appearances:346,at_bats:309,runs:41,hits:103,doubles:19,triples:2,home_runs:13,runs_batted_in:44,stolen_bases:1,caught_stealing:1,walks:35,strikeouts:47,batting_avg:.333,onbase:.400,slugging:.534,ops:erc">.534,ops+:lugging">.934,bases:165,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:6
pos:CF,name:Dave Martinez,age:22,games:142,plate_appearances:520,at_bats:459,runs:70,hits:134,doubles:18,triples:8,home_runs:8,runs_batted_in:36,stolen_bases:16,caught_stealing:8,walks:57,strikeouts:96,batting_avg:.292,onbase:.372,slugging:.418,ops:erc">.418,ops+:lugging">.790,bases:192,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:4
pos:RF,name:Andre Dawson,age:32,games:153,plate_appearances:662,at_bats:621,runs:90,hits:178,doubles:24,triples:2,home_runs:49,runs_batted_in:137,stolen_bases:11,caught_stealing:3,walks:32,strikeouts:103,batting_avg:.287,onbase:.328,slugging:.568,ops:erc">.568,ops+:lugging">.896,bases:353,double_plays:15,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:7
pos:LF,name:Rafael Palmeiro,age:22,games:84,plate_appearances:244,at_bats:221,runs:32,hits:61,doubles:15,triples:1,home_runs:14,runs_batted_in:30,stolen_bases:2,caught_stealing:2,walks:20,strikeouts:26,batting_avg:.276,onbase:.336,slugging:.543,ops:erc">.543,ops+:lugging">.879,bases:120,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:1B,name:Manny Trillo,age:36,games:108,plate_appearances:244,at_bats:214,runs:27,hits:63,doubles:8,triples:0,home_runs:8,runs_batted_in:26,stolen_bases:0,caught_stealing:3,walks:25,strikeouts:37,batting_avg:.294,onbase:.367,slugging:.444,ops:erc">.444,ops+:lugging">.811,bases:95,double_plays:6,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:0
pos:CF,name:Bob Dernier,age:30,games:93,plate_appearances:220,at_bats:199,runs:38,hits:63,doubles:4,triples:4,home_runs:8,runs_batted_in:21,stolen_bases:16,caught_stealing:7,walks:19,strikeouts:19,batting_avg:.317,onbase:.379,slugging:.497,ops:erc">.497,ops+:lugging">.876,bases:99,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
