pos:CF,name:Tuffy Rhodes,age:24,games:15,plate_appearances:63,at_bats:52,runs:12,hits:15,doubles:2,triples:1,home_runs:3,runs_batted_in:7,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:9,batting_avg:.288,onbase:.413,slugging:.538,ops:erc">.538,ops+:lugging">.951,bases:28,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Doug Jennings,age:28,games:42,plate_appearances:57,at_bats:52,runs:8,hits:13,doubles:3,triples:1,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:10,batting_avg:.250,onbase:.316,slugging:.462,ops:erc">.462,ops+:lugging">.777,bases:24,double_plays:0,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Tommy Shields,age:28,games:20,plate_appearances:36,at_bats:34,runs:4,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.176,onbase:.222,slugging:.206,ops:erc">.206,ops+:lugging">.428,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Matt Walbeck,age:23,games:11,plate_appearances:31,at_bats:30,runs:2,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.200,onbase:.226,slugging:.367,ops:erc">.367,ops+:lugging">.592,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Eddie Zambrano,age:27,games:8,plate_appearances:18,at_bats:17,runs:1,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.294,onbase:.333,slugging:.294,ops:erc">.294,ops+:lugging">.627,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Shawon Dunston,age:30,games:7,plate_appearances:10,at_bats:10,runs:3,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.400,onbase:.400,slugging:.600,ops:erc">.600,ops+:lugging">1.000,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jose Guzman,age:30,games:30,plate_appearances:73,at_bats:63,runs:1,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:15,batting_avg:.111,onbase:.125,slugging:.111,ops:erc">.111,ops+:lugging">.236,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:P,name:Mike Morgan,age:33,games:32,plate_appearances:73,at_bats:66,runs:1,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.061,onbase:.088,slugging:.091,ops:erc">.091,ops+:lugging">.179,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Greg Hibbard,age:28,games:32,plate_appearances:70,at_bats:65,runs:4,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:17,batting_avg:.092,onbase:.119,slugging:.108,ops:erc">.108,ops+:lugging">.227,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Mike Harkey,age:26,games:28,plate_appearances:60,at_bats:54,runs:0,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:18,batting_avg:.093,onbase:.109,slugging:.111,ops:erc">.111,ops+:lugging">.220,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Frank Castillo,age:24,games:29,plate_appearances:52,at_bats:43,runs:1,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.163,onbase:.182,slugging:.163,ops:erc">.163,ops+:lugging">.345,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Jose Bautista,age:28,games:60,plate_appearances:23,at_bats:21,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.190,onbase:.190,slugging:.190,ops:erc">.190,ops+:lugging">.381,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Shawn Boskie,age:26,games:39,plate_appearances:11,at_bats:11,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Trachsel,age:22,games:3,plate_appearances:7,at_bats:6,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.167,onbase:.286,slugging:.167,ops:erc">.167,ops+:lugging">.452,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Turk Wendell,age:26,games:7,plate_appearances:7,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Chuck McElroy,age:25,games:49,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Randy Myers,age:30,games:74,plate_appearances:4,at_bats:2,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.500,onbase:.667,slugging:1.000,ops:erc">1.000,ops+:lugging">1.667,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Bob Scanlan,age:26,games:70,plate_appearances:4,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.333,slugging:.500,ops:erc">.500,ops+:lugging">.833,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:P,name:William Brennan,age:30,games:8,plate_appearances:3,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Paul Assenmacher,age:32,games:46,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Heathcliff Slocumb,age:27,games:10,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Plesac,age:31,games:57,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Bullinger,age:27,games:15,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
