pos:1B,name:Pat Bourque,age:25,games:11,plate_appearances:29,at_bats:27,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.259,onbase:.310,slugging:.296,ops:erc">.296,ops+:lugging">.607,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Tommy Davis,age:33,games:15,plate_appearances:28,at_bats:26,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:3,batting_avg:.269,onbase:.321,slugging:.308,ops:erc">.308,ops+:lugging">.629,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Art Shamsky,age:30,games:15,plate_appearances:19,at_bats:16,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:3,batting_avg:.125,onbase:.263,slugging:.125,ops:erc">.125,ops+:lugging">.388,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Dave Rosello,age:22,games:5,plate_appearances:15,at_bats:12,runs:2,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:2,batting_avg:.250,onbase:.400,slugging:.500,ops:erc">.500,ops+:lugging">.900,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Al Montreuil,age:28,games:5,plate_appearances:13,at_bats:11,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.091,onbase:.167,slugging:.091,ops:erc">.091,ops+:lugging">.258,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jim Tyrone,age:23,games:13,plate_appearances:8,at_bats:8,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Pete LaCock,age:20,games:5,plate_appearances:7,at_bats:6,runs:3,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.429,slugging:.500,ops:erc">.500,ops+:lugging">.929,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Frank Fernandez,age:29,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Frank Coggins,age:28,games:6,plate_appearances:2,at_bats:1,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.000,onbase:.500,slugging:.000,ops:erc">.000,ops+:lugging">.500,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Chris Ward,age:23,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Fergie Jenkins,age:29,games:36,plate_appearances:117,at_bats:109,runs:8,hits:20,doubles:1,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:34,batting_avg:.183,onbase:.219,slugging:.239,ops:erc">.239,ops+:lugging">.458,bases:26,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Burt Hooton,age:22,games:33,plate_appearances:81,at_bats:72,runs:4,hits:9,doubles:1,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:37,batting_avg:.125,onbase:.171,slugging:.181,ops:erc">.181,ops+:lugging">.352,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Milt Pappas,age:33,games:29,plate_appearances:76,at_bats:68,runs:5,hits:13,doubles:1,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:33,batting_avg:.191,onbase:.236,slugging:.250,ops:erc">.250,ops+:lugging">.486,bases:17,double_plays:0,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Bill Hands,age:32,games:32,plate_appearances:66,at_bats:57,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:30,batting_avg:.018,onbase:.097,slugging:.018,ops:erc">.018,ops+:lugging">.114,bases:1,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Rick Reuschel,age:23,games:21,plate_appearances:52,at_bats:44,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:15,batting_avg:.136,onbase:.174,slugging:.159,ops:erc">.159,ops+:lugging">.333,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Juan Pizarro,age:35,games:16,plate_appearances:22,at_bats:21,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.143,onbase:.182,slugging:.143,ops:erc">.143,ops+:lugging">.325,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Bonham,age:23,games:19,plate_appearances:19,at_bats:14,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.286,onbase:.375,slugging:.286,ops:erc">.286,ops+:lugging">.661,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Tom Phoebus,age:30,games:38,plate_appearances:16,at_bats:15,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.133,onbase:.133,slugging:.133,ops:erc">.133,ops+:lugging">.267,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Dan McGinn,age:28,games:43,plate_appearances:8,at_bats:8,runs:0,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.500,ops:erc">.500,ops+:lugging">.750,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jack Aker,age:31,games:48,plate_appearances:7,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.000,onbase:.143,slugging:.000,ops:erc">.000,ops+:lugging">.143,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Decker,age:25,games:5,plate_appearances:5,at_bats:2,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Larry Gura,age:24,games:7,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Hamilton,age:37,games:22,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Phil Regan,age:35,games:5,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Clint Compton,age:21,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
