pos:SS,name:Hector Torres,age:25,games:31,plate_appearances:63,at_bats:58,runs:4,hits:13,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:10,batting_avg:.224,onbase:.274,slugging:.276,ops:erc">.276,ops+:lugging">.550,bases:16,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Frank Fernandez,age:28,games:17,plate_appearances:58,at_bats:41,runs:11,hits:7,doubles:1,triples:0,home_runs:4,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:15,batting_avg:.171,onbase:.414,slugging:.488,ops:erc">.488,ops+:lugging">.902,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Carmen Fanzone,age:29,games:12,plate_appearances:45,at_bats:43,runs:5,hits:8,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.186,onbase:.222,slugging:.372,ops:erc">.372,ops+:lugging">.594,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Pat Bourque,age:24,games:14,plate_appearances:41,at_bats:37,runs:3,hits:7,doubles:0,triples:1,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.189,onbase:.250,slugging:.324,ops:erc">.324,ops+:lugging">.574,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Hal Breeden,age:27,games:23,plate_appearances:39,at_bats:36,runs:1,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.139,onbase:.184,slugging:.250,ops:erc">.250,ops+:lugging">.434,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Gene Hiser,age:22,games:17,plate_appearances:34,at_bats:29,runs:4,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:8,batting_avg:.207,onbase:.303,slugging:.207,ops:erc">.207,ops+:lugging">.510,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:RF,name:Bill North,age:23,games:8,plate_appearances:21,at_bats:16,runs:3,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:6,batting_avg:.375,onbase:.524,slugging:.375,ops:erc">.375,ops+:lugging">.899,bases:6,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Randy Hundley,age:29,games:9,plate_appearances:21,at_bats:21,runs:1,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.333,onbase:.333,slugging:.381,ops:erc">.381,ops+:lugging">.714,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Ramon Webster,age:28,games:16,plate_appearances:17,at_bats:16,runs:1,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.313,onbase:.353,slugging:.438,ops:erc">.438,ops+:lugging">.790,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Al Spangler,age:37,games:5,plate_appearances:5,at_bats:5,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.400,onbase:.400,slugging:.400,ops:erc">.400,ops+:lugging">.800,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Garry Jestadt,age:24,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Fergie Jenkins,age:28,games:39,plate_appearances:132,at_bats:115,runs:13,hits:28,doubles:7,triples:1,home_runs:6,runs_batted_in:20,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:40,batting_avg:.243,onbase:.282,slugging:.478,ops:erc">.478,ops+:lugging">.761,bases:55,double_plays:2,hit_by_pitch:0,sac_hits:8,sac_flies:2,intentional_walks:0
pos:P,name:Milt Pappas,age:32,games:35,plate_appearances:99,at_bats:91,runs:6,hits:14,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:30,batting_avg:.154,onbase:.206,slugging:.176,ops:erc">.176,ops+:lugging">.382,bases:16,double_plays:3,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:0
