pos:C,name:Josh Thole,age:27,games:57,plate_appearances:150,at_bats:133,runs:11,hits:33,doubles:4,triples:0,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:3,walks:14,strikeouts:25,batting_avg:.248,onbase:.320,slugging:.278,ops:erc">.278,ops+:lugging">.598,bases:37,double_plays:4,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:OF,name:Kevin Pillar,age:25,games:53,plate_appearances:122,at_bats:116,runs:19,hits:31,doubles:9,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:1,caught_stealing:2,walks:4,strikeouts:28,batting_avg:.267,onbase:.295,slugging:.397,ops:erc">.397,ops+:lugging">.692,bases:46,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Erik Kratz,age:34,games:34,plate_appearances:84,at_bats:81,runs:8,hits:16,doubles:3,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:12,batting_avg:.198,onbase:.226,slugging:.346,ops:erc">.346,ops+:lugging">.572,bases:28,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Nolan Reimold,age:30,games:22,plate_appearances:60,at_bats:52,runs:3,hits:11,doubles:4,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:22,batting_avg:.212,onbase:.283,slugging:.404,ops:erc">.404,ops+:lugging">.687,bases:21,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:1B,name:Dan Johnson,age:34,games:15,plate_appearances:48,at_bats:38,runs:8,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:10,batting_avg:.211,onbase:.333,slugging:.342,ops:erc">.342,ops+:lugging">.675,bases:13,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:MI,name:Jonathan Diaz,age:29,games:23,plate_appearances:45,at_bats:38,runs:3,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.158,onbase:.256,slugging:.184,ops:erc">.184,ops+:lugging">.440,bases:7,double_plays:1,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Dalton Pompey,age:21,games:17,plate_appearances:43,at_bats:39,runs:5,hits:9,doubles:1,triples:2,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:12,batting_avg:.231,onbase:.302,slugging:.436,ops:erc">.436,ops+:lugging">.738,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Maicer Izturis,age:33,games:11,plate_appearances:38,at_bats:35,runs:3,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.286,onbase:.324,slugging:.314,ops:erc">.314,ops+:lugging">.639,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Moises Sierra,age:25,games:13,plate_appearances:35,at_bats:34,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.059,onbase:.086,slugging:.059,ops:erc">.059,ops+:lugging">.145,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Darin Mastroianni,age:28,games:14,plate_appearances:32,at_bats:32,runs:4,hits:5,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.156,onbase:.156,slugging:.250,ops:erc">.250,ops+:lugging">.406,bases:8,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:John Mayberry,age:30,games:15,plate_appearances:30,at_bats:24,runs:4,hits:5,doubles:3,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:5,batting_avg:.208,onbase:.333,slugging:.458,ops:erc">.458,ops+:lugging">.792,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
