pos:IF,name:Adeiny Hechavarria,age:23,games:41,plate_appearances:137,at_bats:126,runs:10,hits:32,doubles:8,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:32,batting_avg:.254,onbase:.280,slugging:.365,ops:erc">.365,ops+:lugging">.645,bases:46,double_plays:2,hit_by_pitch:1,sac_hits:5,sac_flies:1,intentional_walks:0
pos:UT,name:Yan Gomes,age:24,games:43,plate_appearances:111,at_bats:98,runs:9,hits:20,doubles:4,triples:0,home_runs:4,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:32,batting_avg:.204,onbase:.264,slugging:.367,ops:erc">.367,ops+:lugging">.631,bases:36,double_plays:3,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:0
pos:UT,name:Mike McCoy,age:31,games:32,plate_appearances:56,at_bats:52,runs:10,hits:9,doubles:1,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:2,caught_stealing:1,walks:4,strikeouts:6,batting_avg:.173,onbase:.232,slugging:.250,ops:erc">.250,ops+:lugging">.482,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Ben Francisco,age:30,games:27,plate_appearances:54,at_bats:50,runs:5,hits:12,doubles:5,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:10,batting_avg:.240,onbase:.296,slugging:.380,ops:erc">.380,ops+:lugging">.676,bases:19,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Travis Snider,age:24,games:10,plate_appearances:40,at_bats:36,runs:6,hits:9,doubles:2,triples:0,home_runs:3,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:14,batting_avg:.250,onbase:.300,slugging:.556,ops:erc">.556,ops+:lugging">.856,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Yorvit Torrealba,age:33,games:10,plate_appearances:30,at_bats:28,runs:3,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.214,onbase:.267,slugging:.321,ops:erc">.321,ops+:lugging">.588,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ricky Romero,age:27,games:2,plate_appearances:5,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Chavez,age:28,games:2,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Drew Hutchison,age:21,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Brett Cecil,age:25,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
