pos:C,name:Ernie Whitt,age:34,games:131,plate_appearances:433,at_bats:395,runs:48,hits:106,doubles:19,triples:2,home_runs:16,runs_batted_in:56,stolen_bases:0,caught_stealing:1,walks:35,strikeouts:39,batting_avg:.268,onbase:.326,slugging:.448,ops:erc">.448,ops+:lugging">.774,bases:177,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:3
pos:1B,name:Willie Upshaw,age:29,games:155,plate_appearances:661,at_bats:573,runs:85,hits:144,doubles:28,triples:6,home_runs:9,runs_batted_in:60,stolen_bases:23,caught_stealing:5,walks:78,strikeouts:87,batting_avg:.251,onbase:.341,slugging:.368,ops:erc">.368,ops+:lugging">.709,bases:211,double_plays:5,hit_by_pitch:2,sac_hits:4,sac_flies:4,intentional_walks:4
pos:2B,name:Damaso Garcia,age:29,games:122,plate_appearances:446,at_bats:424,runs:57,hits:119,doubles:22,triples:0,home_runs:6,runs_batted_in:46,stolen_bases:9,caught_stealing:6,walks:13,strikeouts:32,batting_avg:.281,onbase:.306,slugging:.375,ops:erc">.375,ops+:lugging">.681,bases:159,double_plays:14,hit_by_pitch:4,sac_hits:2,sac_flies:3,intentional_walks:0
pos:SS,name:Tony Fernandez,age:24,games:163,plate_appearances:727,at_bats:687,runs:91,hits:213,doubles:33,triples:9,home_runs:10,runs_batted_in:65,stolen_bases:25,caught_stealing:12,walks:27,strikeouts:52,batting_avg:.310,onbase:.338,slugging:.428,ops:erc">.428,ops+:lugging">.766,bases:294,double_plays:8,hit_by_pitch:4,sac_hits:5,sac_flies:4,intentional_walks:0
pos:3B,name:Rance Mulliniks,age:30,games:117,plate_appearances:395,at_bats:348,runs:50,hits:90,doubles:22,triples:0,home_runs:11,runs_batted_in:45,stolen_bases:1,caught_stealing:1,walks:43,strikeouts:60,batting_avg:.259,onbase:.340,slugging:.417,ops:erc">.417,ops+:lugging">.757,bases:145,double_plays:12,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:LF,name:George Bell,age:26,games:159,plate_appearances:690,at_bats:641,runs:101,hits:198,doubles:38,triples:6,home_runs:31,runs_batted_in:108,stolen_bases:7,caught_stealing:8,walks:41,strikeouts:62,batting_avg:.309,onbase:.349,slugging:.532,ops:erc">.532,ops+:lugging">.881,bases:341,double_plays:15,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:3
pos:CF,name:Lloyd Moseby,age:26,games:152,plate_appearances:668,at_bats:589,runs:89,hits:149,doubles:24,triples:5,home_runs:21,runs_batted_in:86,stolen_bases:32,caught_stealing:11,walks:64,strikeouts:122,batting_avg:.253,onbase:.329,slugging:.418,ops:erc">.418,ops+:lugging">.746,bases:246,double_plays:7,hit_by_pitch:6,sac_hits:2,sac_flies:7,intentional_walks:3
pos:RF,name:Jesse Barfield,age:26,games:158,plate_appearances:671,at_bats:589,runs:107,hits:170,doubles:35,triples:2,home_runs:40,runs_batted_in:108,stolen_bases:8,caught_stealing:8,walks:69,strikeouts:146,batting_avg:.289,onbase:.368,slugging:.559,ops:erc">.559,ops+:lugging">.927,bases:329,double_plays:9,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:5
pos:DH,name:Cliff Johnson,age:38,games:107,plate_appearances:394,at_bats:336,runs:48,hits:84,doubles:12,triples:1,home_runs:15,runs_batted_in:55,stolen_bases:0,caught_stealing:1,walks:52,strikeouts:57,batting_avg:.250,onbase:.355,slugging:.426,ops:erc">.426,ops+:lugging">.781,bases:143,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:1
pos:IF,name:Garth Iorg,age:31,games:137,plate_appearances:351,at_bats:327,runs:30,hits:85,doubles:19,triples:1,home_runs:3,runs_batted_in:44,stolen_bases:3,caught_stealing:0,walks:20,strikeouts:47,batting_avg:.260,onbase:.303,slugging:.352,ops:erc">.352,ops+:lugging">.655,bases:115,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:DH,name:Rick Leach,age:29,games:110,plate_appearances:266,at_bats:246,runs:35,hits:76,doubles:14,triples:1,home_runs:5,runs_batted_in:39,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:24,batting_avg:.309,onbase:.335,slugging:.435,ops:erc">.435,ops+:lugging">.770,bases:107,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:7,intentional_walks:3
pos:C,name:Buck Martinez,age:37,games:81,plate_appearances:185,at_bats:160,runs:13,hits:29,doubles:8,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:25,batting_avg:.181,onbase:.271,slugging:.269,ops:erc">.269,ops+:lugging">.539,bases:43,double_plays:5,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:0
pos:3B,name:Kelly Gruber,age:24,games:87,plate_appearances:152,at_bats:143,runs:20,hits:28,doubles:4,triples:1,home_runs:5,runs_batted_in:15,stolen_bases:2,caught_stealing:5,walks:5,strikeouts:27,batting_avg:.196,onbase:.220,slugging:.343,ops:erc">.343,ops+:lugging">.563,bases:49,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:0
pos:DH,name:Cecil Fielder,age:22,games:34,plate_appearances:90,at_bats:83,runs:7,hits:13,doubles:2,triples:0,home_runs:4,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:27,batting_avg:.157,onbase:.222,slugging:.325,ops:erc">.325,ops+:lugging">.548,bases:27,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Manuel Lee,age:21,games:35,plate_appearances:85,at_bats:78,runs:8,hits:16,doubles:0,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:10,batting_avg:.205,onbase:.241,slugging:.269,ops:erc">.269,ops+:lugging">.510,bases:21,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:DH,name:Ron Shepherd,age:25,games:65,plate_appearances:73,at_bats:69,runs:16,hits:14,doubles:4,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:22,batting_avg:.203,onbase:.236,slugging:.348,ops:erc">.348,ops+:lugging">.584,bases:24,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Jeff Hearron,age:24,games:12,plate_appearances:26,at_bats:23,runs:2,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.217,onbase:.308,slugging:.261,ops:erc">.261,ops+:lugging">.569,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Fred McGriff,age:22,games:3,plate_appearances:5,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Doyle Alexander,age:35,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Eichhorn,age:25,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Davis,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Stan Clarke,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Cerutti,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Luis Aquino,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Duane Ward,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Gordon,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Acker,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Musselman,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Stieb,age:28,games:1,plate_appearances:0,at_bats:0,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mickey Mahler,age:33,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Clancy,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
