pos:OF,name:Ty Gainey,age:24,games:13,plate_appearances:42,at_bats:37,runs:5,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:9,batting_avg:.162,onbase:.244,slugging:.162,ops:erc">.162,ops+:lugging">.406,bases:6,double_plays:0,hit_by_pitch:2,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:John Mizerock,age:24,games:15,plate_appearances:41,at_bats:38,runs:6,hits:9,doubles:4,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:8,batting_avg:.237,onbase:.293,slugging:.342,ops:erc">.342,ops+:lugging">.635,bases:13,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:German Rivera,age:24,games:13,plate_appearances:41,at_bats:36,runs:3,hits:7,doubles:2,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:8,batting_avg:.194,onbase:.275,slugging:.306,ops:erc">.306,ops+:lugging">.581,bases:11,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:IF,name:Bert Pena,age:25,games:20,plate_appearances:32,at_bats:29,runs:7,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.276,onbase:.290,slugging:.345,ops:erc">.345,ops+:lugging">.635,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Chris Jones,age:27,games:31,plate_appearances:28,at_bats:25,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.200,onbase:.286,slugging:.200,ops:erc">.200,ops+:lugging">.486,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Eric Bullock,age:25,games:18,plate_appearances:26,at_bats:25,runs:3,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:3,batting_avg:.280,onbase:.308,slugging:.360,ops:erc">.360,ops+:lugging">.668,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Knepper,age:31,games:38,plate_appearances:88,at_bats:78,runs:5,hits:11,doubles:1,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:38,batting_avg:.141,onbase:.163,slugging:.192,ops:erc">.192,ops+:lugging">.355,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Nolan Ryan,age:38,games:35,plate_appearances:82,at_bats:63,runs:2,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:21,batting_avg:.111,onbase:.162,slugging:.143,ops:erc">.143,ops+:lugging">.305,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:14,sac_flies:1,intentional_walks:0
pos:P,name:Mike Scott,age:30,games:36,plate_appearances:81,at_bats:72,runs:7,hits:11,doubles:3,triples:0,home_runs:1,runs_batted_in:11,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:24,batting_avg:.153,onbase:.192,slugging:.236,ops:erc">.236,ops+:lugging">.428,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:0
pos:P,name:Joe Niekro,age:40,games:32,plate_appearances:80,at_bats:68,runs:6,hits:17,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:16,batting_avg:.250,onbase:.257,slugging:.265,ops:erc">.265,ops+:lugging">.522,bases:18,double_plays:4,hit_by_pitch:0,sac_hits:10,sac_flies:1,intentional_walks:0
pos:P,name:Jeff Heathcock,age:25,games:14,plate_appearances:20,at_bats:16,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:11,batting_avg:.063,onbase:.250,slugging:.063,ops:erc">.063,ops+:lugging">.313,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ron Mathis,age:26,games:23,plate_appearances:17,at_bats:14,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.071,onbase:.133,slugging:.071,ops:erc">.071,ops+:lugging">.205,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Kerfeld,age:21,games:11,plate_appearances:16,at_bats:14,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Frank DiPino,age:28,games:54,plate_appearances:12,at_bats:12,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.167,onbase:.167,slugging:.167,ops:erc">.167,ops+:lugging">.333,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Dawley,age:27,games:49,plate_appearances:11,at_bats:10,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.200,onbase:.273,slugging:.200,ops:erc">.200,ops+:lugging">.473,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Calhoun,age:27,games:44,plate_appearances:7,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.143,slugging:.000,ops:erc">.000,ops+:lugging">.143,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:P,name:Dave Smith,age:30,games:64,plate_appearances:5,at_bats:3,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mark Knudson,age:24,games:2,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Julio Solano,age:25,games:20,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Ross,age:30,games:8,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Madden,age:28,games:13,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Deshaies,age:25,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
