pos:OF,name:Greg Gross,age:20,games:14,plate_appearances:43,at_bats:39,runs:5,hits:9,doubles:2,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:2,caught_stealing:1,walks:4,strikeouts:4,batting_avg:.231,onbase:.302,slugging:.333,ops:erc">.333,ops+:lugging">.636,bases:13,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Cliff Johnson,age:25,games:7,plate_appearances:22,at_bats:20,runs:6,hits:6,doubles:2,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.300,onbase:.364,slugging:.700,ops:erc">.700,ops+:lugging">1.064,bases:14,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ray Busse,age:24,games:15,plate_appearances:18,at_bats:17,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:12,batting_avg:.059,onbase:.111,slugging:.059,ops:erc">.059,ops+:lugging">.170,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Rafael Batista,age:27,games:12,plate_appearances:16,at_bats:15,runs:2,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.267,onbase:.313,slugging:.267,ops:erc">.267,ops+:lugging">.579,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:CI,name:Dave Campbell,age:31,games:9,plate_appearances:15,at_bats:15,runs:1,hits:4,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.267,onbase:.267,slugging:.400,ops:erc">.400,ops+:lugging">.667,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Mike Easler,age:22,games:6,plate_appearances:9,at_bats:7,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.000,onbase:.222,slugging:.000,ops:erc">.000,ops+:lugging">.222,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Otis Thornton,age:28,games:2,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Norm Miller,age:27,games:3,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jerry Reuss,age:24,games:42,plate_appearances:109,at_bats:95,runs:7,hits:13,doubles:3,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:45,batting_avg:.137,onbase:.170,slugging:.168,ops:erc">.168,ops+:lugging">.338,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:9,sac_flies:1,intentional_walks:0
pos:P,name:Dave Roberts,age:28,games:41,plate_appearances:97,at_bats:85,runs:3,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:25,batting_avg:.129,onbase:.129,slugging:.153,ops:erc">.153,ops+:lugging">.282,bases:13,double_plays:3,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
