pos:C,name:Brad Ausmus,age:29,games:128,plate_appearances:472,at_bats:412,runs:62,hits:111,doubles:10,triples:4,home_runs:6,runs_batted_in:45,stolen_bases:10,caught_stealing:3,walks:53,strikeouts:60,batting_avg:.269,onbase:.356,slugging:.357,ops:erc">.357,ops+:lugging">.713,bases:147,double_plays:18,hit_by_pitch:3,sac_hits:3,sac_flies:1,intentional_walks:11
pos:1B,name:Jeff Bagwell,age:30,games:147,plate_appearances:661,at_bats:540,runs:124,hits:164,doubles:33,triples:1,home_runs:34,runs_batted_in:111,stolen_bases:19,caught_stealing:7,walks:109,strikeouts:90,batting_avg:.304,onbase:.424,slugging:.557,ops:erc">.557,ops+:lugging">.981,bases:301,double_plays:14,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:8
pos:2B,name:Craig Biggio,age:32,games:160,plate_appearances:738,at_bats:646,runs:123,hits:210,doubles:51,triples:2,home_runs:20,runs_batted_in:88,stolen_bases:50,caught_stealing:8,walks:64,strikeouts:113,batting_avg:.325,onbase:.403,slugging:.503,ops:erc">.503,ops+:lugging">.906,bases:325,double_plays:10,hit_by_pitch:23,sac_hits:1,sac_flies:4,intentional_walks:6
pos:SS,name:Ricky Gutierrez,age:28,games:141,plate_appearances:561,at_bats:491,runs:55,hits:128,doubles:24,triples:3,home_runs:2,runs_batted_in:46,stolen_bases:13,caught_stealing:7,walks:54,strikeouts:84,batting_avg:.261,onbase:.337,slugging:.334,ops:erc">.334,ops+:lugging">.671,bases:164,double_plays:20,hit_by_pitch:6,sac_hits:3,sac_flies:7,intentional_walks:5
pos:3B,name:Bill Spiers,age:32,games:123,plate_appearances:437,at_bats:384,runs:66,hits:105,doubles:27,triples:4,home_runs:4,runs_batted_in:43,stolen_bases:11,caught_stealing:2,walks:45,strikeouts:62,batting_avg:.273,onbase:.356,slugging:.396,ops:erc">.396,ops+:lugging">.751,bases:152,double_plays:9,hit_by_pitch:5,sac_hits:1,sac_flies:2,intentional_walks:0
pos:LF,name:Moises Alou,age:31,games:159,plate_appearances:679,at_bats:584,runs:104,hits:182,doubles:34,triples:5,home_runs:38,runs_batted_in:124,stolen_bases:11,caught_stealing:3,walks:84,strikeouts:87,batting_avg:.312,onbase:.399,slugging:.582,ops:erc">.582,ops+:lugging">.981,bases:340,double_plays:14,hit_by_pitch:5,sac_hits:0,sac_flies:6,intentional_walks:11
pos:CF,name:Carl Everett,age:27,games:133,plate_appearances:519,at_bats:467,runs:72,hits:138,doubles:34,triples:4,home_runs:15,runs_batted_in:76,stolen_bases:14,caught_stealing:12,walks:44,strikeouts:102,batting_avg:.296,onbase:.359,slugging:.482,ops:erc">.482,ops+:lugging">.840,bases:225,double_plays:11,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:2
pos:RF,name:Derek Bell,age:29,games:156,plate_appearances:695,at_bats:630,runs:111,hits:198,doubles:41,triples:2,home_runs:22,runs_batted_in:108,stolen_bases:13,caught_stealing:3,walks:51,strikeouts:126,batting_avg:.314,onbase:.364,slugging:.490,ops:erc">.490,ops+:lugging">.855,bases:309,double_plays:14,hit_by_pitch:4,sac_hits:0,sac_flies:10,intentional_walks:0
pos:3B,name:Sean Berry,age:32,games:102,plate_appearances:342,at_bats:299,runs:48,hits:94,doubles:17,triples:1,home_runs:13,runs_batted_in:52,stolen_bases:3,caught_stealing:1,walks:31,strikeouts:50,batting_avg:.314,onbase:.387,slugging:.508,ops:erc">.508,ops+:lugging">.895,bases:152,double_plays:8,hit_by_pitch:7,sac_hits:1,sac_flies:4,intentional_walks:3
pos:CF,name:Richard Hidalgo,age:23,games:74,plate_appearances:234,at_bats:211,runs:31,hits:64,doubles:15,triples:0,home_runs:7,runs_batted_in:35,stolen_bases:3,caught_stealing:3,walks:17,strikeouts:37,batting_avg:.303,onbase:.355,slugging:.474,ops:erc">.474,ops+:lugging">.829,bases:100,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:0
pos:C,name:Tony Eusebio,age:31,games:66,plate_appearances:203,at_bats:182,runs:13,hits:46,doubles:6,triples:1,home_runs:1,runs_batted_in:36,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:31,batting_avg:.253,onbase:.320,slugging:.313,ops:erc">.313,ops+:lugging">.633,bases:57,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:SS,name:Tim Bogar,age:31,games:79,plate_appearances:169,at_bats:156,runs:12,hits:24,doubles:4,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:2,caught_stealing:1,walks:9,strikeouts:36,batting_avg:.154,onbase:.208,slugging:.212,ops:erc">.212,ops+:lugging">.420,bases:33,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
pos:OF,name:Dave Clark,age:35,games:93,plate_appearances:146,at_bats:131,runs:12,hits:27,doubles:7,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:45,batting_avg:.206,onbase:.288,slugging:.260,ops:erc">.260,ops+:lugging">.547,bases:34,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:J.R. Phillips,age:28,games:36,plate_appearances:65,at_bats:58,runs:4,hits:11,doubles:0,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:22,batting_avg:.190,onbase:.277,slugging:.293,ops:erc">.293,ops+:lugging">.570,bases:17,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:CI,name:Jack Howell,age:36,games:24,plate_appearances:42,at_bats:38,runs:4,hits:11,doubles:5,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:12,batting_avg:.289,onbase:.357,slugging:.500,ops:erc">.500,ops+:lugging">.857,bases:19,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Pete Incaviglia,age:34,games:13,plate_appearances:17,at_bats:16,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.125,onbase:.176,slugging:.188,ops:erc">.188,ops+:lugging">.364,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Russ Johnson,age:25,games:8,plate_appearances:15,at_bats:13,runs:2,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.231,onbase:.333,slugging:.308,ops:erc">.308,ops+:lugging">.641,bases:4,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Mitch Meluskey,age:24,games:8,plate_appearances:9,at_bats:8,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.250,onbase:.333,slugging:.375,ops:erc">.375,ops+:lugging">.708,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Ray Montgomery,age:28,games:6,plate_appearances:5,at_bats:5,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.400,onbase:.400,slugging:.400,ops:erc">.400,ops+:lugging">.800,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Daryle Ward,age:23,games:4,plate_appearances:4,at_bats:3,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.333,onbase:.500,slugging:.333,ops:erc">.333,ops+:lugging">.833,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Shane Reynolds,age:30,games:34,plate_appearances:92,at_bats:82,runs:10,hits:13,doubles:4,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:39,batting_avg:.159,onbase:.188,slugging:.207,ops:erc">.207,ops+:lugging">.396,bases:17,double_plays:0,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Jose Lima,age:25,games:32,plate_appearances:91,at_bats:79,runs:6,hits:11,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:27,batting_avg:.139,onbase:.159,slugging:.165,ops:erc">.165,ops+:lugging">.323,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:1,intentional_walks:0
pos:P,name:Mike Hampton,age:25,games:31,plate_appearances:76,at_bats:61,runs:3,hits:16,doubles:4,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:12,batting_avg:.262,onbase:.348,slugging:.328,ops:erc">.328,ops+:lugging">.676,bases:20,double_plays:2,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Sean Bergman,age:28,games:30,plate_appearances:68,at_bats:60,runs:3,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:30,batting_avg:.083,onbase:.083,slugging:.117,ops:erc">.117,ops+:lugging">.200,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Randy Johnson,age:34,games:11,plate_appearances:35,at_bats:32,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:17,batting_avg:.063,onbase:.063,slugging:.094,ops:erc">.094,ops+:lugging">.156,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
