pos:IF,name:Gary Sutherland,age:27,games:5,plate_appearances:8,at_bats:8,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Cliff Johnson,age:24,games:5,plate_appearances:6,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:0,batting_avg:.250,onbase:.500,slugging:.250,ops:erc">.250,ops+:lugging">.750,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Wilson,age:27,games:33,plate_appearances:86,at_bats:76,runs:5,hits:8,doubles:0,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:35,batting_avg:.105,onbase:.128,slugging:.132,ops:erc">.132,ops+:lugging">.260,bases:10,double_plays:2,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Larry Dierker,age:25,games:31,plate_appearances:86,at_bats:78,runs:2,hits:13,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:24,batting_avg:.167,onbase:.188,slugging:.167,ops:erc">.167,ops+:lugging">.354,bases:13,double_plays:0,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Dave Roberts,age:27,games:35,plate_appearances:79,at_bats:67,runs:7,hits:16,doubles:1,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:16,batting_avg:.239,onbase:.274,slugging:.343,ops:erc">.343,ops+:lugging">.617,bases:23,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:0
pos:P,name:Jerry Reuss,age:23,games:33,plate_appearances:72,at_bats:66,runs:5,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:40,batting_avg:.106,onbase:.169,slugging:.136,ops:erc">.136,ops+:lugging">.305,bases:9,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ken Forsch,age:25,games:30,plate_appearances:49,at_bats:41,runs:2,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:21,batting_avg:.146,onbase:.167,slugging:.146,ops:erc">.146,ops+:lugging">.313,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Tom Griffin,age:24,games:39,plate_appearances:28,at_bats:25,runs:3,hits:7,doubles:3,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.280,onbase:.280,slugging:.520,ops:erc">.520,ops+:lugging">.800,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:George Culver,age:28,games:45,plate_appearances:22,at_bats:19,runs:3,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:10,batting_avg:.158,onbase:.200,slugging:.211,ops:erc">.211,ops+:lugging">.411,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jim Ray,age:27,games:54,plate_appearances:17,at_bats:16,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.063,onbase:.063,slugging:.063,ops:erc">.063,ops+:lugging">.125,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Fred Gladding,age:36,games:42,plate_appearances:7,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:P,name:Mike Cosgrove,age:21,games:7,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jim York,age:24,games:26,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:J.R. Richard,age:22,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wade Blasingame,age:28,games:10,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Gibbon,age:37,games:9,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
