pos:OF,name:Curt Ford,age:28,games:108,plate_appearances:161,at_bats:142,runs:13,hits:31,doubles:5,triples:1,home_runs:1,runs_batted_in:13,stolen_bases:5,caught_stealing:3,walks:16,strikeouts:33,batting_avg:.218,onbase:.298,slugging:.289,ops:erc">.289,ops+:lugging">.587,bases:41,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Ron Jones,age:25,games:12,plate_appearances:40,at_bats:31,runs:7,hits:9,doubles:0,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:1,batting_avg:.290,onbase:.450,slugging:.484,ops:erc">.484,ops+:lugging">.934,bases:15,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Mark Ryal,age:28,games:29,plate_appearances:34,at_bats:33,runs:2,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.242,onbase:.265,slugging:.303,ops:erc">.303,ops+:lugging">.568,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Tom Barrett,age:29,games:14,plate_appearances:31,at_bats:27,runs:3,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.222,onbase:.250,slugging:.222,ops:erc">.222,ops+:lugging">.472,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:C,name:Tom Nieto,age:28,games:11,plate_appearances:27,at_bats:20,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:7,batting_avg:.150,onbase:.370,slugging:.150,ops:erc">.150,ops+:lugging">.520,bases:3,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Jim Adduci,age:29,games:13,plate_appearances:19,at_bats:19,runs:1,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.368,onbase:.368,slugging:.421,ops:erc">.421,ops+:lugging">.789,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Keith Miller,age:26,games:8,plate_appearances:10,at_bats:10,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.300,onbase:.300,slugging:.400,ops:erc">.400,ops+:lugging">.700,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Steve Stanicek,age:28,games:9,plate_appearances:9,at_bats:9,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.111,onbase:.111,slugging:.111,ops:erc">.111,ops+:lugging">.222,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Eric Bullock,age:29,games:6,plate_appearances:4,at_bats:4,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Al Pardo,age:26,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ken Howell,age:28,games:33,plate_appearances:78,at_bats:65,runs:0,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:25,batting_avg:.092,onbase:.132,slugging:.123,ops:erc">.123,ops+:lugging">.255,bases:8,double_plays:3,hit_by_pitch:1,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Bruce Ruffin,age:25,games:24,plate_appearances:41,at_bats:34,runs:1,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:15,batting_avg:.176,onbase:.300,slugging:.206,ops:erc">.206,ops+:lugging">.506,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Don Carman,age:29,games:49,plate_appearances:41,at_bats:34,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.029,onbase:.029,slugging:.029,ops:erc">.029,ops+:lugging">.059,bases:1,double_plays:2,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Dennis Cook,age:26,games:22,plate_appearances:38,at_bats:36,runs:3,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.222,onbase:.222,slugging:.250,ops:erc">.250,ops+:lugging">.472,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
