pos:C,name:Mike Lieberthal,age:34,games:67,plate_appearances:230,at_bats:209,runs:22,hits:57,doubles:14,triples:0,home_runs:9,runs_batted_in:36,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:19,batting_avg:.273,onbase:.316,slugging:.469,ops:erc">.469,ops+:lugging">.784,bases:98,double_plays:5,hit_by_pitch:6,sac_hits:5,sac_flies:2,intentional_walks:0
pos:1B,name:Ryan Howard,age:26,games:159,plate_appearances:704,at_bats:581,runs:104,hits:182,doubles:25,triples:1,home_runs:58,runs_batted_in:149,stolen_bases:0,caught_stealing:0,walks:108,strikeouts:181,batting_avg:.313,onbase:.425,slugging:.659,ops:erc">.659,ops+:lugging">1.084,bases:383,double_plays:7,hit_by_pitch:9,sac_hits:0,sac_flies:6,intentional_walks:37
pos:2B,name:Chase Utley,age:27,games:160,plate_appearances:739,at_bats:658,runs:131,hits:203,doubles:40,triples:4,home_runs:32,runs_batted_in:102,stolen_bases:15,caught_stealing:4,walks:63,strikeouts:132,batting_avg:.309,onbase:.379,slugging:.527,ops:erc">.527,ops+:lugging">.906,bases:347,double_plays:9,hit_by_pitch:14,sac_hits:0,sac_flies:4,intentional_walks:1
pos:SS,name:Jimmy Rollins,age:27,games:158,plate_appearances:758,at_bats:689,runs:127,hits:191,doubles:45,triples:9,home_runs:25,runs_batted_in:83,stolen_bases:36,caught_stealing:4,walks:57,strikeouts:80,batting_avg:.277,onbase:.334,slugging:.478,ops:erc">.478,ops+:lugging">.811,bases:329,double_plays:12,hit_by_pitch:5,sac_hits:0,sac_flies:7,intentional_walks:2
pos:3B,name:David Bell,age:33,games:92,plate_appearances:365,at_bats:324,runs:39,hits:90,doubles:17,triples:2,home_runs:6,runs_batted_in:34,stolen_bases:1,caught_stealing:0,walks:32,strikeouts:38,batting_avg:.278,onbase:.345,slugging:.398,ops:erc">.398,ops+:lugging">.743,bases:129,double_plays:11,hit_by_pitch:3,sac_hits:3,sac_flies:3,intentional_walks:2
pos:LF,name:Pat Burrell,age:29,games:144,plate_appearances:567,at_bats:462,runs:80,hits:119,doubles:24,triples:1,home_runs:29,runs_batted_in:95,stolen_bases:0,caught_stealing:0,walks:98,strikeouts:131,batting_avg:.258,onbase:.388,slugging:.502,ops:erc">.502,ops+:lugging">.890,bases:232,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:5
pos:CF,name:Aaron Rowand,age:28,games:109,plate_appearances:445,at_bats:405,runs:59,hits:106,doubles:24,triples:3,home_runs:12,runs_batted_in:47,stolen_bases:10,caught_stealing:4,walks:18,strikeouts:76,batting_avg:.262,onbase:.321,slugging:.425,ops:erc">.425,ops+:lugging">.745,bases:172,double_plays:13,hit_by_pitch:18,sac_hits:2,sac_flies:2,intentional_walks:2
pos:RF,name:Bobby Abreu,age:32,games:98,plate_appearances:438,at_bats:339,runs:61,hits:94,doubles:25,triples:2,home_runs:8,runs_batted_in:65,stolen_bases:20,caught_stealing:4,walks:91,strikeouts:86,batting_avg:.277,onbase:.427,slugging:.434,ops:erc">.434,ops+:lugging">.861,bases:147,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:5
pos:OF,name:Shane Victorino,age:25,games:153,plate_appearances:462,at_bats:415,runs:70,hits:119,doubles:19,triples:8,home_runs:6,runs_batted_in:46,stolen_bases:4,caught_stealing:3,walks:24,strikeouts:54,batting_avg:.287,onbase:.346,slugging:.414,ops:erc">.414,ops+:lugging">.760,bases:172,double_plays:5,hit_by_pitch:14,sac_hits:8,sac_flies:1,intentional_walks:0
pos:3B,name:Abraham Nunez,age:30,games:123,plate_appearances:369,at_bats:322,runs:42,hits:68,doubles:10,triples:2,home_runs:2,runs_batted_in:32,stolen_bases:1,caught_stealing:0,walks:41,strikeouts:58,batting_avg:.211,onbase:.303,slugging:.273,ops:erc">.273,ops+:lugging">.577,bases:88,double_plays:7,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:8
pos:OF,name:David Dellucci,age:32,games:132,plate_appearances:301,at_bats:264,runs:41,hits:77,doubles:14,triples:5,home_runs:13,runs_batted_in:39,stolen_bases:1,caught_stealing:3,walks:28,strikeouts:62,batting_avg:.292,onbase:.369,slugging:.530,ops:erc">.530,ops+:lugging">.899,bases:140,double_plays:1,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:0
pos:C,name:Chris Coste,age:33,games:65,plate_appearances:213,at_bats:198,runs:25,hits:65,doubles:14,triples:0,home_runs:7,runs_batted_in:32,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:31,batting_avg:.328,onbase:.376,slugging:.505,ops:erc">.505,ops+:lugging">.881,bases:100,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Sal Fasano,age:34,games:50,plate_appearances:149,at_bats:140,runs:9,hits:34,doubles:8,triples:0,home_runs:4,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:47,batting_avg:.243,onbase:.284,slugging:.386,ops:erc">.386,ops+:lugging">.669,bases:54,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:0
pos:RF,name:Jeff Conine,age:40,games:28,plate_appearances:107,at_bats:100,runs:11,hits:28,doubles:6,triples:1,home_runs:1,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.280,onbase:.327,slugging:.390,ops:erc">.390,ops+:lugging">.717,bases:39,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:2
pos:C,name:Carlos Ruiz,age:27,games:27,plate_appearances:78,at_bats:69,runs:5,hits:18,doubles:1,triples:1,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:8,batting_avg:.261,onbase:.316,slugging:.435,ops:erc">.435,ops+:lugging">.751,bases:30,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:2
pos:MI,name:Danny Sandoval,age:27,games:28,plate_appearances:43,at_bats:38,runs:1,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:3,batting_avg:.211,onbase:.279,slugging:.237,ops:erc">.237,ops+:lugging">.516,bases:9,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Chris Roberson,age:26,games:57,plate_appearances:43,at_bats:41,runs:9,hits:8,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:3,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.195,onbase:.214,slugging:.244,ops:erc">.244,ops+:lugging">.458,bases:10,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Alex Gonzalez,age:33,games:20,plate_appearances:38,at_bats:36,runs:4,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:10,batting_avg:.111,onbase:.158,slugging:.111,ops:erc">.111,ops+:lugging">.269,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Jose Hernandez,age:36,games:18,plate_appearances:34,at_bats:32,runs:4,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.250,onbase:.273,slugging:.406,ops:erc">.406,ops+:lugging">.679,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos: ,name:Randall Simon,age:31,games:23,plate_appearances:23,at_bats:21,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.238,onbase:.304,slugging:.238,ops:erc">.238,ops+:lugging">.542,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Joe Thurston,age:26,games:18,plate_appearances:20,at_bats:18,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.222,onbase:.300,slugging:.278,ops:erc">.278,ops+:lugging">.578,bases:5,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Michael Bourn,age:23,games:17,plate_appearances:11,at_bats:8,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:2,walks:1,strikeouts:3,batting_avg:.125,onbase:.222,slugging:.125,ops:erc">.125,ops+:lugging">.347,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
