pos:C,name:Carlos Ruiz,age:29,games:117,plate_appearances:373,at_bats:320,runs:47,hits:70,doubles:14,triples:0,home_runs:4,runs_batted_in:31,stolen_bases:1,caught_stealing:2,walks:44,strikeouts:38,batting_avg:.219,onbase:.320,slugging:.300,ops:erc">.300,ops+:lugging">.620,bases:96,double_plays:14,hit_by_pitch:4,sac_hits:4,sac_flies:1,intentional_walks:6
pos:1B,name:Ryan Howard,age:28,games:162,plate_appearances:700,at_bats:610,runs:105,hits:153,doubles:26,triples:4,home_runs:48,runs_batted_in:146,stolen_bases:1,caught_stealing:1,walks:81,strikeouts:199,batting_avg:.251,onbase:.339,slugging:.543,ops:erc">.543,ops+:lugging">.881,bases:331,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:17
pos:2B,name:Chase Utley,age:29,games:159,plate_appearances:707,at_bats:607,runs:113,hits:177,doubles:41,triples:4,home_runs:33,runs_batted_in:104,stolen_bases:14,caught_stealing:2,walks:64,strikeouts:104,batting_avg:.292,onbase:.380,slugging:.535,ops:erc">.535,ops+:lugging">.915,bases:325,double_plays:9,hit_by_pitch:27,sac_hits:1,sac_flies:8,intentional_walks:14
pos:SS,name:Jimmy Rollins,age:29,games:137,plate_appearances:625,at_bats:556,runs:76,hits:154,doubles:38,triples:9,home_runs:11,runs_batted_in:59,stolen_bases:47,caught_stealing:3,walks:58,strikeouts:55,batting_avg:.277,onbase:.349,slugging:.437,ops:erc">.437,ops+:lugging">.786,bases:243,double_plays:11,hit_by_pitch:5,sac_hits:3,sac_flies:3,intentional_walks:7
pos:3B,name:Pedro Feliz,age:33,games:133,plate_appearances:463,at_bats:425,runs:43,hits:106,doubles:19,triples:2,home_runs:14,runs_batted_in:58,stolen_bases:0,caught_stealing:0,walks:33,strikeouts:54,batting_avg:.249,onbase:.302,slugging:.402,ops:erc">.402,ops+:lugging">.705,bases:171,double_plays:14,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:3
pos:LF,name:Pat Burrell,age:31,games:157,plate_appearances:645,at_bats:536,runs:74,hits:134,doubles:33,triples:3,home_runs:33,runs_batted_in:86,stolen_bases:0,caught_stealing:0,walks:102,strikeouts:136,batting_avg:.250,onbase:.367,slugging:.507,ops:erc">.507,ops+:lugging">.875,bases:272,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:8
pos:CF,name:Shane Victorino,age:27,games:146,plate_appearances:627,at_bats:570,runs:102,hits:167,doubles:30,triples:8,home_runs:14,runs_batted_in:58,stolen_bases:36,caught_stealing:11,walks:45,strikeouts:69,batting_avg:.293,onbase:.352,slugging:.447,ops:erc">.447,ops+:lugging">.799,bases:255,double_plays:8,hit_by_pitch:7,sac_hits:5,sac_flies:0,intentional_walks:2
pos:RF,name:Jayson Werth,age:29,games:134,plate_appearances:482,at_bats:418,runs:73,hits:114,doubles:16,triples:3,home_runs:24,runs_batted_in:67,stolen_bases:20,caught_stealing:1,walks:57,strikeouts:119,batting_avg:.273,onbase:.363,slugging:.498,ops:erc">.498,ops+:lugging">.861,bases:208,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:1
pos:RF,name:Geoff Jenkins,age:33,games:115,plate_appearances:322,at_bats:293,runs:27,hits:72,doubles:16,triples:0,home_runs:9,runs_batted_in:29,stolen_bases:1,caught_stealing:1,walks:24,strikeouts:68,batting_avg:.246,onbase:.301,slugging:.392,ops:erc">.392,ops+:lugging">.694,bases:115,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:5
pos:C,name:Chris Coste,age:35,games:98,plate_appearances:305,at_bats:274,runs:28,hits:72,doubles:17,triples:0,home_runs:9,runs_batted_in:36,stolen_bases:0,caught_stealing:1,walks:16,strikeouts:51,batting_avg:.263,onbase:.325,slugging:.423,ops:erc">.423,ops+:lugging">.748,bases:116,double_plays:7,hit_by_pitch:10,sac_hits:3,sac_flies:2,intentional_walks:1
pos:3B,name:Greg Dobbs,age:29,games:128,plate_appearances:240,at_bats:226,runs:30,hits:68,doubles:14,triples:1,home_runs:9,runs_batted_in:40,stolen_bases:3,caught_stealing:1,walks:11,strikeouts:40,batting_avg:.301,onbase:.333,slugging:.491,ops:erc">.491,ops+:lugging">.824,bases:111,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:SS,name:Eric Bruntlett,age:30,games:120,plate_appearances:238,at_bats:212,runs:37,hits:46,doubles:9,triples:1,home_runs:2,runs_batted_in:15,stolen_bases:9,caught_stealing:2,walks:21,strikeouts:35,batting_avg:.217,onbase:.297,slugging:.297,ops:erc">.297,ops+:lugging">.594,bases:63,double_plays:7,hit_by_pitch:3,sac_hits:2,sac_flies:0,intentional_walks:3
pos:OF,name:So Taguchi,age:38,games:88,plate_appearances:103,at_bats:91,runs:18,hits:20,doubles:5,triples:1,home_runs:0,runs_batted_in:9,stolen_bases:3,caught_stealing:0,walks:8,strikeouts:14,batting_avg:.220,onbase:.283,slugging:.297,ops:erc">.297,ops+:lugging">.580,bases:27,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:RF,name:Matt Stairs,age:40,games:16,plate_appearances:19,at_bats:17,runs:4,hits:5,doubles:1,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.294,onbase:.316,slugging:.706,ops:erc">.706,ops+:lugging">1.022,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:3B,name:Mike Cervenak,age:31,games:10,plate_appearances:13,at_bats:13,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.154,onbase:.154,slugging:.154,ops:erc">.154,ops+:lugging">.308,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Brad Harman,age:22,games:6,plate_appearances:11,at_bats:10,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.100,onbase:.182,slugging:.200,ops:erc">.200,ops+:lugging">.382,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Tadahito Iguchi,age:33,games:4,plate_appearances:7,at_bats:7,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.286,onbase:.286,slugging:.429,ops:erc">.429,ops+:lugging">.714,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Greg Golson,age:22,games:6,plate_appearances:6,at_bats:6,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
