pos:1B,name:Dane Iorg,age:27,games:12,plate_appearances:31,at_bats:30,runs:3,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.167,onbase:.194,slugging:.200,ops:erc">.200,ops+:lugging">.394,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Fred Andrews,age:25,games:12,plate_appearances:25,at_bats:23,runs:3,hits:4,doubles:0,triples:1,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.174,onbase:.200,slugging:.261,ops:erc">.261,ops+:lugging">.461,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Bobby Tolan,age:31,games:15,plate_appearances:17,at_bats:16,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.125,onbase:.176,slugging:.125,ops:erc">.125,ops+:lugging">.301,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Mike Buskey,age:28,games:6,plate_appearances:8,at_bats:7,runs:1,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.286,onbase:.375,slugging:.571,ops:erc">.571,ops+:lugging">.946,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Jim Morrison,age:24,games:5,plate_appearances:8,at_bats:7,runs:3,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.429,onbase:.500,slugging:.429,ops:erc">.429,ops+:lugging">.929,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:John Vukovich,age:29,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Tim Blackwell,age:24,games:1,plate_appearances:0,at_bats:0,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Carlton,age:32,games:36,plate_appearances:112,at_bats:97,runs:7,hits:26,doubles:4,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:20,batting_avg:.268,onbase:.282,slugging:.402,ops:erc">.402,ops+:lugging">.684,bases:39,double_plays:0,hit_by_pitch:1,sac_hits:7,sac_flies:3,intentional_walks:0
pos:P,name:Larry Christenson,age:23,games:34,plate_appearances:88,at_bats:74,runs:4,hits:10,doubles:0,triples:0,home_runs:3,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:38,batting_avg:.135,onbase:.179,slugging:.257,ops:erc">.257,ops+:lugging">.436,bases:19,double_plays:0,hit_by_pitch:0,sac_hits:10,sac_flies:0,intentional_walks:0
pos:P,name:Jim Lonborg,age:35,games:25,plate_appearances:59,at_bats:48,runs:1,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.104,onbase:.140,slugging:.104,ops:erc">.104,ops+:lugging">.244,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
