pos:C,name:Bob Boone,age:32,games:141,plate_appearances:535,at_bats:480,runs:34,hits:110,doubles:23,triples:1,home_runs:9,runs_batted_in:55,stolen_bases:3,caught_stealing:4,walks:48,strikeouts:41,batting_avg:.229,onbase:.299,slugging:.338,ops:erc">.338,ops+:lugging">.637,bases:162,double_plays:9,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:12
pos:1B,name:Pete Rose,age:39,games:162,plate_appearances:739,at_bats:655,runs:95,hits:185,doubles:42,triples:1,home_runs:1,runs_batted_in:64,stolen_bases:12,caught_stealing:8,walks:66,strikeouts:33,batting_avg:.282,onbase:.352,slugging:.354,ops:erc">.354,ops+:lugging">.706,bases:232,double_plays:13,hit_by_pitch:6,sac_hits:4,sac_flies:4,intentional_walks:5
pos:2B,name:Manny Trillo,age:29,games:141,plate_appearances:573,at_bats:531,runs:68,hits:155,doubles:25,triples:9,home_runs:7,runs_batted_in:43,stolen_bases:8,caught_stealing:3,walks:32,strikeouts:46,batting_avg:.292,onbase:.334,slugging:.412,ops:erc">.412,ops+:lugging">.746,bases:219,double_plays:16,hit_by_pitch:3,sac_hits:4,sac_flies:3,intentional_walks:8
pos:SS,name:Larry Bowa,age:34,games:147,plate_appearances:577,at_bats:540,runs:57,hits:144,doubles:16,triples:4,home_runs:2,runs_batted_in:39,stolen_bases:21,caught_stealing:6,walks:24,strikeouts:28,batting_avg:.267,onbase:.300,slugging:.322,ops:erc">.322,ops+:lugging">.622,bases:174,double_plays:9,hit_by_pitch:3,sac_hits:7,sac_flies:3,intentional_walks:7
pos:3B,name:Mike Schmidt,age:30,games:150,plate_appearances:652,at_bats:548,runs:104,hits:157,doubles:25,triples:8,home_runs:48,runs_batted_in:121,stolen_bases:12,caught_stealing:5,walks:89,strikeouts:119,batting_avg:.286,onbase:.380,slugging:.624,ops:erc">.624,ops+:lugging">1.004,bases:342,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:13,intentional_walks:10
pos:LF,name:Greg Luzinski,age:29,games:106,plate_appearances:438,at_bats:368,runs:44,hits:84,doubles:19,triples:1,home_runs:19,runs_batted_in:56,stolen_bases:3,caught_stealing:0,walks:60,strikeouts:100,batting_avg:.228,onbase:.342,slugging:.440,ops:erc">.440,ops+:lugging">.783,bases:162,double_plays:6,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:5
pos:CF,name:Garry Maddox,age:30,games:143,plate_appearances:583,at_bats:549,runs:59,hits:142,doubles:31,triples:3,home_runs:11,runs_batted_in:73,stolen_bases:25,caught_stealing:5,walks:18,strikeouts:52,batting_avg:.259,onbase:.278,slugging:.386,ops:erc">.386,ops+:lugging">.664,bases:212,double_plays:11,hit_by_pitch:0,sac_hits:7,sac_flies:9,intentional_walks:5
pos:RF,name:Bake McBride,age:31,games:137,plate_appearances:593,at_bats:554,runs:68,hits:171,doubles:33,triples:10,home_runs:9,runs_batted_in:87,stolen_bases:13,caught_stealing:10,walks:26,strikeouts:58,batting_avg:.309,onbase:.342,slugging:.453,ops:erc">.453,ops+:lugging">.795,bases:251,double_plays:17,hit_by_pitch:5,sac_hits:2,sac_flies:6,intentional_walks:4
pos:OF,name:Lonnie Smith,age:24,games:100,plate_appearances:331,at_bats:298,runs:69,hits:101,doubles:14,triples:4,home_runs:3,runs_batted_in:20,stolen_bases:33,caught_stealing:13,walks:26,strikeouts:48,batting_avg:.339,onbase:.397,slugging:.443,ops:erc">.443,ops+:lugging">.840,bases:132,double_plays:5,hit_by_pitch:4,sac_hits:1,sac_flies:2,intentional_walks:2
pos:OF,name:Greg Gross,age:27,games:127,plate_appearances:182,at_bats:154,runs:19,hits:37,doubles:7,triples:2,home_runs:0,runs_batted_in:12,stolen_bases:1,caught_stealing:1,walks:24,strikeouts:7,batting_avg:.240,onbase:.346,slugging:.312,ops:erc">.312,ops+:lugging">.658,bases:48,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:1
pos:C,name:Keith Moreland,age:26,games:62,plate_appearances:171,at_bats:159,runs:13,hits:50,doubles:8,triples:0,home_runs:4,runs_batted_in:29,stolen_bases:3,caught_stealing:1,walks:8,strikeouts:14,batting_avg:.314,onbase:.341,slugging:.440,ops:erc">.440,ops+:lugging">.781,bases:70,double_plays:6,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:2
pos:UT,name:Del Unser,age:35,games:96,plate_appearances:123,at_bats:110,runs:15,hits:29,doubles:6,triples:4,home_runs:0,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:10,strikeouts:21,batting_avg:.264,onbase:.320,slugging:.391,ops:erc">.391,ops+:lugging">.711,bases:43,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:1
pos:MI,name:Ramon Aviles,age:28,games:51,plate_appearances:115,at_bats:101,runs:12,hits:28,doubles:6,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:9,batting_avg:.277,onbase:.336,slugging:.396,ops:erc">.396,ops+:lugging">.732,bases:40,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:2
pos:3B,name:John Vukovich,age:32,games:49,plate_appearances:66,at_bats:62,runs:4,hits:10,doubles:1,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:7,batting_avg:.161,onbase:.197,slugging:.210,ops:erc">.210,ops+:lugging">.407,bases:13,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:George Vukovich,age:24,games:78,plate_appearances:64,at_bats:58,runs:6,hits:13,doubles:1,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:9,batting_avg:.224,onbase:.297,slugging:.276,ops:erc">.276,ops+:lugging">.573,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Luis Aguayo,age:21,games:20,plate_appearances:50,at_bats:47,runs:7,hits:13,doubles:1,triples:2,home_runs:1,runs_batted_in:8,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:3,batting_avg:.277,onbase:.300,slugging:.447,ops:erc">.447,ops+:lugging">.747,bases:21,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Bob Dernier,age:23,games:10,plate_appearances:8,at_bats:7,runs:5,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:3,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.571,onbase:.625,slugging:.571,ops:erc">.571,ops+:lugging">1.196,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Tim McCarver,age:38,games:6,plate_appearances:7,at_bats:5,runs:2,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.200,onbase:.333,slugging:.400,ops:erc">.400,ops+:lugging">.733,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:RF,name:Orlando Isales,age:20,games:3,plate_appearances:6,at_bats:5,runs:1,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.400,onbase:.500,slugging:.800,ops:erc">.800,ops+:lugging">1.300,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Jay Loviglio,age:24,games:16,plate_appearances:6,at_bats:5,runs:7,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:2,walks:1,strikeouts:0,batting_avg:.000,onbase:.167,slugging:.000,ops:erc">.000,ops+:lugging">.167,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Ozzie Virgil,age:23,games:1,plate_appearances:5,at_bats:5,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.200,onbase:.200,slugging:.400,ops:erc">.400,ops+:lugging">.600,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Don McCormack,age:24,games:2,plate_appearances:1,at_bats:1,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:1.000,ops:erc">1.000,ops+:lugging">2.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Carlton,age:35,games:38,plate_appearances:111,at_bats:101,runs:7,hits:19,doubles:1,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:21,batting_avg:.188,onbase:.190,slugging:.198,ops:erc">.198,ops+:lugging">.388,bases:20,double_plays:4,hit_by_pitch:0,sac_hits:6,sac_flies:3,intentional_walks:0
pos:P,name:Dick Ruthven,age:29,games:33,plate_appearances:82,at_bats:68,runs:7,hits:16,doubles:5,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:22,batting_avg:.235,onbase:.257,slugging:.338,ops:erc">.338,ops+:lugging">.595,bases:23,double_plays:1,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Bob Walk,age:23,games:27,plate_appearances:62,at_bats:50,runs:5,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:20,batting_avg:.140,onbase:.218,slugging:.160,ops:erc">.160,ops+:lugging">.378,bases:8,double_plays:2,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Randy Lerch,age:25,games:34,plate_appearances:54,at_bats:45,runs:5,hits:12,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:6,batting_avg:.267,onbase:.340,slugging:.311,ops:erc">.311,ops+:lugging">.651,bases:14,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Nino Espinosa,age:26,games:13,plate_appearances:29,at_bats:26,runs:4,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.115,onbase:.115,slugging:.154,ops:erc">.154,ops+:lugging">.269,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Larry Christenson,age:26,games:14,plate_appearances:25,at_bats:19,runs:6,hits:7,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.368,onbase:.455,slugging:.526,ops:erc">.526,ops+:lugging">.981,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Dickie Noles,age:23,games:48,plate_appearances:15,at_bats:13,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.308,onbase:.308,slugging:.308,ops:erc">.308,ops+:lugging">.615,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Marty Bystrom,age:21,games:6,plate_appearances:15,at_bats:14,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.071,onbase:.133,slugging:.071,ops:erc">.071,ops+:lugging">.205,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Larson,age:25,games:12,plate_appearances:14,at_bats:13,runs:0,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.154,onbase:.214,slugging:.231,ops:erc">.231,ops+:lugging">.445,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tug McGraw,age:35,games:57,plate_appearances:11,at_bats:8,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Ron Reed,age:37,games:55,plate_appearances:10,at_bats:10,runs:0,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.300,onbase:.300,slugging:.400,ops:erc">.400,ops+:lugging">.700,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Saucier,age:23,games:40,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Lerrin LaGrow,age:31,games:25,plate_appearances:4,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Davis,age:19,games:2,plate_appearances:2,at_bats:2,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Munninghoff,age:21,games:4,plate_appearances:1,at_bats:1,runs:1,hits:1,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:3.000,ops:erc">3.000,ops+:lugging">4.000,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Warren Brusstar,age:28,games:26,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sparky Lyle,age:35,games:10,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
