pos:2B,name:Don Mason,age:25,games:46,plate_appearances:41,at_bats:36,runs:4,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:7,batting_avg:.139,onbase:.244,slugging:.139,ops:erc">.139,ops+:lugging">.383,bases:5,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Steve Whitaker,age:27,games:16,plate_appearances:30,at_bats:27,runs:3,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:14,batting_avg:.111,onbase:.167,slugging:.148,ops:erc">.148,ops+:lugging">.315,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Bob Burda,age:31,games:28,plate_appearances:29,at_bats:23,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:2,batting_avg:.261,onbase:.414,slugging:.261,ops:erc">.261,ops+:lugging">.675,bases:6,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:OF,name:George Foster,age:21,games:9,plate_appearances:21,at_bats:19,runs:2,hits:6,doubles:1,triples:1,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.316,onbase:.381,slugging:.632,ops:erc">.632,ops+:lugging">1.013,bases:12,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:LF,name:Bernie Williams,age:21,games:7,plate_appearances:18,at_bats:16,runs:2,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:1,batting_avg:.313,onbase:.389,slugging:.438,ops:erc">.438,ops+:lugging">.826,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Ed Goodson,age:22,games:7,plate_appearances:11,at_bats:11,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gaylord Perry,age:31,games:41,plate_appearances:132,at_bats:120,runs:7,hits:14,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:47,batting_avg:.117,onbase:.123,slugging:.167,ops:erc">.167,ops+:lugging">.290,bases:20,double_plays:1,hit_by_pitch:1,sac_hits:10,sac_flies:1,intentional_walks:0
pos:P,name:Juan Marichal,age:32,games:34,plate_appearances:93,at_bats:85,runs:5,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:21,batting_avg:.059,onbase:.080,slugging:.059,ops:erc">.059,ops+:lugging">.138,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:0
pos:P,name:Rich Robertson,age:25,games:41,plate_appearances:67,at_bats:59,runs:4,hits:6,doubles:2,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:33,batting_avg:.102,onbase:.117,slugging:.237,ops:erc">.237,ops+:lugging">.354,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Frank Reberger,age:26,games:48,plate_appearances:50,at_bats:47,runs:7,hits:11,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:18,batting_avg:.234,onbase:.234,slugging:.255,ops:erc">.255,ops+:lugging">.489,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Ron Bryant,age:22,games:34,plate_appearances:30,at_bats:27,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.111,onbase:.143,slugging:.111,ops:erc">.111,ops+:lugging">.254,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
