pos:2B,name:Mike Woodard,age:26,games:48,plate_appearances:90,at_bats:79,runs:14,hits:20,doubles:2,triples:1,home_runs:1,runs_batted_in:5,stolen_bases:7,caught_stealing:2,walks:10,strikeouts:9,batting_avg:.253,onbase:.337,slugging:.342,ops:erc">.342,ops+:lugging">.679,bases:27,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Phil Ouellette,age:24,games:10,plate_appearances:26,at_bats:23,runs:1,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:3,batting_avg:.174,onbase:.269,slugging:.174,ops:erc">.174,ops+:lugging">.443,bases:4,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Brad Gulden,age:30,games:17,plate_appearances:24,at_bats:22,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.091,onbase:.167,slugging:.091,ops:erc">.091,ops+:lugging">.258,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:2
pos:1B,name:Dan Driessen,age:34,games:15,plate_appearances:20,at_bats:16,runs:2,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:4,batting_avg:.188,onbase:.350,slugging:.313,ops:erc">.313,ops+:lugging">.663,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Rick Lancellotti,age:29,games:15,plate_appearances:18,at_bats:18,runs:2,hits:4,doubles:0,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.222,onbase:.222,slugging:.556,ops:erc">.556,ops+:lugging">.778,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Brad Wellman,age:26,games:12,plate_appearances:14,at_bats:13,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.154,onbase:.214,slugging:.154,ops:erc">.154,ops+:lugging">.368,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Chris Jones,age:28,games:3,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Krukow,age:34,games:35,plate_appearances:98,at_bats:82,runs:7,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:25,batting_avg:.146,onbase:.186,slugging:.159,ops:erc">.159,ops+:lugging">.345,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:12,sac_flies:0,intentional_walks:0
pos:P,name:Mike LaCoss,age:30,games:37,plate_appearances:69,at_bats:61,runs:8,hits:14,doubles:2,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:24,batting_avg:.230,onbase:.266,slugging:.361,ops:erc">.361,ops+:lugging">.626,bases:22,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Scott Garrelts,age:24,games:54,plate_appearances:53,at_bats:45,runs:6,hits:8,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:25,batting_avg:.178,onbase:.196,slugging:.267,ops:erc">.267,ops+:lugging">.462,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
