pos:C,name:Dan Wilson,age:32,games:123,plate_appearances:408,at_bats:377,runs:44,hits:100,doubles:20,triples:1,home_runs:10,runs_batted_in:42,stolen_bases:3,caught_stealing:2,walks:20,strikeouts:69,batting_avg:.265,onbase:.305,slugging:.403,ops:erc">.403,ops+:lugging">.708,bases:152,double_plays:6,hit_by_pitch:2,sac_hits:8,sac_flies:1,intentional_walks:0
pos:1B,name:John Olerud,age:32,games:159,plate_appearances:679,at_bats:572,runs:91,hits:173,doubles:32,triples:1,home_runs:21,runs_batted_in:95,stolen_bases:3,caught_stealing:1,walks:94,strikeouts:70,batting_avg:.302,onbase:.401,slugging:.472,ops:erc">.472,ops+:lugging">.873,bases:270,double_plays:21,hit_by_pitch:5,sac_hits:1,sac_flies:7,intentional_walks:19
pos:2B,name:Bret Boone,age:32,games:158,plate_appearances:690,at_bats:623,runs:118,hits:206,doubles:37,triples:3,home_runs:37,runs_batted_in:141,stolen_bases:5,caught_stealing:5,walks:40,strikeouts:110,batting_avg:.331,onbase:.372,slugging:.578,ops:erc">.578,ops+:lugging">.950,bases:360,double_plays:11,hit_by_pitch:9,sac_hits:5,sac_flies:13,intentional_walks:5
pos:SS,name:Carlos Guillen,age:25,games:140,plate_appearances:523,at_bats:456,runs:72,hits:118,doubles:21,triples:4,home_runs:5,runs_batted_in:53,stolen_bases:4,caught_stealing:1,walks:53,strikeouts:89,batting_avg:.259,onbase:.333,slugging:.355,ops:erc">.355,ops+:lugging">.689,bases:162,double_plays:9,hit_by_pitch:1,sac_hits:7,sac_flies:6,intentional_walks:0
pos:3B,name:David Bell,age:28,games:135,plate_appearances:510,at_bats:470,runs:62,hits:122,doubles:28,triples:0,home_runs:15,runs_batted_in:64,stolen_bases:2,caught_stealing:1,walks:28,strikeouts:59,batting_avg:.260,onbase:.303,slugging:.415,ops:erc">.415,ops+:lugging">.718,bases:195,double_plays:8,hit_by_pitch:3,sac_hits:5,sac_flies:4,intentional_walks:1
pos:LF,name:Al Martin,age:33,games:100,plate_appearances:324,at_bats:283,runs:41,hits:68,doubles:15,triples:2,home_runs:7,runs_batted_in:42,stolen_bases:9,caught_stealing:3,walks:37,strikeouts:59,batting_avg:.240,onbase:.330,slugging:.382,ops:erc">.382,ops+:lugging">.712,bases:108,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:4
pos:CF,name:Mike Cameron,age:28,games:150,plate_appearances:633,at_bats:540,runs:99,hits:144,doubles:30,triples:5,home_runs:25,runs_batted_in:110,stolen_bases:34,caught_stealing:5,walks:69,strikeouts:155,batting_avg:.267,onbase:.353,slugging:.480,ops:erc">.480,ops+:lugging">.832,bases:259,double_plays:13,hit_by_pitch:10,sac_hits:1,sac_flies:13,intentional_walks:3
pos:RF,name:Ichiro Suzuki,age:27,games:157,plate_appearances:738,at_bats:692,runs:127,hits:242,doubles:34,triples:8,home_runs:8,runs_batted_in:69,stolen_bases:56,caught_stealing:14,walks:30,strikeouts:53,batting_avg:.350,onbase:.381,slugging:.457,ops:erc">.457,ops+:lugging">.838,bases:316,double_plays:3,hit_by_pitch:8,sac_hits:4,sac_flies:4,intentional_walks:10
pos:DH,name:Edgar Martinez,age:38,games:132,plate_appearances:581,at_bats:470,runs:80,hits:144,doubles:40,triples:1,home_runs:23,runs_batted_in:116,stolen_bases:4,caught_stealing:1,walks:93,strikeouts:90,batting_avg:.306,onbase:.423,slugging:.543,ops:erc">.543,ops+:lugging">.966,bases:255,double_plays:11,hit_by_pitch:9,sac_hits:0,sac_flies:9,intentional_walks:9
pos:UT,name:Mark McLemore,age:36,games:125,plate_appearances:487,at_bats:409,runs:78,hits:117,doubles:16,triples:9,home_runs:5,runs_batted_in:57,stolen_bases:39,caught_stealing:7,walks:69,strikeouts:84,batting_avg:.286,onbase:.384,slugging:.406,ops:erc">.406,ops+:lugging">.790,bases:166,double_plays:6,hit_by_pitch:0,sac_hits:3,sac_flies:6,intentional_walks:0
pos:LF,name:Stan Javier,age:37,games:89,plate_appearances:323,at_bats:281,runs:44,hits:82,doubles:14,triples:1,home_runs:4,runs_batted_in:33,stolen_bases:11,caught_stealing:1,walks:36,strikeouts:47,batting_avg:.292,onbase:.375,slugging:.391,ops:erc">.391,ops+:lugging">.766,bases:110,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:1
pos:C,name:Tom Lampkin,age:37,games:79,plate_appearances:231,at_bats:204,runs:28,hits:46,doubles:10,triples:0,home_runs:5,runs_batted_in:22,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:41,batting_avg:.225,onbase:.309,slugging:.348,ops:erc">.348,ops+:lugging">.657,bases:71,double_plays:4,hit_by_pitch:7,sac_hits:1,sac_flies:1,intentional_walks:1
pos:UT,name:Ed Sprague,age:33,games:45,plate_appearances:107,at_bats:94,runs:9,hits:28,doubles:7,triples:0,home_runs:2,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:18,batting_avg:.298,onbase:.374,slugging:.436,ops:erc">.436,ops+:lugging">.810,bases:41,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:UT,name:Charles Gipson,age:28,games:94,plate_appearances:72,at_bats:64,runs:16,hits:14,doubles:2,triples:2,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:20,batting_avg:.219,onbase:.282,slugging:.313,ops:erc">.313,ops+:lugging">.594,bases:20,double_plays:2,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Jay Buhner,age:36,games:19,plate_appearances:53,at_bats:45,runs:4,hits:10,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:9,batting_avg:.222,onbase:.340,slugging:.400,ops:erc">.400,ops+:lugging">.740,bases:18,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ramon Vazquez,age:24,games:17,plate_appearances:37,at_bats:35,runs:5,hits:8,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.229,onbase:.222,slugging:.229,ops:erc">.229,ops+:lugging">.451,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Anthony Sanders,age:27,games:9,plate_appearances:19,at_bats:17,runs:1,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.176,onbase:.263,slugging:.294,ops:erc">.294,ops+:lugging">.557,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Gene Kingsale,age:24,games:10,plate_appearances:18,at_bats:15,runs:4,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:2,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.333,onbase:.444,slugging:.333,ops:erc">.333,ops+:lugging">.778,bases:5,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Pat Borders,age:38,games:5,plate_appearances:7,at_bats:6,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Scott Podsednik,age:25,games:5,plate_appearances:6,at_bats:6,runs:1,hits:1,doubles:0,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.167,onbase:.167,slugging:.500,ops:erc">.500,ops+:lugging">.667,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
