pos:UT,name:Frank Tepedino,age:22,games:16,plate_appearances:20,at_bats:19,runs:2,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:2,batting_avg:.316,onbase:.350,slugging:.421,ops:erc">.421,ops+:lugging">.771,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mel Stottlemyre,age:28,games:38,plate_appearances:102,at_bats:85,runs:8,hits:16,doubles:2,triples:2,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:25,batting_avg:.188,onbase:.303,slugging:.329,ops:erc">.329,ops+:lugging">.632,bases:28,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Fritz Peterson,age:28,games:39,plate_appearances:99,at_bats:90,runs:7,hits:20,doubles:3,triples:0,home_runs:2,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:24,batting_avg:.222,onbase:.228,slugging:.322,ops:erc">.322,ops+:lugging">.550,bases:29,double_plays:0,hit_by_pitch:1,sac_hits:7,sac_flies:1,intentional_walks:0
pos:P,name:Stan Bahnsen,age:25,games:36,plate_appearances:85,at_bats:74,runs:3,hits:11,doubles:0,triples:1,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:34,batting_avg:.149,onbase:.171,slugging:.176,ops:erc">.176,ops+:lugging">.347,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Steve Kline,age:22,games:16,plate_appearances:37,at_bats:28,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:10,batting_avg:.179,onbase:.303,slugging:.179,ops:erc">.179,ops+:lugging">.482,bases:5,double_plays:0,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Mike Kekich,age:25,games:26,plate_appearances:36,at_bats:32,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.094,onbase:.147,slugging:.094,ops:erc">.094,ops+:lugging">.241,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Lindy McDaniel,age:34,games:62,plate_appearances:25,at_bats:24,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.167,onbase:.167,slugging:.208,ops:erc">.208,ops+:lugging">.375,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ron Klimkowski,age:26,games:45,plate_appearances:23,at_bats:19,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.053,onbase:.053,slugging:.053,ops:erc">.053,ops+:lugging">.105,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:John Cumberland,age:23,games:15,plate_appearances:20,at_bats:17,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:12,batting_avg:.059,onbase:.059,slugging:.059,ops:erc">.059,ops+:lugging">.118,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Jack Aker,age:29,games:41,plate_appearances:16,at_bats:16,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.063,onbase:.063,slugging:.063,ops:erc">.063,ops+:lugging">.125,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Gary Waslewski,age:28,games:26,plate_appearances:11,at_bats:10,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Steve Hamilton,age:35,games:35,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Burbach,age:22,games:4,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike McCormick,age:31,games:9,plate_appearances:5,at_bats:5,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rob Gardner,age:25,games:1,plate_appearances:3,at_bats:3,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.333,onbase:.333,slugging:.667,ops:erc">.667,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Verbanic,age:27,games:7,plate_appearances:3,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Loyd Colson,age:22,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gary Jones,age:25,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
