pos:SS,name:Andre Robertson,age:24,games:44,plate_appearances:128,at_bats:118,runs:16,hits:26,doubles:5,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:19,batting_avg:.220,onbase:.270,slugging:.314,ops:erc">.314,ops+:lugging">.583,bases:37,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:1B,name:Steve Balboni,age:25,games:33,plate_appearances:114,at_bats:107,runs:8,hits:20,doubles:2,triples:1,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:34,batting_avg:.187,onbase:.228,slugging:.280,ops:erc">.280,ops+:lugging">.508,bases:30,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:DH,name:Butch Hobson,age:30,games:30,plate_appearances:60,at_bats:58,runs:2,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:14,batting_avg:.172,onbase:.183,slugging:.207,ops:erc">.207,ops+:lugging">.390,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Barry Foote,age:30,games:17,plate_appearances:50,at_bats:48,runs:4,hits:7,doubles:5,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:11,batting_avg:.146,onbase:.160,slugging:.250,ops:erc">.250,ops+:lugging">.410,bases:12,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Dave Revering,age:29,games:14,plate_appearances:44,at_bats:40,runs:2,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.150,onbase:.205,slugging:.200,ops:erc">.200,ops+:lugging">.405,bases:8,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:IF,name:Barry Evans,age:26,games:17,plate_appearances:38,at_bats:31,runs:2,hits:8,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.258,onbase:.395,slugging:.355,ops:erc">.355,ops+:lugging">.750,bases:11,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Rodney Scott,age:28,games:10,plate_appearances:31,at_bats:26,runs:5,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:2,caught_stealing:0,walks:4,strikeouts:2,batting_avg:.192,onbase:.300,slugging:.192,ops:erc">.192,ops+:lugging">.492,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Larry Milbourne,age:31,games:14,plate_appearances:28,at_bats:27,runs:2,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:4,batting_avg:.148,onbase:.179,slugging:.185,ops:erc">.185,ops+:lugging">.364,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Bob Watson,age:36,games:7,plate_appearances:20,at_bats:17,runs:3,hits:4,doubles:3,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:0,batting_avg:.235,onbase:.350,slugging:.412,ops:erc">.412,ops+:lugging">.762,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Mike Patterson,age:24,games:11,plate_appearances:18,at_bats:16,runs:3,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.188,onbase:.278,slugging:.438,ops:erc">.438,ops+:lugging">.715,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Don Mattingly,age:21,games:7,plate_appearances:13,at_bats:12,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.167,onbase:.154,slugging:.167,ops:erc">.167,ops+:lugging">.321,bases:2,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Bobby Ramos,age:26,games:4,plate_appearances:11,at_bats:11,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.091,onbase:.091,slugging:.364,ops:erc">.364,ops+:lugging">.455,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Edwin Rodriguez,age:21,games:3,plate_appearances:10,at_bats:9,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.333,onbase:.400,slugging:.333,ops:erc">.333,ops+:lugging">.733,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Juan Espino,age:26,games:3,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Dave Stegman,age:28,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
