pos:C,name:Russell Martin,age:28,games:125,plate_appearances:476,at_bats:417,runs:57,hits:99,doubles:17,triples:0,home_runs:18,runs_batted_in:65,stolen_bases:8,caught_stealing:2,walks:50,strikeouts:81,batting_avg:.237,onbase:.324,slugging:.408,ops:erc">.408,ops+:lugging">.732,bases:170,double_plays:19,hit_by_pitch:5,sac_hits:1,sac_flies:3,intentional_walks:1
pos:1B,name:Mark Teixeira,age:31,games:156,plate_appearances:684,at_bats:589,runs:90,hits:146,doubles:26,triples:1,home_runs:39,runs_batted_in:111,stolen_bases:4,caught_stealing:1,walks:76,strikeouts:110,batting_avg:.248,onbase:.341,slugging:.494,ops:erc">.494,ops+:lugging">.835,bases:291,double_plays:12,hit_by_pitch:11,sac_hits:0,sac_flies:8,intentional_walks:3
pos:2B,name:Robinson Cano,age:28,games:159,plate_appearances:681,at_bats:623,runs:104,hits:188,doubles:46,triples:7,home_runs:28,runs_batted_in:118,stolen_bases:8,caught_stealing:2,walks:38,strikeouts:96,batting_avg:.302,onbase:.349,slugging:.533,ops:erc">.533,ops+:lugging">.882,bases:332,double_plays:18,hit_by_pitch:12,sac_hits:0,sac_flies:8,intentional_walks:11
pos:SS,name:Derek Jeter,age:37,games:131,plate_appearances:607,at_bats:546,runs:84,hits:162,doubles:24,triples:4,home_runs:6,runs_batted_in:61,stolen_bases:16,caught_stealing:6,walks:46,strikeouts:81,batting_avg:.297,onbase:.355,slugging:.388,ops:erc">.388,ops+:lugging">.743,bases:212,double_plays:10,hit_by_pitch:6,sac_hits:4,sac_flies:5,intentional_walks:0
pos:3B,name:Alex Rodriguez,age:35,games:99,plate_appearances:428,at_bats:373,runs:67,hits:103,doubles:21,triples:0,home_runs:16,runs_batted_in:62,stolen_bases:4,caught_stealing:1,walks:47,strikeouts:80,batting_avg:.276,onbase:.362,slugging:.461,ops:erc">.461,ops+:lugging">.823,bases:172,double_plays:13,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:1
pos:LF,name:Brett Gardner,age:27,games:159,plate_appearances:588,at_bats:510,runs:87,hits:132,doubles:19,triples:8,home_runs:7,runs_batted_in:36,stolen_bases:49,caught_stealing:13,walks:60,strikeouts:93,batting_avg:.259,onbase:.345,slugging:.369,ops:erc">.369,ops+:lugging">.713,bases:188,double_plays:5,hit_by_pitch:8,sac_hits:8,sac_flies:2,intentional_walks:1
pos:CF,name:Curtis Granderson,age:30,games:156,plate_appearances:691,at_bats:583,runs:136,hits:153,doubles:26,triples:10,home_runs:41,runs_batted_in:119,stolen_bases:25,caught_stealing:10,walks:85,strikeouts:169,batting_avg:.262,onbase:.364,slugging:.552,ops:erc">.552,ops+:lugging">.916,bases:322,double_plays:12,hit_by_pitch:12,sac_hits:4,sac_flies:7,intentional_walks:0
pos:RF,name:Nick Swisher,age:30,games:150,plate_appearances:635,at_bats:526,runs:81,hits:137,doubles:30,triples:0,home_runs:23,runs_batted_in:85,stolen_bases:2,caught_stealing:2,walks:95,strikeouts:125,batting_avg:.260,onbase:.374,slugging:.449,ops:erc">.449,ops+:lugging">.822,bases:236,double_plays:18,hit_by_pitch:5,sac_hits:1,sac_flies:8,intentional_walks:6
pos:DH,name:Jorge Posada,age:39,games:115,plate_appearances:387,at_bats:344,runs:34,hits:81,doubles:14,triples:0,home_runs:14,runs_batted_in:44,stolen_bases:0,caught_stealing:2,walks:39,strikeouts:76,batting_avg:.235,onbase:.315,slugging:.398,ops:erc">.398,ops+:lugging">.714,bases:137,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:4
pos:IF,name:Eduardo Nunez,age:24,games:112,plate_appearances:338,at_bats:309,runs:38,hits:82,doubles:18,triples:2,home_runs:5,runs_batted_in:30,stolen_bases:22,caught_stealing:6,walks:22,strikeouts:37,batting_avg:.265,onbase:.313,slugging:.385,ops:erc">.385,ops+:lugging">.698,bases:119,double_plays:6,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:2
pos:LF,name:Andruw Jones,age:34,games:77,plate_appearances:222,at_bats:190,runs:27,hits:47,doubles:8,triples:0,home_runs:13,runs_batted_in:33,stolen_bases:0,caught_stealing:0,walks:29,strikeouts:62,batting_avg:.247,onbase:.356,slugging:.495,ops:erc">.495,ops+:lugging">.851,bases:94,double_plays:3,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Eric Chavez,age:33,games:58,plate_appearances:175,at_bats:160,runs:16,hits:42,doubles:7,triples:1,home_runs:2,runs_batted_in:26,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:34,batting_avg:.263,onbase:.320,slugging:.356,ops:erc">.356,ops+:lugging">.676,bases:57,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:C,name:Francisco Cervelli,age:25,games:43,plate_appearances:137,at_bats:124,runs:17,hits:33,doubles:4,triples:0,home_runs:4,runs_batted_in:22,stolen_bases:4,caught_stealing:1,walks:9,strikeouts:29,batting_avg:.266,onbase:.324,slugging:.395,ops:erc">.395,ops+:lugging">.719,bases:49,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:DH,name:Jesus Montero,age:21,games:18,plate_appearances:69,at_bats:61,runs:9,hits:20,doubles:4,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:17,batting_avg:.328,onbase:.406,slugging:.590,ops:erc">.590,ops+:lugging">.996,bases:36,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
